LEGACY_ACTIVITY_TYPE	ACTIVITY_TYPE	CONTROLLING_AREA	VALID_TO_DATE	ACTIVITY_TYPE_TXT_GBL	ACTIVITY_TYPE_TXT_LCL	DI_TIMESTAMP									
C0023	C0023	A000	20201231	Senior consultant23		2017.07.06 08:56:49									
C0024	C0024	A000	99991231	Senior consultant24		2017.07.06 08:56:49									
C0025	C0025	A000	99991231	Senior consultant25		2017.07.06 08:56:49									
C0026	C0026	A000	99991231	Senior consultant26		2017.07.06 08:56:49									
C0027	C0027	A000	99991231	Senior consultant27		2017.07.06 08:56:49									
C0028	C0028	A000	99991231	Senior consultant28		2017.07.06 08:56:49									
C0029	C0029	A000	20501231	Senior consultant29		2017.07.06 08:56:49									
C0030	C0030	A000	99991231	Senior consultant30		2017.07.06 08:56:49									
C0031	C0031	A000	99991231	Senior consultant31		2017.07.06 08:56:49									
C0032	C0032	A000	20170720	Senior consultant32		2017.07.06 08:56:49									
C0033	C0033	A000	20170711	Senior consultant33		2017.07.06 08:56:49									
C0034	C0034	A000	20170711	Senior consultant34		2017.07.06 08:56:49									
C0035	C0035	A000	20170702	Senior consultant35		2017.07.06 08:56:49									
C0036	C0036	A000	20170703	Senior consultant36		2017.07.06 08:56:49									
C0037	C0037	A000	20170704	Senior consultant37		2017.07.06 08:56:49									
C0038	C0038	A000	99991231	Senior consultant38		2017.07.06 08:56:49									
C0039	C0039	A000	99991231	Senior consultant39		2017.07.06 08:56:49									
C0040	C0040	A000	99991231	Senior consultant40		2017.07.06 08:56:49									
C0041	C0041	A000	99991231	Senior consultant41		2017.07.06 08:56:49									
C0042	C0042	A000	99991231	Senior consultant42		2017.07.06 08:56:49									
C0043	C0043	A000	99991231	Senior consultant43		2017.07.06 08:56:49									
C0044	C0044	A000	99991231	Senior consultant44		2017.07.06 08:56:49									
C0045	C0045	A000	99991231	Senior consultant45		2017.07.06 08:56:49									
C0046	C0046	A000	99991231	Senior consultant46		2017.07.06 08:56:49									
C0047	C0047	A000	99991231	Senior consultant47		2017.07.06 08:56:49									
TESTER	TESTER	A000	99991231	Tester16		2017.07.06 08:56:49									
1	1	A000	99991231	Machine hours 1	Maschinenstunden 1	2017.07.06 08:56:49									
101	101	A000	99991231	Service Standard	Service - Standard	2017.07.06 08:56:49									
102	102	A000	99991231	Service Specialist	Service - Spezialist	2017.07.06 08:56:49									
11	11	A000	99991231	Personnel Hours	Personalstunden	2017.07.06 08:56:49									
2	2	A000	99991231	Machine hours 2	Maschinenstunden 2	2017.07.06 08:56:49									
3	3	A000	99991231	Setup Production	Rüsten	2017.07.06 08:56:49									
8	8	A000	99991231	Consulting	Beratung	2017.07.06 08:56:49									
C0017	C0017	A000	99991231	Senior consultant17		2017.07.06 08:56:49									
C0018	C0018	A000	20181231	Senior consultant18		2017.07.06 08:56:49									
C0019	C0019	A000	99991231	Senior consultant19		2017.07.06 08:56:49									
C0020	C0020	A000	99991231	Senior consultant20		2017.07.06 08:56:49									
C0021	C0021	A000	99991231	Senior consultant21		2017.07.06 08:56:49									
C0022	C0022	A000	99991231	Senior consultant22		2017.07.06 08:56:49									
