LEGACY_ADDRESS_NUMBER	ADDRESS_NUMBER	FROM_	ADDRESS_VERSION	ADDRESS_NUMBER_TXT_GBL	ADDRESS_NUMBER_TXT_LCL	DI_TIMESTAMP									
0000030384	0000030384	00010101	 			2017.07.06 08:56:49									
0000030385	0000030385	00010101	 			2017.07.06 08:56:49									
0000030399	0000030399	00010101	 			2017.07.06 08:56:49									
0000030400	0000030400	00010101	 			2017.07.06 08:56:49									
0000030454	0000030454	00010101	 			2017.07.06 08:56:49									
0000030455	0000030455	00010101	 			2017.07.06 08:56:49									
0000030490	0000030490	00010101	 			2017.07.06 08:56:49									
0000030491	0000030491	00010101	 			2017.07.06 08:56:49									
0000030492	0000030492	00010101	 			2017.07.06 08:56:49									
0000030493	0000030493	00010101	 			2017.07.06 08:56:49									
0000030494	0000030494	00010101	 			2017.07.06 08:56:49									
0000030495	0000030495	00010101	 			2017.07.06 08:56:49									
0000030496	0000030496	00010101	 			2017.07.06 08:56:49									
0000030497	0000030497	00010101	 			2017.07.06 08:56:49									
0000028534	0000028534	00010101	 			2017.07.06 08:56:49									
0000028544	0000028544	00010101	 			2017.07.06 08:56:49									
0000028545	0000028545	00010101	 			2017.07.06 08:56:49									
0000028546	0000028546	00010101	 			2017.07.06 08:56:49									
0000028547	0000028547	00010101	 			2017.07.06 08:56:49									
0000028548	0000028548	00010101	 			2017.07.06 08:56:49									
0000028549	0000028549	00010101	 			2017.07.06 08:56:49									
0000028550	0000028550	00010101	 			2017.07.06 08:56:49									
0000028551	0000028551	00010101	 			2017.07.06 08:56:49									
0000028552	0000028552	00010101	 			2017.07.06 08:56:49									
0000028553	0000028553	00010101	 			2017.07.06 08:56:49									
0000028570	0000028570	00010101	 			2017.07.06 08:56:49									
0000028571	0000028571	00010101	 			2017.07.06 08:56:49									
0000028572	0000028572	00010101	 			2017.07.06 08:56:49									
0000028573	0000028573	00010101	 			2017.07.06 08:56:49									
0000028574	0000028574	00010101	 			2017.07.06 08:56:49									
0000028652	0000028652	00010101	 			2017.07.06 08:56:49									
0000028653	0000028653	00010101	 			2017.07.06 08:56:49									
0000028664	0000028664	00010101	 			2017.07.06 08:56:49									
0000028665	0000028665	00010101	 			2017.07.06 08:56:49									
0000028666	0000028666	00010101	 			2017.07.06 08:56:49									
0000028667	0000028667	00010101	 			2017.07.06 08:56:49									
0000028668	0000028668	00010101	 			2017.07.06 08:56:49									
0000028669	0000028669	00010101	 			2017.07.06 08:56:49									
0000028670	0000028670	00010101	 			2017.07.06 08:56:49									
0000028671	0000028671	00010101	 			2017.07.06 08:56:49									
0000028672	0000028672	00010101	 			2017.07.06 08:56:49									
0000028673	0000028673	00010101	 			2017.07.06 08:56:49									
0000028674	0000028674	00010101	 			2017.07.06 08:56:49									
0000028805	0000028805	00010101	 			2017.07.06 08:56:49									
0000028806	0000028806	00010101	 			2017.07.06 08:56:49									
0000028864	0000028864	00010101	 			2017.07.06 08:56:49									
0000028865	0000028865	00010101	 			2017.07.06 08:56:49									
0000028866	0000028866	00010101	 			2017.07.06 08:56:49									
0000029290	0000029290	00010101	 			2017.07.06 08:56:49									
0000029293	0000029293	00010101	 			2017.07.06 08:56:49									
0000029294	0000029294	00010101	 			2017.07.06 08:56:49									
0000029295	0000029295	00010101	 			2017.07.06 08:56:49									
0000029364	0000029364	00010101	 			2017.07.06 08:56:49									
0000029365	0000029365	00010101	 			2017.07.06 08:56:49									
0000029366	0000029366	00010101	 			2017.07.06 08:56:49									
0000029368	0000029368	00010101	 			2017.07.06 08:56:49									
0000029404	0000029404	00010101	 			2017.07.06 08:56:49									
0000029405	0000029405	00010101	 			2017.07.06 08:56:49									
0000029412	0000029412	00010101	 			2017.07.06 08:56:49									
0000029413	0000029413	00010101	 			2017.07.06 08:56:49									
0000029424	0000029424	00010101	 			2017.07.06 08:56:49									
0000029425	0000029425	00010101	 			2017.07.06 08:56:49									
0000029471	0000029471	00010101	 			2017.07.06 08:56:49									
0000029472	0000029472	00010101	 			2017.07.06 08:56:49									
0000029485	0000029485	00010101	 			2017.07.06 08:56:49									
0000029489	0000029489	00010101	 			2017.07.06 08:56:49									
0000028575	0000028575	00010101	 			2017.07.06 08:56:49									
0000028576	0000028576	00010101	 			2017.07.06 08:56:49									
0000028577	0000028577	00010101	 			2017.07.06 08:56:49									
0000028578	0000028578	00010101	 			2017.07.06 08:56:49									
0000028684	0000028684	00010101	 			2017.07.06 08:56:49									
0000028685	0000028685	00010101	 			2017.07.06 08:56:49									
0000028686	0000028686	00010101	 			2017.07.06 08:56:49									
0000028687	0000028687	00010101	 			2017.07.06 08:56:49									
0000028704	0000028704	00010101	 			2017.07.06 08:56:49									
0000028705	0000028705	00010101	 			2017.07.06 08:56:49									
0000028706	0000028706	00010101	 			2017.07.06 08:56:49									
0000028707	0000028707	00010101	 			2017.07.06 08:56:49									
0000028708	0000028708	00010101	 			2017.07.06 08:56:49									
0000028709	0000028709	00010101	 			2017.07.06 08:56:49									
0000028710	0000028710	00010101	 			2017.07.06 08:56:49									
0000028711	0000028711	00010101	 			2017.07.06 08:56:49									
0000028712	0000028712	00010101	 			2017.07.06 08:56:49									
0000028713	0000028713	00010101	 			2017.07.06 08:56:49									
0000028714	0000028714	00010101	 			2017.07.06 08:56:49									
0000028715	0000028715	00010101	 			2017.07.06 08:56:49									
0000028716	0000028716	00010101	 			2017.07.06 08:56:49									
0000028717	0000028717	00010101	 			2017.07.06 08:56:49									
0000028718	0000028718	00010101	 			2017.07.06 08:56:49									
0000028719	0000028719	00010101	 			2017.07.06 08:56:49									
0000028720	0000028720	00010101	 			2017.07.06 08:56:49									
0000028721	0000028721	00010101	 			2017.07.06 08:56:49									
0000028722	0000028722	00010101	 			2017.07.06 08:56:49									
0000028723	0000028723	00010101	 			2017.07.06 08:56:49									
0000028724	0000028724	00010101	 			2017.07.06 08:56:49									
0000028725	0000028725	00010101	 			2017.07.06 08:56:49									
0000028726	0000028726	00010101	 			2017.07.06 08:56:49									
0000028727	0000028727	00010101	 			2017.07.06 08:56:49									
0000028728	0000028728	00010101	 			2017.07.06 08:56:49									
0000028729	0000028729	00010101	 			2017.07.06 08:56:49									
0000028730	0000028730	00010101	 			2017.07.06 08:56:49									
0000028731	0000028731	00010101	 			2017.07.06 08:56:49									
0000029491	0000029491	00010101	 			2017.07.06 08:56:49									
0000029492	0000029492	00010101	 			2017.07.06 08:56:49									
0000029493	0000029493	00010101	 			2017.07.06 08:56:49									
0000029494	0000029494	00010101	 			2017.07.06 08:56:49									
0000029495	0000029495	00010101	 			2017.07.06 08:56:49									
0000029496	0000029496	00010101	 			2017.07.06 08:56:49									
0000029497	0000029497	00010101	 			2017.07.06 08:56:49									
0000029498	0000029498	00010101	 			2017.07.06 08:56:49									
0000029499	0000029499	00010101	 			2017.07.06 08:56:49									
0000029500	0000029500	00010101	 			2017.07.06 08:56:49									
0000023303	0000023303	00010101	 			2017.07.06 08:56:49									
0000023739	0000023739	00010101	 			2017.07.06 08:56:49									
0000024163	0000024163	00010101	 			2017.07.06 08:56:49									
0000024280	0000024280	00010101	 			2017.07.06 08:56:49									
0000028340	0000028340	00010101	 			2017.07.06 08:56:49									
0000028524	0000028524	00010101	 			2017.07.06 08:56:49									
0000028525	0000028525	00010101	 			2017.07.06 08:56:49									
0000028526	0000028526	00010101	 			2017.07.06 08:56:49									
0000028527	0000028527	00010101	 			2017.07.06 08:56:49									
0000028732	0000028732	00010101	 			2017.07.06 08:56:49									
0000029502	0000029502	00010101	 			2017.07.06 08:56:49									
0000029503	0000029503	00010101	 			2017.07.06 08:56:49									
0000029524	0000029524	00010101	 			2017.07.06 08:56:49									
0000029525	0000029525	00010101	 			2017.07.06 08:56:49									
0000029526	0000029526	00010101	 			2017.07.06 08:56:49									
0000029527	0000029527	00010101	 			2017.07.06 08:56:49									
0000029528	0000029528	00010101	 			2017.07.06 08:56:49									
0000029529	0000029529	00010101	 			2017.07.06 08:56:49									
0000029595	0000029595	00010101	 			2017.07.06 08:56:49									
0000029596	0000029596	00010101	 			2017.07.06 08:56:49									
0000029597	0000029597	00010101	 			2017.07.06 08:56:49									
0000029598	0000029598	00010101	 			2017.07.06 08:56:49									
0000029599	0000029599	00010101	 			2017.07.06 08:56:49									
0000029600	0000029600	00010101	 			2017.07.06 08:56:49									
0000029640	0000029640	00010101	 			2017.07.06 08:56:49									
0000029641	0000029641	00010101	 			2017.07.06 08:56:49									
0000029736	0000029736	00010101	 			2017.07.06 08:56:49									
0000029737	0000029737	00010101	 			2017.07.06 08:56:49									
0000029738	0000029738	00010101	 			2017.07.06 08:56:49									
0000029739	0000029739	00010101	 			2017.07.06 08:56:49									
0000029740	0000029740	00010101	 			2017.07.06 08:56:49									
0000029741	0000029741	00010101	 			2017.07.06 08:56:49									
0000029745	0000029745	00010101	 			2017.07.06 08:56:49									
0000029746	0000029746	00010101	 			2017.07.06 08:56:49									
0000029747	0000029747	00010101	 			2017.07.06 08:56:49									
0000029748	0000029748	00010101	 			2017.07.06 08:56:49									
0000029749	0000029749	00010101	 			2017.07.06 08:56:49									
0000029750	0000029750	00010101	 			2017.07.06 08:56:49									
0000029804	0000029804	00010101	 			2017.07.06 08:56:49									
0000029806	0000029806	00010101	 			2017.07.06 08:56:49									
0000029807	0000029807	00010101	 			2017.07.06 08:56:49									
0000029810	0000029810	00010101	 			2017.07.06 08:56:49									
0000029813	0000029813	00010101	 			2017.07.06 08:56:49									
0000028579	0000028579	00010101	 			2017.07.06 08:56:49									
0000028733	0000028733	00010101	 			2017.07.06 08:56:49									
0000029815	0000029815	00010101	 			2017.07.06 08:56:49									
0000028580	0000028580	00010101	 			2017.07.06 08:56:49									
0000028581	0000028581	00010101	 			2017.07.06 08:56:49									
0000028582	0000028582	00010101	 			2017.07.06 08:56:49									
0000028583	0000028583	00010101	 			2017.07.06 08:56:49									
0000028584	0000028584	00010101	 			2017.07.06 08:56:49									
0000028585	0000028585	00010101	 			2017.07.06 08:56:49									
0000028586	0000028586	00010101	 			2017.07.06 08:56:49									
0000028587	0000028587	00010101	 			2017.07.06 08:56:49									
0000028588	0000028588	00010101	 			2017.07.06 08:56:49									
0000028589	0000028589	00010101	 			2017.07.06 08:56:49									
0000028590	0000028590	00010101	 			2017.07.06 08:56:49									
0000028591	0000028591	00010101	 			2017.07.06 08:56:49									
0000028592	0000028592	00010101	 			2017.07.06 08:56:49									
0000028593	0000028593	00010101	 			2017.07.06 08:56:49									
0000028594	0000028594	00010101	 			2017.07.06 08:56:49									
0000028595	0000028595	00010101	 			2017.07.06 08:56:49									
0000028596	0000028596	00010101	 			2017.07.06 08:56:49									
0000028597	0000028597	00010101	 			2017.07.06 08:56:49									
0000028598	0000028598	00010101	 			2017.07.06 08:56:49									
0000028599	0000028599	00010101	 			2017.07.06 08:56:49									
0000028600	0000028600	00010101	 			2017.07.06 08:56:49									
0000028601	0000028601	00010101	 			2017.07.06 08:56:49									
0000028602	0000028602	00010101	 			2017.07.06 08:56:49									
0000028603	0000028603	00010101	 			2017.07.06 08:56:49									
0000028604	0000028604	00010101	 			2017.07.06 08:56:49									
0000028605	0000028605	00010101	 			2017.07.06 08:56:49									
0000028624	0000028624	00010101	 			2017.07.06 08:56:49									
0000028625	0000028625	00010101	 			2017.07.06 08:56:49									
0000028626	0000028626	00010101	 			2017.07.06 08:56:49									
0000028627	0000028627	00010101	 			2017.07.06 08:56:49									
0000028628	0000028628	00010101	 			2017.07.06 08:56:49									
0000028629	0000028629	00010101	 			2017.07.06 08:56:49									
0000028630	0000028630	00010101	 			2017.07.06 08:56:49									
0000028734	0000028734	00010101	 			2017.07.06 08:56:49									
0000028735	0000028735	00010101	 			2017.07.06 08:56:49									
0000028736	0000028736	00010101	 			2017.07.06 08:56:49									
0000028737	0000028737	00010101	 			2017.07.06 08:56:49									
0000028738	0000028738	00010101	 			2017.07.06 08:56:49									
0000028739	0000028739	00010101	 			2017.07.06 08:56:49									
0000028740	0000028740	00010101	 			2017.07.06 08:56:49									
0000028741	0000028741	00010101	 			2017.07.06 08:56:49									
0000028742	0000028742	00010101	 			2017.07.06 08:56:49									
0000028743	0000028743	00010101	 			2017.07.06 08:56:49									
0000028744	0000028744	00010101	 			2017.07.06 08:56:49									
0000028745	0000028745	00010101	 			2017.07.06 08:56:49									
0000028764	0000028764	00010101	 			2017.07.06 08:56:49									
0000028765	0000028765	00010101	 			2017.07.06 08:56:49									
0000028766	0000028766	00010101	 			2017.07.06 08:56:49									
0000028767	0000028767	00010101	 			2017.07.06 08:56:49									
0000028768	0000028768	00010101	 			2017.07.06 08:56:49									
0000028769	0000028769	00010101	 			2017.07.06 08:56:49									
0000028770	0000028770	00010101	 			2017.07.06 08:56:49									
0000028771	0000028771	00010101	 			2017.07.06 08:56:49									
0000028772	0000028772	00010101	 			2017.07.06 08:56:49									
0000028773	0000028773	00010101	 			2017.07.06 08:56:49									
0000028774	0000028774	00010101	 			2017.07.06 08:56:49									
0000028775	0000028775	00010101	 			2017.07.06 08:56:49									
0000028776	0000028776	00010101	 			2017.07.06 08:56:49									
0000028777	0000028777	00010101	 			2017.07.06 08:56:49									
0000028778	0000028778	00010101	 			2017.07.06 08:56:49									
0000028779	0000028779	00010101	 			2017.07.06 08:56:49									
0000028528	0000028528	00010101	 			2017.07.06 08:56:49									
0000028675	0000028675	00010101	 			2017.07.06 08:56:49									
0000029501	0000029501	00010101	 			2017.07.06 08:56:49									
0000028529	0000028529	00010101	 			2017.07.06 08:56:49									
0000028530	0000028530	00010101	 			2017.07.06 08:56:49									
