LEGACY_COST_ELEMENT	COST_ELEMENT	CONTROLLING_AREA	VALID_TO_DATE	COST_ELEMENT_TXT_GBL	COST_ELEMENT_TXT_LCL	DI_TIMESTAMP									
0052541500	0052541500	A000	99991231	Gain Inventory Value Adjustment Ext. Pro	Ertrag Bestandswertkorrekt. Fremderzeugn	2017.07.14 01:39:20									
0052542000	0052542000	A000	99991231	Gain Price Differences (PRV)	Ertrag aus Preisdifferenzen Vorst Eigenm	2017.07.14 01:39:20									
0052543000	0052543000	A000	99991231	Gain Price Differences (PRY)	Ertrag aus Preisdifferenzen aus Mat. Led	2017.07.14 01:39:20									
0052546000	0052546000	A000	99991231	Consumption Valuation  (COC)	Verbrauchsbewertung (COC)	2017.07.14 01:39:20									
0052570000	0052570000	A000	99991231	Gain from Production Variances	Ertrag aus Preisdifferenzen Eigenerzeugn	2017.07.14 01:39:20									
0071015000	0071015000	A000	99991231	Offsetting Account Revaluation ord. Depr	Gegenkonto Aufwertung Normalabschreibung	2017.07.14 01:39:20									
0052570500	0052570500	A000	99991231	Gain Inventory Value Adjustment Own Prod	Ertrag Bestandswertkorrekt. Eigenerzeugn	2017.07.14 01:39:20									
0000099083	0000099083	A000	99991231	Settlement Service Revenue1		2017.07.14 01:39:20									
0000099084	0000099084	A000	99991231	Res.Anal.Technical1		2017.07.14 01:39:20									
0000099085	0000099085	A000	99991231	Consulting1		2017.07.14 01:39:20									
0000099086	0000099086	A000	99991231	Settlement Service Revenue2		2017.07.14 01:39:20									
0000099087	0000099087	A000	99991231	Res.Anal.Technical2		2017.07.14 01:39:20									
0000099088	0000099088	A000	99991231	Consulting2		2017.07.14 01:39:20									
0000099089	0000099089	A000	99991231	Settlement Service Revenue3		2017.07.14 01:39:20									
0000099090	0000099090	A000	99991231	Res.Anal.Technical3		2017.07.14 01:39:20									
0000099091	0000099091	A000	99991231	Consulting3		2017.07.14 01:39:20									
0041000000	0041000000	A000	99991231	Revenue Domestic - Product	Erlöse Inland - Erzeugnis	2017.07.14 01:39:20									
0041000400	0041000400	A000	99991231	Sales Revenue w/ Cost Element	Umsatzerlöse mit Kostenart	2017.07.14 01:39:20									
0041001000	0041001000	A000	99991231	Revenue Foreign - Product	Erlöse Ausland - Erzeugnis	2017.07.14 01:39:20									
0041001500	0041001500	A000	99991231	Revenue Affiliate -  Product	Erlöse Verbundene - Erzeugnis	2017.07.14 01:39:20									
0041003000	0041003000	A000	99991231	Accrued Revenue – EBR Adjustment	Aktive Abgrenzung - EBR-Anpassung	2017.07.14 01:39:20									
0041004000	0041004000	A000	99991231	Sales Deductions with Cost Element	Erlösschmälerungen mit Kostenart	2017.07.14 01:39:20									
0041007000	0041007000	A000	99991231	Revenue Expenses	Umsatzaufwendungen	2017.07.14 01:39:20									
0041090000	0041090000	A000	99991231	Other Operating Revenue	Sonstige betriebliche Erträge	2017.07.14 01:39:20									
0064021000	0064021000	A000	99991231	Depreciation Expense - Intangible Assets	Abschreibung auf immaterielle Vermögensg	2017.07.14 01:39:20									
0064031000	0064031000	A000	99991231	Depr expense (Bk > Tax) - Exceptional de	Abschreibungsaufwand (SL > St.) - außero	2017.07.14 01:39:20									
0064032000	0064032000	A000	99991231	Depr expense (Bk < Tax) - Exceptional de	Abschreibungsaufwand (SL < St.) - außero	2017.07.14 01:39:20									
0064040000	0064040000	A000	99991231	Scheduled Deprec Fixed Assets below Asse	Planmä. Abschr. auf Sachanlagen unter An	2017.07.14 01:39:20									
0044007000	0044007000	A000	99991231	(-) IPI on Sales (BR)	(-) IPI auf Umsatz (BR)	2017.07.14 01:39:20									
0064060000	0064060000	A000	99991231	Accrued interest  (CO)	Kalkulatorische Zinsen (CO)	2017.07.14 01:39:20									
0044007001	0044007001	A000	99991231	(-) ICMS on Sales (BR)	(-) ICMS auf Umsatz (BR)	2017.07.14 01:39:20									
0044007002	0044007002	A000	99991231	(-) ISS on Sales (BR)	(-) ISS auf Umsatz (BR)	2017.07.14 01:39:20									
0044007003	0044007003	A000	99991231	(-) PIS on Sales (BR)	(-) PIS auf Umsatz (BR)	2017.07.14 01:39:20									
0044007004	0044007004	A000	99991231	(-) Cofins on Sales (BR)	(-) COFINS auf Umsatz (BR)	2017.07.14 01:39:20									
0044420000	0044420000	A000	99991231	Revenue Adjustment - ERR		2017.07.14 01:39:20									
