LEGACY_MAIN_ASSET_NUMBER	COMPANY_CODE	MAIN_ASSET_NUMBER	ASSET_SUBNUMBER	MAIN_ASSET_NUMBER_TXT_GBL	MAIN_ASSET_NUMBER_TXT_LCL	DI_TIMESTAMP									
000000500033	1010	000000500033	0000	MK34	MK34	2017.07.06 08:56:49									
000000500034	1010	000000500034	0000	MK35	MK35	2017.07.06 08:56:49									
000000500035	1010	000000500035	0000	MK36	MK36	2017.07.06 08:56:49									
000000500036	1010	000000500036	0000	MK37	MK37	2017.07.06 08:56:49									
000000500549	1010	000000500549	0000	MK550	MK550	2017.07.06 08:56:49									
000000500550	1010	000000500550	0000	MK551	MK551	2017.07.06 08:56:49									
000000500551	1010	000000500551	0000	MK552	MK552	2017.07.06 08:56:49									
000000500552	1010	000000500552	0000	MK553	MK553	2017.07.06 08:56:49									
000000500553	1010	000000500553	0000	MK554	MK554	2017.07.06 08:56:49									
000000500554	1010	000000500554	0000	MK555	MK555	2017.07.06 08:56:49									
000000500555	1010	000000500555	0000	MK556	MK556	2017.07.06 08:56:49									
000000500556	1010	000000500556	0000	MK557	MK557	2017.07.06 08:56:49									
000000500557	1010	000000500557	0000	MK558	MK558	2017.07.06 08:56:49									
000000500558	1010	000000500558	0000	MK559	MK559	2017.07.06 08:56:49									
000000500559	1010	000000500559	0000	MK560	MK560	2017.07.06 08:56:49									
000000500560	1010	000000500560	0000	MK561	MK561	2017.07.06 08:56:49									
000000500561	1010	000000500561	0000	MK562	MK562	2017.07.06 08:56:49									
000000500562	1010	000000500562	0000	MK563	MK563	2017.07.06 08:56:49									
000000500563	1010	000000500563	0000	MK564	MK564	2017.07.06 08:56:49									
000000500564	1010	000000500564	0000	MK565	MK565	2017.07.06 08:56:49									
000000500565	1010	000000500565	0000	MK566	MK566	2017.07.06 08:56:49									
000000500775	1010	000000500775	0000	MK776	MK776	2017.07.06 08:56:49									
000000500776	1010	000000500776	0000	MK777	MK777	2017.07.06 08:56:49									
000000500777	1010	000000500777	0000	MK778	MK778	2017.07.06 08:56:49									
000000500778	1010	000000500778	0000	MK779	MK779	2017.07.06 08:56:49									
000000500779	1010	000000500779	0000	MK780	MK780	2017.07.06 08:56:49									
000000500780	1010	000000500780	0000	MK781	MK781	2017.07.06 08:56:49									
000000500781	1010	000000500781	0000	MK782	MK782	2017.07.06 08:56:49									
000000500782	1010	000000500782	0000	MK783	MK783	2017.07.06 08:56:49									
000000500783	1010	000000500783	0000	MK784	MK784	2017.07.06 08:56:49									
000000500437	1010	000000500437	0000	MK438	MK438	2017.07.06 08:56:49									
000000500438	1010	000000500438	0000	MK439	MK439	2017.07.06 08:56:49									
000000500439	1010	000000500439	0000	MK440	MK440	2017.07.06 08:56:49									
000000500440	1010	000000500440	0000	MK441	MK441	2017.07.06 08:56:49									
000000500650	1010	000000500650	0000	MK651	MK651	2017.07.06 08:56:49									
000000500651	1010	000000500651	0000	MK652	MK652	2017.07.06 08:56:49									
000000500652	1010	000000500652	0000	MK653	MK653	2017.07.06 08:56:49									
000000500653	1010	000000500653	0000	MK654	MK654	2017.07.06 08:56:49									
000000500654	1010	000000500654	0000	MK655	MK655	2017.07.06 08:56:49									
000000500655	1010	000000500655	0000	MK656	MK656	2017.07.06 08:56:49									
000000500656	1010	000000500656	0000	MK657	MK657	2017.07.06 08:56:49									
000000500657	1010	000000500657	0000	MK658	MK658	2017.07.06 08:56:49									
000000500658	1010	000000500658	0000	MK659	MK659	2017.07.06 08:56:49									
000000500659	1010	000000500659	0000	MK660	MK660	2017.07.06 08:56:49									
000000500660	1010	000000500660	0000	MK661	MK661	2017.07.06 08:56:49									
000000500661	1010	000000500661	0000	MK662	MK662	2017.07.06 08:56:49									
000000500662	1010	000000500662	0000	MK663	MK663	2017.07.06 08:56:49									
000000500663	1010	000000500663	0000	MK664	MK664	2017.07.06 08:56:49									
000000500664	1010	000000500664	0000	MK665	MK665	2017.07.06 08:56:49									
000000500665	1010	000000500665	0000	MK666	MK666	2017.07.06 08:56:49									
000000500514	1010	000000500514	0000	MK515	MK515	2017.07.06 08:56:49									
000000500515	1010	000000500515	0000	MK516	MK516	2017.07.06 08:56:49									
000000500516	1010	000000500516	0000	MK517	MK517	2017.07.06 08:56:49									
000000500517	1010	000000500517	0000	MK518	MK518	2017.07.06 08:56:49									
000000500518	1010	000000500518	0000	MK519	MK519	2017.07.06 08:56:49									
000000500519	1010	000000500519	0000	MK520	MK520	2017.07.06 08:56:49									
000000500520	1010	000000500520	0000	MK521	MK521	2017.07.06 08:56:49									
000000500521	1010	000000500521	0000	MK522	MK522	2017.07.06 08:56:49									
000000500522	1010	000000500522	0000	MK523	MK523	2017.07.06 08:56:49									
000000500523	1010	000000500523	0000	MK524	MK524	2017.07.06 08:56:49									
000000500885	1010	000000500885	0000	MK886	MK886	2017.07.06 08:56:49									
000000500886	1010	000000500886	0000	MK887	MK887	2017.07.06 08:56:49									
000000500887	1010	000000500887	0000	MK888	MK888	2017.07.06 08:56:49									
000000500888	1010	000000500888	0000	MK889	MK889	2017.07.06 08:56:49									
000000500889	1010	000000500889	0000	MK890	MK890	2017.07.06 08:56:49									
000000500890	1010	000000500890	0000	MK891	MK891	2017.07.06 08:56:49									
000000500891	1010	000000500891	0000	MK892	MK892	2017.07.06 08:56:49									
000000500892	1010	000000500892	0000	MK893	MK893	2017.07.06 08:56:49									
000000500214	1010	000000500214	0000	MK215	MK215	2017.07.06 08:56:49									
000000500215	1010	000000500215	0000	MK216	MK216	2017.07.06 08:56:49									
000000500216	1010	000000500216	0000	MK217	MK217	2017.07.06 08:56:49									
000000500217	1010	000000500217	0000	MK218	MK218	2017.07.06 08:56:49									
000000500218	1010	000000500218	0000	MK219	MK219	2017.07.06 08:56:49									
000000500219	1010	000000500219	0000	MK220	MK220	2017.07.06 08:56:49									
000000500220	1010	000000500220	0000	MK221	MK221	2017.07.06 08:56:49									
000000500221	1010	000000500221	0000	MK222	MK222	2017.07.06 08:56:49									
000000500222	1010	000000500222	0000	MK223	MK223	2017.07.06 08:56:49									
000000500223	1010	000000500223	0000	MK224	MK224	2017.07.06 08:56:49									
000000500224	1010	000000500224	0000	MK225	MK225	2017.07.06 08:56:49									
000000500225	1010	000000500225	0000	MK226	MK226	2017.07.06 08:56:49									
000000500226	1010	000000500226	0000	MK227	MK227	2017.07.06 08:56:49									
000000500227	1010	000000500227	0000	MK228	MK228	2017.07.06 08:56:49									
000000500228	1010	000000500228	0000	MK229	MK229	2017.07.06 08:56:49									
000000500229	1010	000000500229	0000	MK230	MK230	2017.07.06 08:56:49									
000000500230	1010	000000500230	0000	MK231	MK231	2017.07.06 08:56:49									
000000500231	1010	000000500231	0000	MK232	MK232	2017.07.06 08:56:49									
000000500441	1010	000000500441	0000	MK442	MK442	2017.07.06 08:56:49									
000000500442	1010	000000500442	0000	MK443	MK443	2017.07.06 08:56:49									
000000500443	1010	000000500443	0000	MK444	MK444	2017.07.06 08:56:49									
000000500444	1010	000000500444	0000	MK445	MK445	2017.07.06 08:56:49									
000000500158	1010	000000500158	0000	MK159	MK159	2017.07.06 08:56:49									
000000500159	1010	000000500159	0000	MK160	MK160	2017.07.06 08:56:49									
000000500160	1010	000000500160	0000	MK161	MK161	2017.07.06 08:56:49									
000000500161	1010	000000500161	0000	MK162	MK162	2017.07.06 08:56:49									
000000500162	1010	000000500162	0000	MK163	MK163	2017.07.06 08:56:49									
000000500667	1010	000000500667	0000	MK668	MK668	2017.07.06 08:56:49									
000000500668	1010	000000500668	0000	MK669	MK669	2017.07.06 08:56:49									
000000500669	1010	000000500669	0000	MK670	MK670	2017.07.06 08:56:49									
000000500670	1010	000000500670	0000	MK671	MK671	2017.07.06 08:56:49									
000000500671	1010	000000500671	0000	MK672	MK672	2017.07.06 08:56:49									
000000500672	1010	000000500672	0000	MK673	MK673	2017.07.06 08:56:49									
000000500673	1010	000000500673	0000	MK674	MK674	2017.07.06 08:56:49									
000000500674	1010	000000500674	0000	MK675	MK675	2017.07.06 08:56:49									
000000500675	1010	000000500675	0000	MK676	MK676	2017.07.06 08:56:49									
000000500676	1010	000000500676	0000	MK677	MK677	2017.07.06 08:56:49									
000000500677	1010	000000500677	0000	MK678	MK678	2017.07.06 08:56:49									
000000500678	1010	000000500678	0000	MK679	MK679	2017.07.06 08:56:49									
000000500679	1010	000000500679	0000	MK680	MK680	2017.07.06 08:56:49									
000000500680	1010	000000500680	0000	MK681	MK681	2017.07.06 08:56:49									
000000500681	1010	000000500681	0000	MK682	MK682	2017.07.06 08:56:49									
000000500682	1010	000000500682	0000	MK683	MK683	2017.07.06 08:56:49									
000000500683	1010	000000500683	0000	MK684	MK684	2017.07.06 08:56:49									
000000500684	1010	000000500684	0000	MK685	MK685	2017.07.06 08:56:49									
000000500685	1010	000000500685	0000	MK686	MK686	2017.07.06 08:56:49									
000000500686	1010	000000500686	0000	MK687	MK687	2017.07.06 08:56:49									
000000500687	1010	000000500687	0000	MK688	MK688	2017.07.06 08:56:49									
000000500688	1010	000000500688	0000	MK689	MK689	2017.07.06 08:56:49									
000000500689	1010	000000500689	0000	MK690	MK690	2017.07.06 08:56:49									
000000500690	1010	000000500690	0000	MK691	MK691	2017.07.06 08:56:49									
000000500900	1010	000000500900	0000	MK901	MK901	2017.07.06 08:56:49									
000000500249	1010	000000500249	0000	MK250	MK250	2017.07.06 08:56:49									
000000500250	1010	000000500250	0000	MK251	MK251	2017.07.06 08:56:49									
000000500251	1010	000000500251	0000	MK252	MK252	2017.07.06 08:56:49									
000000500252	1010	000000500252	0000	MK253	MK253	2017.07.06 08:56:49									
000000500253	1010	000000500253	0000	MK254	MK254	2017.07.06 08:56:49									
000000500254	1010	000000500254	0000	MK255	MK255	2017.07.06 08:56:49									
000000500255	1010	000000500255	0000	MK256	MK256	2017.07.06 08:56:49									
000000500256	1010	000000500256	0000	MK257	MK257	2017.07.06 08:56:49									
000000500257	1010	000000500257	0000	MK258	MK258	2017.07.06 08:56:49									
000000500258	1010	000000500258	0000	MK259	MK259	2017.07.06 08:56:49									
000000500259	1010	000000500259	0000	MK260	MK260	2017.07.06 08:56:49									
000000500260	1010	000000500260	0000	MK261	MK261	2017.07.06 08:56:49									
000000500261	1010	000000500261	0000	MK262	MK262	2017.07.06 08:56:49									
000000500262	1010	000000500262	0000	MK263	MK263	2017.07.06 08:56:49									
000000500263	1010	000000500263	0000	MK264	MK264	2017.07.06 08:56:49									
000000500264	1010	000000500264	0000	MK265	MK265	2017.07.06 08:56:49									
000000500265	1010	000000500265	0000	MK266	MK266	2017.07.06 08:56:49									
000000500266	1010	000000500266	0000	MK267	MK267	2017.07.06 08:56:49									
000000500267	1010	000000500267	0000	MK268	MK268	2017.07.06 08:56:49									
000000500268	1010	000000500268	0000	MK269	MK269	2017.07.06 08:56:49									
000000500269	1010	000000500269	0000	MK270	MK270	2017.07.06 08:56:49									
000000500270	1010	000000500270	0000	MK271	MK271	2017.07.06 08:56:49									
000000500271	1010	000000500271	0000	MK272	MK272	2017.07.06 08:56:49									
000000500272	1010	000000500272	0000	MK273	MK273	2017.07.06 08:56:49									
000000500273	1010	000000500273	0000	MK274	MK274	2017.07.06 08:56:49									
000000500483	1010	000000500483	0000	MK484	MK484	2017.07.06 08:56:49									
000000500949	1010	000000500949	0000	MK950	MK950	2017.07.06 08:56:49									
000000500950	1010	000000500950	0000	MK951	MK951	2017.07.06 08:56:49									
000000500951	1010	000000500951	0000	MK952	MK952	2017.07.06 08:56:49									
000000500952	1010	000000500952	0000	MK953	MK953	2017.07.06 08:56:49									
000000500178	1010	000000500178	0000	MK179	MK179	2017.07.06 08:56:49									
000000500179	1010	000000500179	0000	MK180	MK180	2017.07.06 08:56:49									
000000500180	1010	000000500180	0000	MK181	MK181	2017.07.06 08:56:49									
000000500181	1010	000000500181	0000	MK182	MK182	2017.07.06 08:56:49									
000000500182	1010	000000500182	0000	MK183	MK183	2017.07.06 08:56:49									
000000500183	1010	000000500183	0000	MK184	MK184	2017.07.06 08:56:49									
000000500184	1010	000000500184	0000	MK185	MK185	2017.07.06 08:56:49									
000000500400	1010	000000500400	0000	MK401	MK401	2017.07.06 08:56:49									
000000500401	1010	000000500401	0000	MK402	MK402	2017.07.06 08:56:49									
000000500402	1010	000000500402	0000	MK403	MK403	2017.07.06 08:56:49									
000000500403	1010	000000500403	0000	MK404	MK404	2017.07.06 08:56:49									
000000500404	1010	000000500404	0000	MK405	MK405	2017.07.06 08:56:49									
000000500405	1010	000000500405	0000	MK406	MK406	2017.07.06 08:56:49									
000000500406	1010	000000500406	0000	MK407	MK407	2017.07.06 08:56:49									
000000500905	1010	000000500905	0000	MK906	MK906	2017.07.06 08:56:49									
000000500906	1010	000000500906	0000	MK907	MK907	2017.07.06 08:56:49									
000000500907	1010	000000500907	0000	MK908	MK908	2017.07.06 08:56:49									
000000500908	1010	000000500908	0000	MK909	MK909	2017.07.06 08:56:49									
000000500909	1010	000000500909	0000	MK910	MK910	2017.07.06 08:56:49									
000000500910	1010	000000500910	0000	MK911	MK911	2017.07.06 08:56:49									
000000500911	1010	000000500911	0000	MK912	MK912	2017.07.06 08:56:49									
000000500912	1010	000000500912	0000	MK913	MK913	2017.07.06 08:56:49									
000000500913	1010	000000500913	0000	MK914	MK914	2017.07.06 08:56:49									
000000500914	1010	000000500914	0000	MK915	MK915	2017.07.06 08:56:49									
000000500915	1010	000000500915	0000	MK916	MK916	2017.07.06 08:56:49									
000000500916	1010	000000500916	0000	MK917	MK917	2017.07.06 08:56:49									
000000500917	1010	000000500917	0000	MK918	MK918	2017.07.06 08:56:49									
000000500918	1010	000000500918	0000	MK919	MK919	2017.07.06 08:56:49									
000000500919	1010	000000500919	0000	MK920	MK920	2017.07.06 08:56:49									
000000500920	1010	000000500920	0000	MK921	MK921	2017.07.06 08:56:49									
000000500784	1010	000000500784	0000	MK785	MK785	2017.07.06 08:56:49									
000000500785	1010	000000500785	0000	MK786	MK786	2017.07.06 08:56:49									
000000500097	1010	000000500097	0000	MK98	MK98	2017.07.06 08:56:49									
000000500098	1010	000000500098	0000	MK99	MK99	2017.07.06 08:56:49									
000000500099	1010	000000500099	0000	MK100	MK100	2017.07.06 08:56:49									
000000500100	1010	000000500100	0000	MK101	MK101	2017.07.06 08:56:49									
000000500316	1010	000000500316	0000	MK317	MK317	2017.07.06 08:56:49									
000000500317	1010	000000500317	0000	MK318	MK318	2017.07.06 08:56:49									
000000500318	1010	000000500318	0000	MK319	MK319	2017.07.06 08:56:49									
000000500319	1010	000000500319	0000	MK320	MK320	2017.07.06 08:56:49									
000000500320	1010	000000500320	0000	MK321	MK321	2017.07.06 08:56:49									
000000500321	1010	000000500321	0000	MK322	MK322	2017.07.06 08:56:49									
000000500322	1010	000000500322	0000	MK323	MK323	2017.07.06 08:56:49									
000000500323	1010	000000500323	0000	MK324	MK324	2017.07.06 08:56:49									
000000500324	1010	000000500324	0000	MK325	MK325	2017.07.06 08:56:49									
000000500325	1010	000000500325	0000	MK326	MK326	2017.07.06 08:56:49									
