LEGACY_BP_ROLES	APP_OBJECT	BP_ROLES	BLOCK_REASON_TXT_GBL	BLOCK_REASON_TXT_LCL	DI_TIMESTAMP										
000000	BUPA	000000	Business Partner (General)	Geschäftspartner allgemein	2018.06.19 05:33:47										
BBP003	BUPA	BBP003	Plant	Werk	2018.06.19 05:33:47										
BKK010	BUPA	BKK010	Account Holder	Kontoinhaber	2018.06.19 05:33:47										
BKK020	BUPA	BKK020	Authorized Drawer	Verfügungsberechtigter	2018.06.19 05:33:47										
BKK030	BUPA	BKK030	Bank Statement Recipient	Kontoauszugsempfänger	2018.06.19 05:33:47										
BKK200	BUPA	BKK200	Account Maintenance Officer	Kontoführer	2018.06.19 05:33:47										
BPTM02	BUPA	BPTM02	Extended BP Data for TM (Carrier)	Erweiterte GP-Daten für TM (Spediteur)	2018.06.19 05:33:47										
BUP000	BUPA	BUP000	Obsolete	obsolet	2018.06.19 05:33:47										
BUP001	BUPA	BUP001	Contact Person	Ansprechpartner	2018.06.19 05:33:47										
BUP002	BUPA	BUP002	Prospect	Interessent	2018.06.19 05:33:47										
BUP003	BUPA	BUP003	Employee	Mitarbeiter	2018.06.19 05:33:47										
BUP004	BUPA	BUP004	Organizational Unit	Organisationseinheit	2018.06.19 05:33:47										
BUP005	BUPA	BUP005	Internet User	Internetbenutzer	2018.06.19 05:33:47										
CACSA1	BUPA	CACSA1	Commission Contract Partner	Provisionsvertragspartner	2018.06.19 05:33:47										
CACSA2	BUPA	CACSA2	Commission Clerk	Provisionssachbearbeiter	2018.06.19 05:33:47										
CACSA3	BUPA	CACSA3	Agents	Vermittler	2018.06.19 05:33:47										
CBIH10	BUPA	CBIH10	External Person	Externe Person	2018.06.19 05:33:47										
CBIH20	BUPA	CBIH20	Authority	Behörde	2018.06.19 05:33:47										
CMS001	BUPA	CMS001	CMS Collateral Partner	Sicherheitenpartner CMS	2018.06.19 05:33:47										
FLCU00	BUPA	FLCU00	Customer/Vendor Integration: FI Customer	Debitor-/Kreditorintegration: Debitor	2018.06.19 05:33:47										
FLCU01	BUPA	FLCU01	Customer/Vendor Integration: Customer	Debitor-/Kreditorintegration: Kunde	2018.06.19 05:33:47										
FLVN00	BUPA	FLVN00	Customer/Vendor Integration: FI Vendor	Debitor-/Kreditorintegration: Kreditor	2018.06.19 05:33:47										
FLVN01	BUPA	FLVN01	Customer/Vendor Integration: Vendor	Debitor-/Kreditorintegration: Lieferant	2018.06.19 05:33:47										
FS0001	BUPA	FS0001	FS - Maximum Number of Characteristic Values	Financial Services - Maximalausprägung	2018.06.19 05:33:47										
FS0002	BUPA	FS0002	Financial Services - Minimum Value	Financial Services - Minimalausprägung	2018.06.19 05:33:47										
FS0003	BUPA	FS0003	Financial Services - Differentiation	Financial Services - Differenzierung	2018.06.19 05:33:47										
FS0004	BUPA	FS0004	Financial Services - Company Code	Financial Services - Buchungskreis	2018.06.19 05:33:47										
FS0005	BUPA	FS0005	Financial Services - Direct Input	Financial Services - Direct Input	2018.06.19 05:33:47										
FS0006	BUPA	FS0006	Financial Services - Regulatory Reporting	Financial Services - Meldewesen	2018.06.19 05:33:47										
FS0KNE	BUPA	FS0KNE	Business Partner Borrower Entity	Geschäftspartner Kreditnehmereinheit	2018.06.19 05:33:47										
FTB000	BUPA	FTB000	Business Partner with Company Code	Geschäftspartner mit Buchungskreis	2018.06.19 05:33:47										
HEA010	BUPA	HEA010	Doctor	Arzt	2018.06.19 05:33:47										
HEA020	BUPA	HEA020	External Physician	Externer Arzt	2018.06.19 05:33:47										
HEA030	BUPA	HEA030	Health Center	Medizin. Zentrum	2018.06.19 05:33:47										
HEA040	BUPA	HEA040	Laboratory	Labor	2018.06.19 05:33:47										
HEA050	BUPA	HEA050	External Company	Externe Firma	2018.06.19 05:33:47										
HR1000	BUPA	HR1000	Human Resources Payee	Human Resources Zahlungsempfänger	2018.06.19 05:33:47										
IHB010	BUPA	IHB010	Account Holder In-House Cash	Kontoinhaber Inhouse Cash	2018.06.19 05:33:47										
LM0001	BUPA	LM0001	Processor	Ausführender	2018.06.19 05:33:47										
PSSP01	BUPA	PSSP01	Sponsor	Förderer	2018.06.19 05:33:47										
RCFAGY	BUPA	RCFAGY	Agency	Agentur	2018.06.19 05:33:47										
RCFBRA	BUPA	RCFBRA	Branch	Niederlassung	2018.06.19 05:33:47										
RFMV01	BUPA	RFMV01			2018.06.19 05:33:47										
RTP010	BUPA	RTP010	Retirement Plan Beneficiary	Beguenstigster des Pensionsplans	2018.06.19 05:33:47										
RTP020	BUPA	RTP020	Grantor of an ESA	Geber eines Bildungssparplans	2018.06.19 05:33:47										
RTP030	BUPA	RTP030	Responsible Individual for an ESA	Verantwortlicher fuer Bildungssparplan	2018.06.19 05:33:47										
RTP050	BUPA	RTP050	Deceased Holder of a Retirement Plan	Verstorbener Inhaber eines Pensionsplans	2018.06.19 05:33:47										
SLLSTL	BUPA	SLLSTL	Clerk	Sachbearbeiter	2018.06.19 05:33:47										
TM0001	BUPA	TM0001	Driver	Fahrer	2018.06.19 05:33:47										
RTP040	BUPA	RTP040	Successor Responsible Individual for an ESA	Rechtsnachfolger des Verantwortl. eines Bld.sparp	2018.06.19 05:33:47										
