LEGACY_CHARACTERISTIC_NAME	CHARACTERISTIC_NAME	CHARACTERISTIC_NAME_TXT_GBL	CHARACTERISTIC_NAME_TXT_LCL	DI_TIMESTAMP											
MTA_NUM_N700	MTA_NUM_N700	Num 5.1 Interval mandatory	Num 5.1 Interval mandatory	2017.07.06 08:56:49											
MTA_NUM_N701	MTA_NUM_N701	Num 5.1 Interval mandatory	Num 5.1 Interval mandatory	2017.07.06 08:56:49											
MTA_NUM_N8	MTA_NUM_N8	Num 5.2 Multiple value with In		2017.07.06 08:56:49											
MTA_NUM_N800	MTA_NUM_N800	Num 5.2 Multiple value with In		2017.07.06 08:56:49											
MTA_NUM_N801	MTA_NUM_N801	Num 5.2 Multiple value with In		2017.07.06 08:56:49											
MTA_NUM_T1	MTA_NUM_T1	Time	Zeit	2017.07.06 08:56:49											
MTA_NUM_T1000	MTA_NUM_T1000	Time	Zeit	2017.07.06 08:56:49											
MTA_NUM_T1001	MTA_NUM_T1001	Time	Zeit	2017.07.06 08:56:49											
MTA_TIME_9080	MTA_TIME_9080	TIME single value		2017.07.06 08:56:49											
MIG_CHAR_HIER_NCS_9010	MIG_CHAR_HIER_NCS_9010	Hierarchy not case sensitive E		2017.07.06 08:56:49											
MIG_CHAR_HIER_NCS_9020	MIG_CHAR_HIER_NCS_9020	Hierarchy not case sensitive C		2017.07.06 08:56:49											
MIG_CHAR_HIER_NCS_9030	MIG_CHAR_HIER_NCS_9030	Hierarchy case sensitive Char		2017.07.06 08:56:49											
MIG_CURR_ADDATA_9070	MIG_CURR_ADDATA_9070	CURR w/ Add.Data (templ) Class		2017.07.06 08:56:49											
MIG_CURR_C10	MIG_CURR_C10	CURR 13.2 EUR Multiple value		2017.07.06 08:56:49											
MIG_CURR_C20	MIG_CURR_C20	CURR 15 JPY Multiple value wit		2017.07.06 08:56:49											
MIG_CURR_C30	MIG_CURR_C30	CURR 13.2 EUR allowed values 5		2017.07.06 08:56:49											
MIG_CURR_C40	MIG_CURR_C40	CURR 13.3 KWD +/-		2017.07.06 08:56:49											
MIG_CURR_INTV_9110	MIG_CURR_INTV_9110	CURR 13.2 Interval -1000 +2000		2017.07.06 08:56:49											
MIG_DATE_9040	MIG_DATE_9040	Date multiple value		2017.07.06 08:56:49											
MIG_DATE_INTV_9090	MIG_DATE_INTV_9090	DATE interval / single value		2017.07.06 08:56:49											
MIG_NUM_D10	MIG_NUM_D10	Date	Datum	2017.07.06 08:56:49											
MIG_NUM_D20	MIG_NUM_D20	Date with reference to table f		2017.07.06 08:56:49											
MIG_NUM_INTERVAL0	MIG_NUM_INTERVAL0	NUM interval diff. Units		2017.07.06 08:56:49											
MIG_NUM_INTV_9051	MIG_NUM_INTV_9051	Numerical with Interval differ		2017.07.06 08:56:49											
MIG_NUM_N10	MIG_NUM_N10	Num 10	Num 10	2017.07.06 08:56:49											
LOBM_COUNTRY_OK	LOBM_COUNTRY_OK	Suitable for Country	zulässig für Land	2017.07.06 08:56:49											
MIG_NUM_N20	MIG_NUM_N20	Num 5.3  Template	Num 5.3  Template	2017.07.06 08:56:49											
MIG_NUM_N30	MIG_NUM_N30	Num 10.2	Num 10.2	2017.07.06 08:56:49											
MIG_NUM_N40	MIG_NUM_N40	Num 12.3 Multiple value	Num 12.3 Multiple value	2017.07.06 08:56:49											
MIG_NUM_N50	MIG_NUM_N50	Num 5	Num 5	2017.07.06 08:56:49											
MIG_NUM_N60	MIG_NUM_N60	Num 5 Interval +/-	Num 5 Interval +/-	2017.07.06 08:56:49											
MIG_NUM_N70	MIG_NUM_N70	Num 5.1 Interval mandatory	Num 5.1 Interval mandatory	2017.07.06 08:56:49											
MIG_NUM_N80	MIG_NUM_N80	Num 5.2 Multiple value with In		2017.07.06 08:56:49											
MIG_NUM_T10	MIG_NUM_T10	Time	Zeit	2017.07.06 08:56:49											
MIG_TIME_9080	MIG_TIME_9080	TIME single value		2017.07.06 08:56:49											
MIG_TIME_INTV_9100	MIG_TIME_INTV_9100	TIME interval / multiple value		2017.07.06 08:56:49											
MM_EBAN_BSART	MM_EBAN_BSART	Purchase Requisition Document	Purchase requisition Document	2017.07.06 08:56:49											
MM_EBAN_EKGRP	MM_EBAN_EKGRP	Purchasing Group	Einkäufergruppe	2017.07.06 08:56:49											
MM_EBAN_EKORG	MM_EBAN_EKORG	Purchasing organization	Purchasing Organization	2017.07.06 08:56:49											
MTA_TIME_90801	MTA_TIME_90801	TIME single value		2017.07.06 08:56:49											
MTA_TIME_INTV_9100	MTA_TIME_INTV_9100	TIME interval / multiple value		2017.07.06 08:56:49											
MTA_TIME_INTV_91001	MTA_TIME_INTV_91001	TIME interval / multiple value		2017.07.06 08:56:49											
R2R_PURCH_GRP	R2R_PURCH_GRP	Purchasing Group	Einkäufergruppe	2017.07.06 08:56:49											
R2R_PURCH_ORD_TYPE	R2R_PURCH_ORD_TYPE	Order Type (Purchasing)	Bestellart	2017.07.06 08:56:49											
R2R_PURCH_ORD_VALUE	R2R_PURCH_ORD_VALUE	Total net order value	Nettobestellwert	2017.07.06 08:56:49											
YB_BATCH_NUMBER	YB_BATCH_NUMBER	Batch Number	Chargennummer	2017.07.06 08:56:49											
YB_SUPPLIER_BATCH_NUMBER	YB_SUPPLIER_BATCH_NUMBER	Vendor Batch Number	Lieferantenchargennummer	2017.07.06 08:56:49											
AVC_CR_BCAPACITY_V00	AVC_CR_BCAPACITY_V00	Battery Capacity [Ah]	Battery Capacity [Ah]	2017.07.06 08:56:49											
AVC_CR_COUNTERWEIGHT_VXX	AVC_CR_COUNTERWEIGHT_VXX	Counterweight		2017.07.06 08:56:49											
AVC_CR_FORKLENGTH_VXX	AVC_CR_FORKLENGTH_VXX	Fork Length		2017.07.06 08:56:49											
AVC_CR_FORKSIZE_VXX	AVC_CR_FORKSIZE_VXX	Fork Size		2017.07.06 08:56:49											
AVC_CR_LIFTERMODEL_VXX	AVC_CR_LIFTERMODEL_VXX	Lifter Model		2017.07.06 08:56:49											
AVC_CR_POWERSOURCE_VXX	AVC_CR_POWERSOURCE_VXX	Power Source		2017.07.06 08:56:49											
AVC_CR_SDCOMVKOND_VXX	AVC_CR_SDCOMVKOND_VXX	Variant condition	Variantenkondition	2017.07.06 08:56:49											
