LEGACY_CONDITION_TYPE	CONDITION_TYPE	APPLICATION	USAGE_OF_COND_TABLE	CONDITION_TYPE_TXT_GBL	CONDITION_TYPE_TXT_LCL	DI_TIMESTAMP									
A001	A001	VD	C	Standard	Standard	2018.06.19 05:33:47									
AF00	AF00	V1	B	Inquiry	Anfrage	2018.06.19 05:33:47									
AN00	AN00	V1	B	Quotation	Angebot	2018.06.19 05:33:47									
AP1E	AP1E	TX	A	A/P Sales Tax 1 Exp.	KR Umsatzst. 1 Befr.	2018.06.19 05:33:47									
AP1I	AP1I	TX	A	A/P Sales Tax 1 Inv.	KR Umsatzst. 1 Best.	2018.06.19 05:33:47									
AP1U	AP1U	TX	A	A/P Sales Tax 1 Use	KR Umsatzst. 1 Verw.	2018.06.19 05:33:47									
AP2E	AP2E	TX	A	A/P Sales Tax 2 Exp.	KR Umsatzst. 2 Befr.	2018.06.19 05:33:47									
AP2I	AP2I	TX	A	A/P Sales Tax 2 Inv.	KR Umsatzst. 2 Best.	2018.06.19 05:33:47									
AP2U	AP2U	TX	A	A/P Sales Tax 2 Use	KR Umsatzst. 2 Verw.	2018.06.19 05:33:47									
AP3E	AP3E	TX	A	A/P Sales Tax 3 Exp.	KR Umsatzst. 3 Befr.	2018.06.19 05:33:47									
AP3I	AP3I	TX	A	A/P Sales Tax 3 Inv.	KR Umsatzst. 3 Best.	2018.06.19 05:33:47									
AP3U	AP3U	TX	A	A/P Sales Tax 3 Use	KR Umsatzst. 3 Verw.	2018.06.19 05:33:47									
AP4E	AP4E	TX	A	A/P Sales Tax 4 Exp.	KR Umsatzst. 4 Befr.	2018.06.19 05:33:47									
AP4I	AP4I	TX	A	A/P Sales Tax 4 Inv.	KR Umsatzst. 4 Best.	2018.06.19 05:33:47									
AP4U	AP4U	TX	A	A/P Sales Tax 4 Use	KR Umsatzst. 4 Verw.	2018.06.19 05:33:47									
AR1	AR1	TX	A	A/R Sales Tax 1	DE Umsatzsteuer 1	2018.06.19 05:33:47									
AR2	AR2	TX	A	A/R Sales Tax 2	DE Umsatzsteuer 2	2018.06.19 05:33:47									
AR3	AR3	TX	A	A/R Sales Tax 3	DE Umsatzsteuer 3	2018.06.19 05:33:47									
