LEGACY_COST_CENTER	COST_CENTER	CONTROLLING_CENTER	VALID_TO_DATE	COST_CENTER_TXT_GBL	COST_CENTER_TXT_LCL	DI_TIMESTAMP									
0017101014	0017101014	A000	20151231			2017.07.06 08:56:49									
0017101101	0017101101	A000	99991231	Financials (US)	Finanzen (US)	2017.07.06 08:56:49									
0017101201	0017101201	A000	99991231	Purch & Stores 1 (US)	Einkauf und Lager 1 (US)	2017.07.06 08:56:49									
0017101202	0017101202	A000	99991231	Purch & Stores 2 (US)	Einkauf und Lager 2 (US)	2017.07.06 08:56:49									
0017101301	0017101301	A000	99991231	Manufacturing 1 (US)	Produktion 1 (US)	2017.07.06 08:56:49									
0017101302	0017101302	A000	99991231	Manufacturing 2 (US)	Produktion 2 (US)	2017.07.06 08:56:49									
0017101321	0017101321	A000	99991231	Services/Consulting (US)	Dienstleistungen/Beratung (US)	2017.07.06 08:56:49									
0017101401	0017101401	A000	99991231	QM (US)	QM (US)	2017.07.06 08:56:49									
0017101501	0017101501	A000	99991231	R&D (US)	F&E (US)	2017.07.06 08:56:49									
0017101601	0017101601	A000	99991231	Marketing (US)	Marketing (US)	2017.07.06 08:56:49									
0017101602	0017101602	A000	99991231	Sales (US)	Verkauf (US)	2017.07.06 08:56:49									
0017101701	0017101701	A000	99991231	Plant & Maintenance (US)	Werk und Instandhaltung (US)	2017.07.06 08:56:49									
0017101750	0017101750	A000	99991231	Build. & Maintenance (US)	Gebäude und Instandhaltung (US)	2017.07.06 08:56:49									
0017101751	0017101751	A000	99991231	HR Services-(US)	HR-Services (US)	2017.07.06 08:56:49									
0017101752	0017101752	A000	99991231	HR Recruitment-(US)	HR-PersBeschaff (US)	2017.07.06 08:56:49									
0017101753	0017101753	A000	99991231	IT Services-(US)	IT-Services (US)	2017.07.06 08:56:49									
0017101801	0017101801	A000	99991231	Other Inc.&Expense (US)	Sonstige Erlöse und Aufwände (US)	2017.07.06 08:56:49									
0017101901	0017101901	A000	99991231	Back Office-(US)	Back-Office (US)	2017.07.06 08:56:49									
0017101902	0017101902	A000	99991231	Consulting Unit A-(US)	Beratungseinheit A (US)	2017.07.06 08:56:49									
0017101903	0017101903	A000	99991231	Consulting Unit B-(US)	Beratungseinheit B (US)	2017.07.06 08:56:49									
0017101904	0017101904	A000	99991231	Customer Development-(US)	Kundenentwicklung (US)	2017.07.06 08:56:49									
0017202125	0017202125	A000	20151231	Purch & Store 2 (US)		2017.07.06 08:56:49									
0010101011	0010101011	A000	99991231	Purch & Store 1 (DE)		2017.07.06 08:56:49									
0010101015	0010101015	A000	99991231			2017.07.06 08:56:49									
0010101101	0010101101	A000	99991231	Financials (DE)	Finanzen (DE)	2017.07.06 08:56:49									
0010101201	0010101201	A000	99991231	Purch & Stores 1 (DE)	Einkauf und Lager 1 (DE)	2017.07.06 08:56:49									
0010101202	0010101202	A000	99991231	Purch & Stores 2 (DE)	Einkauf und Lager 2 (DE)	2017.07.06 08:56:49									
0010101301	0010101301	A000	99991231	Manufacturing 1 (DE)	Produktion 1 (DE)	2017.07.06 08:56:49									
0010101302	0010101302	A000	99991231	Manufacturing 2 (DE)	Produktion 2 (DE)	2017.07.06 08:56:49									
0010101321	0010101321	A000	99991231	Services/Consulting (DE)	Dienstleistungen/Beratung (DE)	2017.07.06 08:56:49									
0010101401	0010101401	A000	99991231	QM (DE)	QM (DE)	2017.07.06 08:56:49									
0010101501	0010101501	A000	99991231	R&D (DE)	F&E (DE)	2017.07.06 08:56:49									
0010101601	0010101601	A000	99991231	Marketing (DE)	Marketing (DE)	2017.07.06 08:56:49									
0010101602	0010101602	A000	99991231	Sales (DE)	Verkauf (DE)	2017.07.06 08:56:49									
0010101701	0010101701	A000	99991231	Plant & Maintenance (DE)	Werk und Instandhaltung (DE)	2017.07.06 08:56:49									
0010101750	0010101750	A000	99991231	Build. & Maintenance (DE)	Gebäude und Instandhaltung (DE)	2017.07.06 08:56:49									
0010101751	0010101751	A000	99991231	HR Services-(DE)	HR-Services (DE)	2017.07.06 08:56:49									
0010101752	0010101752	A000	99991231	HR Recruitment-(DE)	HR-PersBeschaff (DE)	2017.07.06 08:56:49									
0010101753	0010101753	A000	99991231	IT Services-(DE)	IT-Services (DE)	2017.07.06 08:56:49									
0010101801	0010101801	A000	99991231	Other Inc.&Expense (DE)	Sonstige Erlöse und Aufwände (DE)	2017.07.06 08:56:49									
0010101901	0010101901	A000	99991231	Back Office-(DE)	Back-Office (DE)	2017.07.06 08:56:49									
0010101902	0010101902	A000	99991231	Dummy text		2017.07.06 08:56:49									
0010101903	0010101903	A000	99991231	Dummy text		2017.07.06 08:56:49									
0010101904	0010101904	A000	99991231	Dummy text		2017.07.06 08:56:49									
0010101905	0010101905	A000	99991231	STE Test		2017.07.06 08:56:49									
