LEGACY_COST_ELEMENT	CHART_OF_ACCOUNTS	COST_ELEMENT	COST_ELEMENT_TXT_GBL	COST_ELEMENT_TXT_LCL	DI_TIMESTAMP										
0094304000	YCOA	0094304000	WATER	WASSER	2017.07.06 08:56:49										
0061006000	YCOA	0061006000	TRAV.EXP ENTERTAINMT	BEWIRTNG PRÄSENTATIO	2017.07.06 08:56:49										
0061007000	YCOA	0061007000	TRAV.EXP AIR,RL,MILE	R.-KOSTEN TRANSPORT	2017.07.06 08:56:49										
0061008000	YCOA	0061008000	TRAV.EXPENSE MISC.	SONSTIGE R.-KOSTEN	2017.07.06 08:56:49										
0061010000	YCOA	0061010000	PAYROLL OTHER EXP	SONSTIGE PERS.KOSTEN	2017.07.06 08:56:49										
0061020000	YCOA	0061020000	PAYROLL BONUS	BONUS LÖHNE	2017.07.06 08:56:49										
0061021000	YCOA	0061021000	PAYROLL OVERTIME SAL	ÜBERSTUNDENGEHÄLTER	2017.07.06 08:56:49										
0061021100	YCOA	0061021100	PAYROLL OVERTIME WAG	ÜBERSTUNDENLÖHNE	2017.07.06 08:56:49										
0061022000	YCOA	0061022000	PAYROLL VACATN PAY S	URLAUBSGEHÄLTER	2017.07.06 08:56:49										
0061022010	YCOA	0061022010	SICK PAY	KRANKENGELD	2017.07.06 08:56:49										
0061022020	YCOA	0061022020	DISABILITY PAY	KRANKHEITSLOHNFORTZ.	2017.07.06 08:56:49										
0061022030	YCOA	0061022030	LONG SERVICE LEAVE	DIENSTALTERURLAUB	2017.07.06 08:56:49										
0061022040	YCOA	0061022040	WORKERS' COMP.ASSOC.	BERUFSGEN.-BEITRAG	2017.07.06 08:56:49										
0061022100	YCOA	0061022100	PAYROLL VACATN PAY W	URLAUBSLÖHNE	2017.07.06 08:56:49										
0061023010	YCOA	0061023010	PAYR MEDICAL INSURAN	PERSABR. KRANKVERS.	2017.07.06 08:56:49										
0061051000	YCOA	0061051000	PAYROLL EXP.DWN.WAG	AUSFALLLÖHNE	2017.07.06 08:56:49										
0061052000	YCOA	0061052000	PAYROLL EXP.DWN.SAL	AUSFALLGEHÄLTER	2017.07.06 08:56:49										
0061060000	YCOA	0061060000	PAYROLL EXP.PENSION	ALTERSVORSORGE	2017.07.06 08:56:49										
0061061000	YCOA	0061061000	PAYROLL BENEFITS	ARBEITGEBERLEIST.	2017.07.06 08:56:49										
0094227000	YCOA	0094227000	COPA ASSESSMENTS-NON	CO-PA UMLAGEN -NICHT	2017.07.06 08:56:49										
0061062000	YCOA	0061062000	WORKER COMP ASSOC	BERUFSGENOSSENSCHAFT	2017.07.06 08:56:49										
0075003000	YCOA	0075003000	DEFERRED TAX	LATENTE STEUERN	2017.07.06 08:56:49										
0075004000	YCOA	0075004000	OTHER TAXES INCOME	SO ERTRAGSSTEUERN	2017.07.06 08:56:49										
0075005000	YCOA	0075005000	INPUT TAX (NAV)	SO STEUERN NAV	2017.07.06 08:56:49										
0075007000	YCOA	0075007000	PROPERTY TAXES	GRUNDSTEUER	2017.07.06 08:56:49										
0075008000	YCOA	0075008000	TRADE TAX	GEWERBESTEUER	2017.07.06 08:56:49										
0075008020	YCOA	0075008020	TAX FRINGE BENEFITS	ST AUF GEHALTSZUS	2017.07.06 08:56:49										
0075008050	YCOA	0075008050	EXPORT TAXES	AUSFUHRSTEUERN	2017.07.06 08:56:49										
0066010000	YCOA	0066010000	DISCOUNTIN EXP (ZKB)	AUFWAND ABZINS (ZKB)	2017.07.06 08:56:49										
0052074000	YCOA	0052074000	PRICE DIFFERENC INPV	PREISDIFFERENZ INPV	2017.07.06 08:56:49										
0052075000	YCOA	0052075000	PRICE DIFFERENC MXPV	PREISDIFFERENZ MXPV	2017.07.06 08:56:49										
0052076000	YCOA	0052076000	PRICE DIFFERENC OPPV	PREISDIFFERENZ OPPV	2017.07.06 08:56:49										
0052077000	YCOA	0052077000	PRICE DIFFERENC LSFV	PREISDIFFERENZ LSFV	2017.07.06 08:56:49										
0052078000	YCOA	0052078000	PRICE DIFFERENC REMV	PREISDIFFERENZ REMV	2017.07.06 08:56:49										
0052079000	YCOA	0052079000	PRICE DIFFERENC SCRP	PREISDIFFERENZ SCRP	2017.07.06 08:56:49										
0052080000	YCOA	0052080000	LOSS ALLWD DIFF CLRG	AUFWAND TOL AUSGLDIF	2017.07.06 08:56:49										
0052501000	YCOA	0052501000	GAIN INV VAR-RAW/TR	ERTRAG INVDIFF R/H	2017.07.06 08:56:49										
