LEGACY_COUNTRY_DIALLING_CODE	COUNTRY_DIALLING_CODE	COUNTRY_CODE	COUNTRY_DIALLING_CODE_TXT_GBL	COUNTRY_DIALLING_CODE_TXT_LCL	DI_TIMESTAMP										
46	46	SE			2017.07.06 08:56:49										
47	47	NO			2017.07.06 08:56:49										
47	47	SJ			2017.07.06 08:56:49										
48	48	PL			2017.07.06 08:56:49										
49	49	DE			2017.07.06 08:56:49										
500	500	FK			2017.07.06 08:56:49										
501	501	BZ			2017.07.06 08:56:49										
502	502	GT			2017.07.06 08:56:49										
503	503	SV			2017.07.06 08:56:49										
504	504	HN			2017.07.06 08:56:49										
505	505	NI			2017.07.06 08:56:49										
506	506	CR			2017.07.06 08:56:49										
507	507	PA			2017.07.06 08:56:49										
508	508	PM			2017.07.06 08:56:49										
509	509	HT			2017.07.06 08:56:49										
51	51	PE			2017.07.06 08:56:49										
52	52	MX			2017.07.06 08:56:49										
372	372	EE			2017.07.06 08:56:49										
 	 	BV			2017.07.06 08:56:49										
 	 	GS			2017.07.06 08:56:49										
 	 	HM			2017.07.06 08:56:49										
91	91	IN			2017.07.06 08:56:49										
211	211	SS			2017.07.06 08:56:49										
212	212	EH			2017.07.06 08:56:49										
212	212	MA			2017.07.06 08:56:49										
213	213	DZ			2017.07.06 08:56:49										
216	216	TN			2017.07.06 08:56:49										
218	218	LY			2017.07.06 08:56:49										
220	220	GM			2017.07.06 08:56:49										
221	221	SN			2017.07.06 08:56:49										
222	222	MR			2017.07.06 08:56:49										
223	223	ML			2017.07.06 08:56:49										
224	224	GN			2017.07.06 08:56:49										
225	225	CI			2017.07.06 08:56:49										
226	226	BF			2017.07.06 08:56:49										
227	227	NE			2017.07.06 08:56:49										
228	228	TG			2017.07.06 08:56:49										
229	229	BJ			2017.07.06 08:56:49										
230	230	MU			2017.07.06 08:56:49										
231	231	LR			2017.07.06 08:56:49										
251	251	ET			2017.07.06 08:56:49										
252	252	SO			2017.07.06 08:56:49										
253	253	DJ			2017.07.06 08:56:49										
254	254	KE			2017.07.06 08:56:49										
255	255	TZ			2017.07.06 08:56:49										
256	256	UG			2017.07.06 08:56:49										
257	257	BI			2017.07.06 08:56:49										
258	258	MZ			2017.07.06 08:56:49										
260	260	ZM			2017.07.06 08:56:49										
261	261	MG			2017.07.06 08:56:49										
262	262	RE			2017.07.06 08:56:49										
263	263	ZW			2017.07.06 08:56:49										
264	264	NA			2017.07.06 08:56:49										
358	358	AX			2017.07.06 08:56:49										
370	370	LT			2017.07.06 08:56:49										
265	265	MW			2017.07.06 08:56:49										
266	266	LS			2017.07.06 08:56:49										
267	267	BW			2017.07.06 08:56:49										
268	268	SZ			2017.07.06 08:56:49										
269	269	KM			2017.07.06 08:56:49										
269	269	YT			2017.07.06 08:56:49										
27	27	ZA			2017.07.06 08:56:49										
290	290	SH			2017.07.06 08:56:49										
291	291	ER			2017.07.06 08:56:49										
297	297	AW			2017.07.06 08:56:49										
232	232	SL			2017.07.06 08:56:49										
233	233	GH			2017.07.06 08:56:49										
234	234	NG			2017.07.06 08:56:49										
235	235	TD			2017.07.06 08:56:49										
