LEGACY_REGION	REGION	COUNTRY	REGION_TXT_GBL	REGION_TXT_LCL	DI_TIMESTAMP										
00	00	AR	Capital Federal	Capital Federal	2018.06.19 05:33:47										
00	00	PH	National Capital Reg	Nat. Capital Region	2018.06.19 05:33:47										
00	00	RS	Beograd	Belgrad	2018.06.19 05:33:47										
001	001	LV	Aglona	Aglona	2018.06.19 05:33:47										
001	001	SI	Ajdovscina	Ajdovscina	2018.06.19 05:33:47										
002	002	LV	Aizkraukle	Aizkraukle	2018.06.19 05:33:47										
002	002	SI	Beltinci	Beltinci	2018.06.19 05:33:47										
003	003	LV	Aizpute	Aizpute	2018.06.19 05:33:47										
003	003	SI	Bled	Bled	2018.06.19 05:33:47										
004	004	LV	Aknīste	Akniste	2018.06.19 05:33:47										
004	004	SI	Bohinj	Bohinj	2018.06.19 05:33:47										
005	005	LV	Aloja	Aloja	2018.06.19 05:33:47										
005	005	SI	Borovnica	Borovnica	2018.06.19 05:33:47										
006	006	LV	Alsunga	Alsunga	2018.06.19 05:33:47										
006	006	SI	Bovec	Bovec	2018.06.19 05:33:47										
007	007	LV	Alūksne	Aluksne	2018.06.19 05:33:47										
007	007	SI	Brda	Brda	2018.06.19 05:33:47										
008	008	LV	Amata	Amata	2018.06.19 05:33:47										
008	008	SI	Brezovica	Brezovica	2018.06.19 05:33:47										
009	009	LV	Ape	Ape	2018.06.19 05:33:47										
009	009	SI	Brezice	Brezice	2018.06.19 05:33:47										
01	01	AL	Berat	Berat	2018.06.19 05:33:47										
01	01	AR	Buenos Aires	Buenos Aires	2018.06.19 05:33:47										
01	01	BD	Bandarban	Bandarban	2018.06.19 05:33:47										
01	01	BG	Blagoevgrad	Blagoewgrad	2018.06.19 05:33:47										
01	01	CU	Pinar del Río	Pinar del Rio	2018.06.19 05:33:47										
01	01	CY	Nicosia	Nikosia	2018.06.19 05:33:47										
01	01	DO	Distrito Nacional	Distrito Nacional	2018.06.19 05:33:47										
01	01	DZ	Adrar	Adrar	2018.06.19 05:33:47										
01	01	ES	Alava	Alava	2018.06.19 05:33:47										
01	01	FI	Aland	Aland	2018.06.19 05:33:47										
01	01	FR	Ain	Ain	2018.06.19 05:33:47										
01	01	GD	Saint Andrew	Saint Andrew	2018.06.19 05:33:47										
01	01	HR	Zagrebacka	Zagrebacka	2018.06.19 05:33:47										
01	01	IR	East Azerbaijan	Ost-Aserbaidschan	2018.06.19 05:33:47										
01	01	JM	Kingston	Kingston	2018.06.19 05:33:47										
01	01	JP	Hokkaido	Hokkaido	2018.06.19 05:33:47										
01	01	KE	Baringo	Baringo	2018.06.19 05:33:47										
01	01	KN	ChristChurchNicholaT	ChristChurchNicholaT	2018.06.19 05:33:47										
01	01	KP	Pyongyang	Pjöngjang	2018.06.19 05:33:47										
01	01	LI	Balzers	Balzers	2018.06.19 05:33:47										
01	01	MA	TangerTétouanAlHoceï		2018.06.19 05:33:47										
01	01	ME	Andrijevica	Andrijevica	2018.06.19 05:33:47										
01	01	MM	Sagaing	Sagaing	2018.06.19 05:33:47										
01	01	MR	Hodh ech Chargui	Hodh Ech Chargui	2018.06.19 05:33:47										
01	01	MT	Attard	Attard	2018.06.19 05:33:47										
01	01	MY	Johor	Johor	2018.06.19 05:33:47										
01	01	NO	Ostfold	Ostfold	2018.06.19 05:33:47										
01	01	NR	Aiwo	Aiwo	2018.06.19 05:33:47										
01	01	PH	Ilocos	Ilocos	2018.06.19 05:33:47										
01	01	RS	Severnobački distr.	Distr. Severnobacki	2018.06.19 05:33:47										
01	01	RU	Adigeja Republic	Republik Adygeja	2018.06.19 05:33:47										
01	01	RW	City of Kigali	Kigali (Stadt)	2018.06.19 05:33:47										
01	01	SA	Riyadh	Riad	2018.06.19 05:33:47										
01	01	SM	Acquaviva	Acquaviva	2018.06.19 05:33:47										
01	01	TO	Eua Island	Eua (Insel)	2018.06.19 05:33:47										
01	01	TR	Adana	Adana	2018.06.19 05:33:47										
01	01	TZ	Arusha	Arusha	2018.06.19 05:33:47										
01	01	VN	Lai Châu	Lai Chau	2018.06.19 05:33:47										
01	01	ZM	Western	Western	2018.06.19 05:33:47										
010	010	LV	Auce	Auce	2018.06.19 05:33:47										
010	010	SI	Tisina	Tisina	2018.06.19 05:33:47										
011	011	LV	Ādaži	Adazi	2018.06.19 05:33:47										
011	011	SI	Celje	Celje	2018.06.19 05:33:47										
012	012	LV	Babīte	Babite	2018.06.19 05:33:47										
012	012	SI	Cerklje na Gorenjske	Cerklje na Gorenjske	2018.06.19 05:33:47										
013	013	LV	Baldone	Baldone	2018.06.19 05:33:47										
013	013	SI	Cerknica	Cerknica	2018.06.19 05:33:47										
014	014	LV	Baltinava	Baltinava	2018.06.19 05:33:47										
014	014	SI	Cerkno	Cerkno	2018.06.19 05:33:47										
015	015	LV	Balvi	Balvi	2018.06.19 05:33:47										
015	015	SI	Crensovci	Crensovci	2018.06.19 05:33:47										
016	016	LV	Bauska	Bauska	2018.06.19 05:33:47										
016	016	SI	Crna na Koroskem	Crna na Koroskem	2018.06.19 05:33:47										
017	017	LV	Beverīna	Beverina	2018.06.19 05:33:47										
017	017	SI	Crnomelj	Crnomelj	2018.06.19 05:33:47										
018	018	LV	Brocēni	Broceni	2018.06.19 05:33:47										
018	018	SI	Destrnik	Destrnik	2018.06.19 05:33:47										
019	019	LV	Burtnieki	Burtnieki	2018.06.19 05:33:47										
019	019	SI	Divaca	Divaca	2018.06.19 05:33:47										
02	02	AD	Canillo	Canillo	2018.06.19 05:33:47										
02	02	AL	Durrës	Durres	2018.06.19 05:33:47										
02	02	AR	Catamarca	Catamarca	2018.06.19 05:33:47										
02	02	BD	Barguna	Barguna	2018.06.19 05:33:47										
