LEGACY_CURRENCY	CURRENCY	ISOCD	ALTWR	GDATU	XPRIMARY	CURRENCY_TXT_GBL	CURRENCY_TXT_LCL	DI_TIMESTAMP							
AED	AED	AED	784	00000000	 	UAE Dirham	VAE-Dirham	2018.06.19 05:33:47							
AFN	AFN	AFN	971	00000000	 	Afghani	Afghani	2018.06.19 05:33:47							
ALL	ALL	ALL	008	00000000	 	Albanian Lek	Albanischer Lek	2018.06.19 05:33:47							
AMD	AMD	AMD	051	00000000	 	Armenian Dram	Armenisch. Dram	2018.06.19 05:33:47							
ANG	ANG	ANG	532	00000000	 	W. Ind. Guilder	Westind.-Gulden	2018.06.19 05:33:47							
AOA	AOA	AOA	973	00000000	 	Angolan Kwanza	Angolan. Kwanza	2018.06.19 05:33:47							
ARS	ARS	ARS	032	00000000	 	Argentine Peso	Argentin. Peso	2018.06.19 05:33:47							
AUD	AUD	AUD	036	00000000	 	Austr. Dollar	Austr. Dollar	2018.06.19 05:33:47							
AWG	AWG	AWG	533	00000000	 	Aruban Florin	Aruba-Florin	2018.06.19 05:33:47							
AZN	AZN	AZN	944	00000000	 	Azerb. Manat	Aserbaid.-Manat	2018.06.19 05:33:47							
BAM	BAM	BAM	977	00000000	 	B. + H. C. Mark	Kon. Mark (B+H)	2018.06.19 05:33:47							
BBD	BBD	BBD	052	00000000	 	Barbados Dollar	Barbados-Dollar	2018.06.19 05:33:47							
BDT	BDT	BDT	050	00000000	 	Bangladesh Taka	Taka	2018.06.19 05:33:47							
BGN	BGN	BGN	975	00000000	 	Bulgarian Lev	Bulgarisch. Lew	2018.06.19 05:33:47							
BHD	BHD	BHD	048	00000000	 	Bahrain Dinar	Bahrain-Dinar	2018.06.19 05:33:47							
BIF	BIF	BIF	108	00000000	 	Burundi Franc	Burundi-Franc	2018.06.19 05:33:47							
BMD	BMD	BMD	060	00000000	 	Bermudan Dollar	Bermuda-Dollar	2018.06.19 05:33:47							
BND	BND	BND	096	00000000	 	Brunei Dollar	Brunei-Dollar	2018.06.19 05:33:47							
BOB	BOB	BOB	068	00000000	 	Boliviano	Boliviano	2018.06.19 05:33:47							
BRL	BRL	BRL	986	00000000	 	Brazilian Real	Brasilian. Real	2018.06.19 05:33:47							
BSD	BSD	BSD	044	00000000	 	Bahaman Dollar	Bahama-Dollar	2018.06.19 05:33:47							
BTN	BTN	BTN	064	00000000	 	Bhutan Ngultrum	Ngultrum	2018.06.19 05:33:47							
BWP	BWP	BWP	072	00000000	 	Botswana Pula	Botswan. Pula	2018.06.19 05:33:47							
BYN	BYN	BYN	933	00000000	 	Belarus. Ruble	Weißruss. Rubel	2018.06.19 05:33:47							
