LEGACY_CUSTOMER_NUMBER	CUSTOMER_NUMBER	COMPANY_CODE	PREVIOUS_MASTER_RECORD_NUMBER	CUSTOMER_NUMBER_TXT_GBL	CUSTOMER_NUMBER_TXT_LCL	DI_TIMESTAMP									
0010100001	0010100001	1010	 		Inlandskunde DE 1	2018.06.19 05:33:47									
0010100002	0010100002	1010	 		Inlandskunde DE 2	2018.06.19 05:33:47									
0010100003	0010100003	1010	 		Inlandskunde DE 3	2018.06.19 05:33:47									
0010100004	0010100004	1010	 		Inlandskunde DE 4	2018.06.19 05:33:47									
0010100005	0010100005	1010	 		Inlandskunde DE 5 (CMS)	2018.06.19 05:33:47									
0010100006	0010100006	1010	 		Inlandskunde DE 6 (Retouren)	2018.06.19 05:33:47									
0010100007	0010100007	1010	 		Inland-Lohnbearbeiter A , DE	2018.06.19 05:33:47									
0010100008	0010100008	1010	 		Inlandskunde DE 8	2018.06.19 05:33:47									
0010100009	0010100009	1010	 		Inlandskunde DE 9	2018.06.19 05:33:47									
0010100010	0010100010	1010	 		Inlandskunde DE 10	2018.06.19 05:33:47									
0010100011	0010100011	1010	 		SAP SE	2018.06.19 05:33:47									
0010100012	0010100012	1010	 		Inlandskunde Invoice List	2018.06.19 05:33:47									
0010100013	0010100013	1010	 		Inlandskunde Invoice List	2018.06.19 05:33:47									
0010100014	0010100014	1010	 		PAYER - Zentrale Walldorf	2018.06.19 05:33:47									
0010100050	0010100050	1010	 	Ausländischer Kunde 50 (US)		2018.06.19 05:33:47									
0010100051	0010100051	1010	 			2018.06.19 05:33:47									
0010100060	0010100060	1010	 			2018.06.19 05:33:47									
0010100100	0010100100	1010	 		Inlandskunde DE 100 (SEPA)	2018.06.19 05:33:47									
0010100273	0010100273	1010	 		Inlandskunde DE CPD	2018.06.19 05:33:47									
0010200001	0010200001	1010	 	Supplier/Customer for Intrastat (HU		2018.06.19 05:33:47									
0010300010	0010300010	1010	 		Inlandslieferant DE 1	2018.06.19 05:33:47									
0017100001	0017100001	1710	 	Domestic US Customer 1		2018.06.19 05:33:47									
0017100002	0017100002	1710	 	Domestic US Customer 2		2018.06.19 05:33:47									
0017100003	0017100003	1710	 	Domestic Customer US 3		2018.06.19 05:33:47									
0017100004	0017100004	1710	 	Domestic Customer US 4		2018.06.19 05:33:47									
0017100005	0017100005	1710	 	Domestic US Customer 5 (CMS)		2018.06.19 05:33:47									
0017100006	0017100006	1710	 	Domestic Customer US 6 (Returns)		2018.06.19 05:33:47									
0017100007	0017100007	1710	 	Domestic US Subcontractor A		2018.06.19 05:33:47									
0017100008	0017100008	1710	 	Domestic US Customer 8		2018.06.19 05:33:47									
0017100009	0017100009	1710	 	Domestic US Customer 9		2018.06.19 05:33:47									
0017100010	0017100010	1710	 	Domestic US Customer 10		2018.06.19 05:33:47									
0017100011	0017100011	1710	 	SAP SE		2018.06.19 05:33:47									
0017100012	0017100012	1710	 	Domestic Customer Invoice List		2018.06.19 05:33:47									
0017100013	0017100013	1710	 	Domestic Customer Invoice List		2018.06.19 05:33:47									
0017100014	0017100014	1710	 	PAYER - Central		2018.06.19 05:33:47									
0017100050	0017100050	1710	 		Foreign Customer 50 (DE)	2018.06.19 05:33:47									
0017100051	0017100051	1710	 	Foreign Customer 51 (CA)		2018.06.19 05:33:47									
0017100100	0017100100	1710	 	Domestic US Customer Direct Debit		2018.06.19 05:33:47									
0017100273	0017100273	1710	 	Domestic US CPD		2018.06.19 05:33:47									
0017300010	0017300010	1710	 	Domestic US Supplier 10		2018.06.19 05:33:47									
0KPBP	0KPBP	1010	 	Test customer for legal control		2018.06.19 05:33:47									
BP1010	BP1010	1010	 		WERK 1	2018.06.19 05:33:47									
BP1710	BP1710	1710	 		Plant 1	2018.06.19 05:33:47									
EWM10-CU01	EWM10-CU01	1010	 		EWM-Kunde 01 (Inland)	2018.06.19 05:33:47									
EWM10-CU02	EWM10-CU02	1010	 		EWM-Kunde 02 (Inland)	2018.06.19 05:33:47									
EWM10-CU03	EWM10-CU03	1010	 		EWM-Kunde 03 (Inland)	2018.06.19 05:33:47									
EWM17-CU01	EWM17-CU01	1710	 	EWM Domestic Customer 01		2018.06.19 05:33:47									
EWM17-CU02	EWM17-CU02	1710	 	EWM Domestic Customer 02		2018.06.19 05:33:47									
EWM17-CU03	EWM17-CU03	1710	 	EWM Domestic Customer 03		2018.06.19 05:33:47									
PR_AC_2133	KH_CUS0001	1010	PR_AC_2133		Name_2133	2018.06.19 05:33:47									
PR_ACC_210	MIGCUS0001	1010	PR_ACC_210	Euclidus University		2018.06.19 05:33:47									
MIGCUS0001	MIGCUS0001	1710	 	Euclidus University		2018.06.19 05:33:47									
MIGCUS0002	MIGCUS0002	1710	 	World Banks		2018.06.19 05:33:47									
MIGCUS0003	MIGCUS0003	1710	 	22nd Century Fox		2018.06.19 05:33:47									
