LEGACY_EQUIPMENT_NUMBER	EQUIPMENT_NUMBER	EQUIPMENT_NUMBER_TXT_GBL	EQUIPMENT_NUMBER_TXT_LCL	DI_TIMESTAMP											
000000000010000082	000000000010000082	Inlet Water Valve		2017.07.06 08:56:49											
000000000010000083	000000000010000083	Inlet Water Valve		2017.07.06 08:56:49											
000000000010000084	000000000010000084	Inlet Water Valve		2017.07.06 08:56:49											
000000000010000085	000000000010000085	Inlet Water Valve		2017.07.06 08:56:49											
000000000010000086	000000000010000086	Inlet Water Valve		2017.07.06 08:56:49											
000000000010000087	000000000010000087	Compressor Stage 3		2017.07.06 08:56:49											
000000000010000088	000000000010000088	Compressor Stage 3		2017.07.06 08:56:49											
000000000010000089	000000000010000089	Compressor Stage 3		2017.07.06 08:56:49											
000000000010000090	000000000010000090	Compressor Stage 3		2017.07.06 08:56:49											
000000000010000091	000000000010000091	Compressor Stage 3		2017.07.06 08:56:49											
000000000210000030	000000000210000030	Pump 01		2017.07.06 08:56:49											
000000000210000031	000000000210000031	Pump 02		2017.07.06 08:56:49											
000000000210000032	000000000210000032	Pump 03		2017.07.06 08:56:49											
000000000210000033	000000000210000033	Pump 04		2017.07.06 08:56:49											
000000000210000034	000000000210000034	Pump 05		2017.07.06 08:56:49											
000000000210000035	000000000210000035	Pump 06		2017.07.06 08:56:49											
000000000210000036	000000000210000036	Pump 07		2017.07.06 08:56:49											
000000000210000037	000000000210000037	Pump 08		2017.07.06 08:56:49											
000000000210000038	000000000210000038	Pump 09		2017.07.06 08:56:49											
000000000210000039	000000000210000039	Pump 10		2017.07.06 08:56:49											
000000000010000000	000000000010000000	test by herrick		2017.07.06 08:56:49											
000000000010000001	000000000010000001	test by herrick		2017.07.06 08:56:49											
000000000010000002	000000000010000002	test by herrick		2017.07.06 08:56:49											
000000000010000003	000000000010000003	Cooling Water Circulation Pump		2017.07.06 08:56:49											
000000000010000004	000000000010000004	Pump 01		2017.07.06 08:56:49											
000000000010000005	000000000010000005	Pump 02		2017.07.06 08:56:49											
000000000010000006	000000000010000006	Pump 03		2017.07.06 08:56:49											
000000000010000007	000000000010000007	Pump 04		2017.07.06 08:56:49											
000000000010000008	000000000010000008	Pump 05		2017.07.06 08:56:49											
000000000010000009	000000000010000009	Pump 06		2017.07.06 08:56:49											
000000000010000010	000000000010000010	Pump 07		2017.07.06 08:56:49											
000000000010000011	000000000010000011	Pump 08		2017.07.06 08:56:49											
000000000010000012	000000000010000012	Pump 09		2017.07.06 08:56:49											
000000000010000013	000000000010000013	Pump 10		2017.07.06 08:56:49											
000000000010000014	000000000010000014	Pump 11		2017.07.06 08:56:49											
000000000010000015	000000000010000015	test by herrick		2017.07.06 08:56:49											
000000000010000016	000000000010000016	TEST		2017.07.06 08:56:49											
000000000010000017	000000000010000017	TEST FIN126,MTS-DI,PD,SerialNo		2017.07.06 08:56:49											
000000000210000040	000000000210000040	Pump 11		2017.07.06 08:56:49											
000000000210000130	000000000210000130	Pump 01		2017.07.06 08:56:49											
000000000210000131	000000000210000131	Pump 01		2017.07.06 08:56:49											
000000000210000132	000000000210000132	Pump 01		2017.07.06 08:56:49											
000000000210000133	000000000210000133	Pump 01		2017.07.06 08:56:49											
000000000210100001	000000000210100001	Manual Isolation Valve	Manuelles Absperrventil	2017.07.06 08:56:49											
000000000210100002	000000000210100002	Control Valve	Regelventil	2017.07.06 08:56:49											
000000000210100003	000000000210100003	Gear Box	Getriebe	2017.07.06 08:56:49											
000000000210100004	000000000210100004	Compressor Motor	Kompressormotor	2017.07.06 08:56:49											
000000000210100005	000000000210100005	DE side Bearing Assembly	A-seitige Lagerung	2017.07.06 08:56:49											
000000000210100006	000000000210100006	NDE side Bearing Assembly	B-seitige Lagerung	2017.07.06 08:56:49											
