LEGACY_FUNCTIONAL_LOCATION	FUNCTIONAL_LOCATION	FUNCTIONAL_LOCATION_TXT_GBL	FUNCTIONAL_LOCATION_TXT_LCL	DI_TIMESTAMP											
0000	0000	Cooling Tower Fan		2017.07.06 08:56:49											
0000-CWS	0000-CWS	Cooling Towers		2017.07.06 08:56:49											
0000-CWS-CTW	0000-CWS-CTW	Cooling Tower#01		2017.07.06 08:56:49											
0000-CWS-CTW-CTW01	0000-CWS-CTW-CTW01	Cooling Tower Fan		2017.07.06 08:56:49											
0000-CWS-CTW-CTW01-IWIV	0000-CWS-CTW-CTW01-IWIV	Inlet Water Isolation Valve		2017.07.06 08:56:49											
0000-CWS-CTW-CTW01-IWPS	0000-CWS-CTW-CTW01-IWPS	Inlet Water Pipes		2017.07.06 08:56:49											
0000-CWS-CTW-CTW02	0000-CWS-CTW-CTW02	Cooling Tower#02		2017.07.06 08:56:49											
0000-CWS-CTW-CTW02-CTFN	0000-CWS-CTW-CTW02-CTFN	Cooling Tower Fan		2017.07.06 08:56:49											
0000-CWS-CTW-CTW02-IWIV	0000-CWS-CTW-CTW02-IWIV	Inlet Water Isolation Valve		2017.07.06 08:56:49											
0000-CWS-CTW-CTW02-IWPS	0000-CWS-CTW-CTW02-IWPS	Inlet Water Pipes		2017.07.06 08:56:49											
0000-CWT	0000-CWT	Cooling Water Circulation System		2017.07.06 08:56:49											
0000-CWT-001	0000-CWT-001	Cooling Water Circulation Pump#01		2017.07.06 08:56:49											
0000-CWT-WCT-001	0000-CWT-WCT-001	Cooling Water Circulation Pump#02		2017.07.06 08:56:49											
0001	0001	Cooling Tower Fan		2017.07.06 08:56:49											
0001-001	0001-001	Cooling Tower#01		2017.07.06 08:56:49											
0001-001-001	0001-001-001	Inlet Water Isolation Valve		2017.07.06 08:56:49											
0002-120	0002-120	Cooling Tower Fan		2017.07.06 08:56:49											
0002-122	0002-122	Cooling Tower Fan		2017.07.06 08:56:49											
0002-124	0002-124	Cooling Tower Fan		2017.07.06 08:56:49											
0002-126	0002-126	Cooling Tower Fan		2017.07.06 08:56:49											
0002-128	0002-128	Cooling Tower Fan		2017.07.06 08:56:49											
0003-121	0003-121	Compr1 - Inlet: Control Valve		2017.07.06 08:56:49											
0003-123	0003-123	Compr1 - Inlet: Control Valve		2017.07.06 08:56:49											
0003-125	0003-125	Compr1 - Inlet: Control Valve		2017.07.06 08:56:49											
0003-127	0003-127	Compr1 - Inlet: Control Valve		2017.07.06 08:56:49											
0003-129	0003-129	Compr1 - Inlet: Control Valve		2017.07.06 08:56:49											
0003-131	0003-131	Compr2 - Inlet: Control Valve		2017.07.06 08:56:49											
0003-133	0003-133	Compr2 - Inlet: Control Valve		2017.07.06 08:56:49											
1010	1010	Central Services	Zentrale Dienste	2017.07.06 08:56:49											
1010-CWS	1010-CWS	Cooling Water System	Kühlwassersystem	2017.07.06 08:56:49											
1010-CWS-CTW	1010-CWS-CTW	Cooling Towers	Kühltürme	2017.07.06 08:56:49											
1010-CWS-CTW-CTW01	1010-CWS-CTW-CTW01	Cooling Tower#01	Kühlturm#01	2017.07.06 08:56:49											
1010-CWS-CTW-CTW01-CTFN	1010-CWS-CTW-CTW01-CTFN	Cooling Tower Fan	Kühlturmventilator	2017.07.06 08:56:49											
1010-CWS-CTW-CTW01-IWIV	1010-CWS-CTW-CTW01-IWIV	Inlet Water Isolation Valve	Absperrventil für Wassereinlass	2017.07.06 08:56:49											
1010-CWS-CTW-CTW01-IWPS	1010-CWS-CTW-CTW01-IWPS	Inlet Water Pipes	Wassereinlassrohre	2017.07.06 08:56:49											
1010-CWS-CTW-CTW02	1010-CWS-CTW-CTW02	Cooling Tower#02	Kühlturm#02	2017.07.06 08:56:49											
1010-CWS-CTW-CTW02-CTFN	1010-CWS-CTW-CTW02-CTFN	Cooling Tower Fan	Kühlturmventilator	2017.07.06 08:56:49											
1010-CWS-CTW-CTW02-IWIV	1010-CWS-CTW-CTW02-IWIV	Inlet Water Isolation Valve	Absperrventil für Wassereinlass	2017.07.06 08:56:49											
1010-CWS-CTW-CTW02-IWPS	1010-CWS-CTW-CTW02-IWPS	Inlet Water Pipes	Wassereinlassrohre	2017.07.06 08:56:49											
1010-CWS-WCS	1010-CWS-WCS	Cooling Water Circulation System	Kühlwasserkreislauf	2017.07.06 08:56:49											
1010-CWS-WCS-CWCP1	1010-CWS-WCS-CWCP1	Cooling Water Circulation Pump#01	Kühlwasserumwälzpumpe#01	2017.07.06 08:56:49											
