LEGACY_GL_ACCOUNT_NUMBER	GL_ACCOUNT_NUMBER	CHART_OF_ACCOUNTS	GL_ACCOUNT_NUMBER_TXT_GBL	GL_ACCOUNT_NUMBER_TXT_LCL	DI_TIMESTAMP										
0000121200	0000121200	YCOA	test		2018.06.19 05:33:47										
0010010000	0010010000	YCOA	Petty Cash	Handkasse	2018.06.19 05:33:47										
0010020000	0010020000	YCOA	Petty Cash Journal - postings automatic only	Kassenbuch - Buchungen nur automatisch	2018.06.19 05:33:47										
0011001000	0011001000	YCOA	Bank 1 - Bank (Main) Account	Bank 1 - Bankhauptkonto	2018.06.19 05:33:47										
0011001010	0011001010	YCOA	Bank 1 - Cash Payment	Bank 1 - Barzahlung	2018.06.19 05:33:47										
0011001020	0011001020	YCOA	Bank 1 - Bank Transfer (Domestic/SEPA/Foreign)	Bank 1 - Überweisung (In-/Ausland/SEPA)	2018.06.19 05:33:47										
0011001030	0011001030	YCOA	Bank 1 - Other Interim Transfers	Bank 1 - Sonstige Zwischenbuchungen	2018.06.19 05:33:47										
0011001040	0011001040	YCOA	Bank 1 - Direct Debit	Bank 1 - Lastschrift	2018.06.19 05:33:47										
0011001045	0011001045	YCOA	Bank 1 - Returns	Bank 1 - Rückläufer	2018.06.19 05:33:47										
0011001050	0011001050	YCOA	Bank 1 - Checks Out	Bank 1 - Scheckausgang	2018.06.19 05:33:47										
0011001055	0011001055	YCOA	Bank 1 - BoE Out	Bank 1 - Wechselausgang	2018.06.19 05:33:47										
0011001060	0011001060	YCOA	Bank 1 - Checks In	Bank 1 - Scheckeingang	2018.06.19 05:33:47										
0011001065	0011001065	YCOA	Bank 1 - BoE Collection	Bank 1 - Wechselinkasso	2018.06.19 05:33:47										
0011001066	0011001066	YCOA	Bank 1 - BoE Discounting	Bank 1 - Wechseldiskontierung	2018.06.19 05:33:47										
0011001070	0011001070	YCOA	Bank 1 - Check Clearing Account	Bank 1 - Scheckverrechnung	2018.06.19 05:33:47										
0011001080	0011001080	YCOA	Bank 1 - Cash Receipt	Bank 1 - Bareinzahlung	2018.06.19 05:33:47										
0011001090	0011001090	YCOA	Bank 1 - Technical Account for Bank Statement	Bank 1 - Technisches Konto für Kontoauszug	2018.06.19 05:33:47										
0011001099	0011001099	YCOA	Bank 1 - Foreign Currency Adjustment	Bank 1 - Korrekturkonto	2018.06.19 05:33:47										
0011001100	0011001100	YCOA	Bank 1 - Bank (Main) Account Foreign Currency	Bank 1 - (Haupt-)Bankkonto Fremdwährung	2018.06.19 05:33:47										
