LEGACY_COMPANY	COMPANY	COMPANY_TXT_GBL	COMPANY_TXT_LCL	DI_TIMESTAMP											
001010	001010	Company 1010	Company 1010	2018.06.19 05:33:47											
001310	001310	1310	1310	2018.06.19 05:33:47											
001410	001410	1410	1410	2018.06.19 05:33:47											
001510	001510	1510	1510	2018.06.19 05:33:47											
001710	001710	Company 1710	Company 1710	2018.06.19 05:33:47											
001720	001720	Company 1720	Company 1720	2018.06.19 05:33:47											
001730	001730	Company 1730	Company 1730	2018.06.19 05:33:47											
001740	001740	Company 1740	Company 1740	2018.06.19 05:33:47											
001750	001750	Company 1750	Company 1750	2018.06.19 05:33:47											
001760	001760	Company 1760	Company 1760	2018.06.19 05:33:47											
001770	001770	Company 1770	Company 1770	2018.06.19 05:33:47											
001780	001780	Company 1780	Company 1780	2018.06.19 05:33:47											
001790	001790	Company 1790	Company 1790	2018.06.19 05:33:47											
001800	001800	Company 1800	Company 1800	2018.06.19 05:33:47											
001810	001810	Company 1810	Company 1810	2018.06.19 05:33:47											
002110	002110	2110	2110	2018.06.19 05:33:47											
002210	002210	2210	2210	2018.06.19 05:33:47											
002310	002310	2310	2310	2018.06.19 05:33:47											
002910	002910	2910	2910	2018.06.19 05:33:47											
003010	003010	3010	3010	2018.06.19 05:33:47											
003310	003310	3310	3310	2018.06.19 05:33:47											
006110	006110	6110	6110	2018.06.19 05:33:47											
006210	006210	6210	6210	2018.06.19 05:33:47											
006310	006310	6310	6310	2018.06.19 05:33:47											
006410	006410	6410	6410	2018.06.19 05:33:47											
006910	006910	6910	6910	2018.06.19 05:33:47											
