LEGACY_ISO_CODE	ISO_CODE	ISO_CODE_TXT_GBL	ISO_CODE_TXT_LCL	DI_TIMESTAMP											
23	23	Gram/Cubic Centimeter	Gramm/Kubikzentimeter	2017.07.06 08:56:49											
28	28	Kilogram/Square meter	Kilogramm/Quadratmeter	2017.07.06 08:56:49											
2J	2J	Cubic centimeter/second	Kubikzentimeter/Sekunde	2017.07.06 08:56:49											
2M	2M	Centimeter/second	Zentimeter/Sekunde	2017.07.06 08:56:49											
2X	2X	Meter/Minute	Meter/Minute	2017.07.06 08:56:49											
2Z	2Z	Millivolt	Millivolt	2017.07.06 08:56:49											
3B	3B	Megajoule	Megajoule	2017.07.06 08:56:49											
3H	3H	Kilogram/Kilogram	Kilogramm/Kilogramm	2017.07.06 08:56:49											
4G	4G	Microliter	Mikroliter	2017.07.06 08:56:49											
4H	4H	Micrometer	Mikrometer	2017.07.06 08:56:49											
4K	4K	Milliampere	Milliampere	2017.07.06 08:56:49											
4O	4O	Microfarad	Mikrofarad	2017.07.06 08:56:49											
4P	4P	Newton/meter	Newton/Meter	2017.07.06 08:56:49											
4T	4T	Pikofarad	Pikofarad	2017.07.06 08:56:49											
59	59	Parts per million	Parts per million	2017.07.06 08:56:49											
61	61	Parts per billion (US)	Parts per billion (US)	2017.07.06 08:56:49											
A18	A18	Becquerel/kilogram	Becquerel/Kilogramm	2017.07.06 08:56:49											
A87	A87	Gigaohm	Gigaohm	2017.07.06 08:56:49											
A93	A93	Gram/Cubic meter	Gramm/Kubikmeter	2017.07.06 08:56:49											
A97	A97	Hectopascal	Hektopascal	2017.07.06 08:56:49											
ACR	ACR	Acre	Acre	2017.07.06 08:56:49											
AMP	AMP	Ampere	Ampere	2017.07.06 08:56:49											
ANN	ANN	Year	Jahr	2017.07.06 08:56:49											
B0	B0	BTU/Cubic Foot	BTU/Kubikfuß	2017.07.06 08:56:49											
B11	B11	Joule /(Kilogram Kelvin)	Joule /(Kilogramm Kelvin)	2017.07.06 08:56:49											
B15	B15	Joule/Mole	Joule/Mol	2017.07.06 08:56:49											
B22	B22	Kiloampere	Kiloampere	2017.07.06 08:56:49											
B25	B25	Kilobecquerel/Kilogram	Kilobecquerel/Kilogramm	2017.07.06 08:56:49											
B34	B34	Kilogram/cubic decimeter	Kilogramm/Kubikdezimeter	2017.07.06 08:56:49											
B42	B42	Kilojoule/Kilogram	Kilojoule/Kilogramm	2017.07.06 08:56:49											
B44	B44	Kilojoule/Mole	Kilojoule/Mol	2017.07.06 08:56:49											
B45	B45	Kilomol	Kilomol	2017.07.06 08:56:49											
B47	B47	Kilonewton	Kilonewton	2017.07.06 08:56:49											
B49	B49	Kiloohm	Kiloohm	2017.07.06 08:56:49											
B73	B73	Meganewton	Meganewton	2017.07.06 08:56:49											
B75	B75	Megohm	Megaohm	2017.07.06 08:56:49											
B78	B78	Megavolt	Megavolt	2017.07.06 08:56:49											
B84	B84	Microampere	Mikroampere	2017.07.06 08:56:49											
B98	B98	Microsecond	Mikrosekunde	2017.07.06 08:56:49											
BAR	BAR	Bar	Bar	2017.07.06 08:56:49											
BG	BG	Bag	Tüte	2017.07.06 08:56:49											
BO	BO	Bottle	Flasche	2017.07.06 08:56:49											
BX	BX	Crate	Kiste	2017.07.06 08:56:49											
C10	C10	Millifarad	Millifarad	2017.07.06 08:56:49											
C15	C15	Millijoule	Millijoule	2017.07.06 08:56:49											
C16	C16	Millimeter/second	Millimeter/Sekunde	2017.07.06 08:56:49											
C18	C18	Millimole	Millimol	2017.07.06 08:56:49											
C19	C19	Mole/Kilogram	Mol/Kilogramm	2017.07.06 08:56:49											
C22	C22	Millinewton/meter	Millinewton/Meter	2017.07.06 08:56:49											
C24	C24	Millipascal seconds	Millipascalsekunde	2017.07.06 08:56:49											
C26	C26	Millisecond	Millisekunde	2017.07.06 08:56:49											
C29	C29	Millitesla	Millitesla	2017.07.06 08:56:49											
C31	C31	Milliwatt	Milliwatt	2017.07.06 08:56:49											
C34	C34	Mole	Mol	2017.07.06 08:56:49											
C36	C36	Mol per conductability	Mol pro Leitfähigkeit	2017.07.06 08:56:49											
C38	C38	Mole per Liter	Mol pro Liter	2017.07.06 08:56:49											
C39	C39	Nanoampere	Nanoampere	2017.07.06 08:56:49											
C41	C41	Nanofarad	Nanofarad	2017.07.06 08:56:49											
C45	C45	Nanometer	Nanometer	2017.07.06 08:56:49											
C47	C47	Nanosecond	Nanosekunde	2017.07.06 08:56:49											
