LEGACY_MAIN_ASSET_NUMBER	COMPANY_CODE	MAIN_ASSET_NUMBER	MAIN_ASSET_NUMBER_TXT_GBL	MAIN_ASSET_NUMBER_TXT_LCL	DI_TIMESTAMP										
000000100000	1010	000000100000	Your asset description	Your asset description	2017.07.06 08:56:49										
000000100003	1010	000000100003	May 23	May 23	2017.07.06 08:56:49										
000000100004	1010	000000100004	dsfdsf	dsfdsf	2017.07.06 08:56:49										
000000100005	1010	000000100005	sfdsfsdf	sfdsfsdf	2017.07.06 08:56:49										
000000100006	1010	000000100006	Modell Großspeicher Hallen / Container	Modell Großspeicher Hallen / Container	2017.07.06 08:56:49										
000000200000	1010	000000200000	MK01_777	MK01_777	2017.07.06 08:56:49										
000000500000	1010	000000500000	MK01	MK01	2017.07.06 08:56:49										
000000500001	1010	000000500001	MK02	MK02	2017.07.06 08:56:49										
000000500002	1010	000000500002	MK03	MK03	2017.07.06 08:56:49										
000000500003	1010	000000500003	MK04	MK04	2017.07.06 08:56:49										
000000500004	1010	000000500004	MK05	MK05	2017.07.06 08:56:49										
000000500005	1010	000000500005	MK06	MK06	2017.07.06 08:56:49										
000000500006	1010	000000500006	MK07	MK07	2017.07.06 08:56:49										
000000500007	1010	000000500007	MK08	MK08	2017.07.06 08:56:49										
000000500008	1010	000000500008	MK09	MK09	2017.07.06 08:56:49										
000000500009	1010	000000500009	MK10	MK10	2017.07.06 08:56:49										
000000500010	1010	000000500010	MK11	MK11	2017.07.06 08:56:49										
000000500011	1010	000000500011	MK12	MK12	2017.07.06 08:56:49										
000000500012	1010	000000500012	MK13	MK13	2017.07.06 08:56:49										
000000500013	1010	000000500013	MK14	MK14	2017.07.06 08:56:49										
000000500014	1010	000000500014	MK15	MK15	2017.07.06 08:56:49										
000000500015	1010	000000500015	MK16	MK16	2017.07.06 08:56:49										
000000500016	1010	000000500016	MK17	MK17	2017.07.06 08:56:49										
000000500017	1010	000000500017	MK18	MK18	2017.07.06 08:56:49										
000000500018	1010	000000500018	MK19	MK19	2017.07.06 08:56:49										
000000500019	1010	000000500019	MK20	MK20	2017.07.06 08:56:49										
000000500020	1010	000000500020	MK21	MK21	2017.07.06 08:56:49										
000000500021	1010	000000500021	MK22	MK22	2017.07.06 08:56:49										
000000500022	1010	000000500022	MK23	MK23	2017.07.06 08:56:49										
