LEGACY_MATERIAL_NUMBER	MATERIAL_NUMBER	MATERIAL_TYPE	OLD_MATERIAL_NUMBER	MATERIAL_NUMBER_TXT_GBL	MATERIAL_NUMBER_TXT_LCL	DI_TIMESTAMP									
CM-FL-V00	CM-FL-V00	KMAT	 	Forklift	Forklift	2017.07.06 08:56:49									
CM-FL-V01	CM-FL-V01	KMAT	 	Forklift	Forklift	2017.07.06 08:56:49									
EWMS4-01	EWMS4-01	HAWA	 	Small Part, Slow-Moving Item	Kleinteil, Langsamdreher	2017.07.06 08:56:49									
EWMS4-02	EWMS4-02	HAWA	 	Small Part, Fast-Moving Item	Kleinteil, Schnelldreher	2017.07.06 08:56:49									
EWMS4-03	EWMS4-03	HAWA	 	Large Part, Slow-Moving Item	Großteil, Langsamdreher	2017.07.06 08:56:49									
EWMS4-10	EWMS4-10	HAWA	 	Large Part, Slow-Moving Item	Großteil, Langsamdreher	2017.07.06 08:56:49									
EWMS4-11	EWMS4-11	HAWA	 	Large Part, Fast-Moving Item	Großteil, Schnelldreher	2017.07.06 08:56:49									
EWMS4-20	EWMS4-20	HAWA	 	Large Part, Fast-Moving Item, Batches	Großteil, Schnelldreher, Chargen	2017.07.06 08:56:49									
EWMS4-40	EWMS4-40	HAWA	 	Product for Bulk Storage A, Short Lane		2017.07.06 08:56:49									
EWMS4-41	EWMS4-41	HAWA	 	Product for Bulk Storage A, Long Lane		2017.07.06 08:56:49									
EWMS4-42	EWMS4-42	HAWA	 	Product for Bulk Storage B		2017.07.06 08:56:49									
EWMS4-50	EWMS4-50	FERT	 	FIN50,Fast Moving	FIN50,Schnelldreher	2017.07.06 08:56:49									
EWMS4-502	EWMS4-502	ROH	 	RAW502,Fast Moving	RAW502,Schnelldreher	2017.07.06 08:56:49									
EWMS4-503	EWMS4-503	ROH	 	RAW503,Fast Moving	RAW503,Schnelldreher	2017.07.06 08:56:49									
EWMS4-601	EWMS4-601	ROH	 	RAW601,Fast Moving	RAW601,Schnelldreher	2017.07.06 08:56:49									
EWMS4-CAR00	EWMS4-CAR00	VERP	 	EWM Default Carton with SSCC generation	EWM: Standardkarton mit SSCC-Generierung	2017.07.06 08:56:49									
