LEGACY_STATUS	STATUS	LANGUA	DESCRP	DI_TIMESTAMP											
00	00	1	未使用, 仅 R/2	2018.06.19 05:33:47											
00	00	2	ไม่ใช้, เฉพาะ R/2	2018.06.19 05:33:47											
00	00	3	사용하지 않음, R/2 전용	2018.06.19 05:33:47											
00	00	4	Neutilizat, numai în R/2	2018.06.19 05:33:47											
00	00	5	Neuporabljeno, samo R/2	2018.06.19 05:33:47											
00	00	6	Nije u upotrebi, samo R/2	2018.06.19 05:33:47											
00	00	7	Tidak digunakan, hanya R/2	2018.06.19 05:33:47											
00	00	8	Не використовується, лише R/2	2018.06.19 05:33:47											
00	00	9	Pole kasutusel, ainult R/2	2018.06.19 05:33:47											
00	00	A	غير مستخدم، R/2 فقط	2018.06.19 05:33:47											
00	00	B	לא בשימוש, R/2 בלבד	2018.06.19 05:33:47											
00	00	C	Nepoužívá se, jen R/2	2018.06.19 05:33:47											
00	00	D	Nicht verwendet, nur R/2	2018.06.19 05:33:47											
00	00	E	Not used, only R/2	2018.06.19 05:33:47											
00	00	F	Non utilisé, uniquement R/2	2018.06.19 05:33:47											
00	00	G	Μη χρησιμοποιημένο, μόνο R/2	2018.06.19 05:33:47											
00	00	H	Nem használják, csak R/2-ben	2018.06.19 05:33:47											
00	00	I	Non utilizzato, solo in R/2	2018.06.19 05:33:47											
00	00	J	不使用、R/2 のみ	2018.06.19 05:33:47											
00	00	K	Anvendes ikke, kun R/2	2018.06.19 05:33:47											
00	00	L	Nie stosowany, tylko R/2	2018.06.19 05:33:47											
00	00	M	未使用，僅 R/2	2018.06.19 05:33:47											
00	00	N	Niet gebruikt, alleen R/2	2018.06.19 05:33:47											
00	00	O	Ikke brukt, bare R/2	2018.06.19 05:33:47											
00	00	P	Não utilizar, apenas R/2	2018.06.19 05:33:47											
00	00	Q	Nepoužíva sa, len R/2	2018.06.19 05:33:47											
00	00	R	Не используется, только R/2	2018.06.19 05:33:47											
00	00	S	No utilizado, sólo R/2	2018.06.19 05:33:47											
00	00	T	Kullanılmıyor,yalnızca R/2	2018.06.19 05:33:47											
00	00	U	Ei käytössä, vain R/2	2018.06.19 05:33:47											
00	00	V	Används ej, endast R/2	2018.06.19 05:33:47											
00	00	W	Не се използва, само R/2	2018.06.19 05:33:47											
00	00	X	Nenaudojama, tik R/2	2018.06.19 05:33:47											
00	00	Y	Netiek izmantots, tikai R/2	2018.06.19 05:33:47											
00	00	c	No utilitzat, només R/2	2018.06.19 05:33:47											
00	00	d	Nije korišteno, samo R/2	2018.06.19 05:33:47											
00	00	늑	TAIS TEDS2*+	2018.06.19 05:33:47											
00	00	닱	[Ńįċĥţ∙ʋēŗŵēŋƌēţ,∙ŋűŗ∙Ř/2∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙]	2018.06.19 05:33:47											
00	00	묩	उपयोग नहीं हुआ है, केवल R/2	2018.06.19 05:33:47											
00	00	뱋	Пайдаланылмайды, тек R/2	2018.06.19 05:33:47											
00	00	쁩	Không sử dụng, chỉ R/2	2018.06.19 05:33:47											
01	01	1	IDoc 已创建	2018.06.19 05:33:47											
01	01	2	สร้าง IDoc แล้ว	2018.06.19 05:33:47											
01	01	3	IDoc 생성됨	2018.06.19 05:33:47											
01	01	4	IDoc creat	2018.06.19 05:33:47											
01	01	5	IDoc generiran	2018.06.19 05:33:47											
01	01	6	IDoc kreiran	2018.06.19 05:33:47											
01	01	7	IDoc diciptakan	2018.06.19 05:33:47											
01	01	8	IDoc створено	2018.06.19 05:33:47											
01	01	9	IDoc on loodud	2018.06.19 05:33:47											
01	01	A	IDoc تم إنشاؤه	2018.06.19 05:33:47											
01	01	B	IDoc נוצר	2018.06.19 05:33:47											
01	01	C	IDOC vytvořen	2018.06.19 05:33:47											
01	01	D	IDoc erzeugt	2018.06.19 05:33:47											
01	01	E	IDoc created	2018.06.19 05:33:47											
01	01	F	IDOC généré	2018.06.19 05:33:47											
01	01	G	IDoc δημιουργήθηκε	2018.06.19 05:33:47											
01	01	H	IDoc létrehozva	2018.06.19 05:33:47											
01	01	I	IDoc creato	2018.06.19 05:33:47											
01	01	J	IDoc 登録済	2018.06.19 05:33:47											
01	01	K	IDoc genereret	2018.06.19 05:33:47											
01	01	L	IDoc wygenerowany	2018.06.19 05:33:47											
01	01	M	已建立 IDoc	2018.06.19 05:33:47											
01	01	N	IDoc gegenereerd	2018.06.19 05:33:47											
01	01	O	IDOC generert	2018.06.19 05:33:47											
01	01	P	IDoc gerado	2018.06.19 05:33:47											
01	01	Q	IDoc gener.	2018.06.19 05:33:47											
01	01	R	IDoc создан.	2018.06.19 05:33:47											
01	01	S	IDOC creado	2018.06.19 05:33:47											
01	01	T	IDOC yaratıldı	2018.06.19 05:33:47											
01	01	U	IDOC luotu	2018.06.19 05:33:47											
01	01	V	IDOC genererat	2018.06.19 05:33:47											
01	01	W	IDoc е създаден	2018.06.19 05:33:47											
01	01	X	IDOC sukurtas	2018.06.19 05:33:47											
01	01	Y	IDoc ir izveidots	2018.06.19 05:33:47											
01	01	c	IDoc creat	2018.06.19 05:33:47											
01	01	d	IDoc kreiran	2018.06.19 05:33:47											
01	01	늑	TAIS TEDS2*+	2018.06.19 05:33:47											
01	01	닱	[ĬĎŏċ∙ēŗžēűğţ∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙]	2018.06.19 05:33:47											
01	01	묩	IDOC बनाया गया	2018.06.19 05:33:47											
01	01	뱋	IDoc жасалды	2018.06.19 05:33:47											
01	01	쁩	IDoc được tạo	2018.06.19 05:33:47											
02	02	1	传送数据到端口时出错	2018.06.19 05:33:47											
02	02	2	เกิดข้อผิดพลาดในการผ่านข้อมูลไปยังพอร์ต	2018.06.19 05:33:47											
02	02	3	포트로 데이터를 전달하는 동안 오류 발생	2018.06.19 05:33:47											
02	02	4	Eroare transferare date la port	2018.06.19 05:33:47											
02	02	5	Napaka pri prenosu podatkov na vrata	2018.06.19 05:33:47											
02	02	6	Greška prosljeđivanja podataka na port	2018.06.19 05:33:47											
02	02	7	Ralat menghantar data ke port	2018.06.19 05:33:47											
02	02	8	Помилка перенесення даних у порт	2018.06.19 05:33:47											
02	02	9	Tõrge andmete edastamisel porti	2018.06.19 05:33:47											
02	02	A	خطأ أثناء تمرير البيانات إلى المنفذ	2018.06.19 05:33:47											
02	02	B	שגיאה בהעברת נתונים ליציאה	2018.06.19 05:33:47											
02	02	C	Chyba při předání dat na port	2018.06.19 05:33:47											
02	02	D	Fehler bei Datenübergabe an Port	2018.06.19 05:33:47											
02	02	E	Error passing data to port	2018.06.19 05:33:47											
02	02	F	Erreur lors du transfert de données au port	2018.06.19 05:33:47											
02	02	G	Λάθος στη μεταβίβαση δεδομένων στη θύρα	2018.06.19 05:33:47											
02	02	H	Hiba adat átadásánál a port felé	2018.06.19 05:33:47											
02	02	I	Errore trasferim. dati a porta	2018.06.19 05:33:47											
02	02	J	ポートへのデータ受渡し時のエラー	2018.06.19 05:33:47											
02	02	K	Fejl ved dataoverførsel til port	2018.06.19 05:33:47											
02	02	L	Błąd podczas transferu danych do portu	2018.06.19 05:33:47											
02	02	M	傳送資料至埠時發生錯誤	2018.06.19 05:33:47											
02	02	N	Fout bij gegevensdoorgifte aan poort	2018.06.19 05:33:47											
02	02	O	Feil ved dataoverføring til port	2018.06.19 05:33:47											
02	02	P	Erro na transferência de dados para a porta	2018.06.19 05:33:47											
02	02	Q	Chyba pri odovzdaní dát na port	2018.06.19 05:33:47											
02	02	R	Ошибка при переносе данных в порт	2018.06.19 05:33:47											
02	02	S	Error en transferencia de datos a puerta	2018.06.19 05:33:47											
02	02	T	Port'a veri aktarımı sırasında hata	2018.06.19 05:33:47											
02	02	U	Virhe tiedonsiirrossa porttiin	2018.06.19 05:33:47											
02	02	V	Fel vid dataöverföring till port	2018.06.19 05:33:47											
02	02	W	Грешка при предаване на данни към порта	2018.06.19 05:33:47											
02	02	X	Duomenų perdavimo į prievadą klaida	2018.06.19 05:33:47											
02	02	Y	Kļūda, nododot datus portam	2018.06.19 05:33:47											
02	02	c	Error en la transferència de dades a la porta	2018.06.19 05:33:47											
02	02	d	Greška predaje podataka na port	2018.06.19 05:33:47											
02	02	늑	TAIS TEDS2*+	2018.06.19 05:33:47											
02	02	닱	[Ƒēĥĺēŗ∙ƃēį∙Ďąţēŋüƃēŗğąƃē∙ąŋ∙Ƥŏŗţ∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙]	2018.06.19 05:33:47											
02	02	묩	डेटा को पोर्ट पर पास करने में त्रुटि	2018.06.19 05:33:47											
02	02	뱋	Деректерді портқа жіберу қатесі	2018.06.19 05:33:47											
02	02	쁩	Lỗi truyền dữ liệu ra cổng	2018.06.19 05:33:47											
03	03	1	成功将数据传送到端口	2018.06.19 05:33:47											
03	03	2	การผ่านข้อมูลไปยังพอร์ตเรียบร้อย	2018.06.19 05:33:47											
03	03	3	포트로 데이터 전달 OK	2018.06.19 05:33:47											
03	03	4	Date trecute la port OK	2018.06.19 05:33:47											
03	03	5	Prenos podatkov portalu OK	2018.06.19 05:33:47											
03	03	6	Podaci proslijeđeni na port OK	2018.06.19 05:33:47											
03	03	7	Data dihantar ke port OK	2018.06.19 05:33:47											
03	03	8	Перенесення даних у порт OK	2018.06.19 05:33:47											
03	03	9	Andmed on porti edastatud	2018.06.19 05:33:47											
03	03	A	البيانات التي تم تمريرها إلى المنفذ مقبولة	2018.06.19 05:33:47											
03	03	B	נתונים עברו ליציאה בהצלחה	2018.06.19 05:33:47											
03	03	C	Předání dat na port OK	2018.06.19 05:33:47											
03	03	D	Datenübergabe an Port OK	2018.06.19 05:33:47											
03	03	E	Data passed to port OK	2018.06.19 05:33:47											
03	03	F	OK pour transfert de données au port	2018.06.19 05:33:47											
03	03	G	Μεταβιβασμένα δεδομένα σε θύρα OK	2018.06.19 05:33:47											
03	03	H	Adatátadás port felé OK	2018.06.19 05:33:47											
