LEGACY_MOVEMENT_TYPE	MOVEMENT_TYPE	MOVEMENT_TYPE_TXT_GBL	MOVEMENT_TYPE_TXT_LCL	DI_TIMESTAMP											
101	101	GR for acct assgmnt	WE zum KundAuftrBest	2017.07.06 08:56:49											
102	102	GR for sales or. rev	WE zum ProjektBes St	2017.07.06 08:56:49											
103	103	GR SC vend.to blockd	WE KundAuftr in Sper	2017.07.06 08:56:49											
104	104	GR proj.to blkd rev.	WE Projekt in Sper S	2017.07.06 08:56:49											
105	105	GR SC vend.fm blockd	WE Projekt aus Sperr	2017.07.06 08:56:49											
106	106	GR SC vend.fm bl.rev	WE LB-Lief aus Spe S	2017.07.06 08:56:49											
107	107	GR Asset Val. Blckd	WE Anlage bew Sperr	2017.07.06 08:56:49											
108	108	GR to ValBlSt SO Rev	WE in bew Sp Storno	2017.07.06 08:56:49											
109	109	GR fr Val.BlStk Proj	WE aus bew Sp Proj	2017.07.06 08:56:49											
110	110	GR Asset fr. VBl. R.	WE aus bewSp KdA St	2017.07.06 08:56:49											
121	121	GR subseq. adjustm.	WE Nachverrechnung	2017.07.06 08:56:49											
122	122	RE return to vendor	WE Rückl. an Liefer	2017.07.06 08:56:49											
123	123	Rtrn stckInTrans rev	WR Rückl. Liefer St.	2017.07.06 08:56:49											
124	124	GR rtrn blocked stck	WE Rückl. Sperrb.	2017.07.06 08:56:49											
125	125	GR rtn blkd stck rev	WE Rückl. Sperrb. St	2017.07.06 08:56:49											
131	131	GR for sales ord.st.	Wareneingang	2017.07.06 08:56:49											
132	132	GR for asset	WE zum KundAuftrBest	2017.07.06 08:56:49											
141	141	GR G subseq. adjustm	WE W-Nachverrechnung	2017.07.06 08:56:49											
142	142	GR G subseq. adjustm	WE W-Nachverrechnung	2017.07.06 08:56:49											
161	161	GR rtrns RTP stock	WE Retoure KonsiBest	2017.07.06 08:56:49											
162	162	GR rtns SaOrdStk rev	WE Ret KdAufBest Sto	2017.07.06 08:56:49											
201	201	GI for cost center	WA für Kostenstelle	2017.07.06 08:56:49											
202	202	RE for cost center	WR für Kostenstelle	2017.07.06 08:56:49											
221	221	GI project for proj.	WA Proj für Projekt	2017.07.06 08:56:49											
222	222	RE project for proj.	WR Proj für Projekt	2017.07.06 08:56:49											
231	231	GI for sales order	WA für Kundenauftrag	2017.07.06 08:56:49											
232	232	RE sls or.fm sls or.	WR KdAuftr aus KdAuf	2017.07.06 08:56:49											
241	241	GI for asset	WA für Anlage	2017.07.06 08:56:49											
242	242	RE asset from consgt	WR Anlage aus Konsi	2017.07.06 08:56:49											
251	251	GI for sales	WA für Verkauf	2017.07.06 08:56:49											
252	252	RE sales from consgt	WR Verkauf aus Konsi	2017.07.06 08:56:49											
261	261	GI order from RTP	WA für Auftrag	2017.07.06 08:56:49											
262	262	RE order frm sls or.	WR Auftrag aus Proj	2017.07.06 08:56:49											
281	281	GI netw. frm sls or.	WA Netzpln aus Proj	2017.07.06 08:56:49											
282	282	RE netw. frm project	WR Netzpln aus KdAuf	2017.07.06 08:56:49											
291	291	GI acc.ass.fm sls or	WA Kont. aus KdAuf	2017.07.06 08:56:49											
292	292	RE ac.ass.fm sls or.	WR Kont. aus Proj	2017.07.06 08:56:49											
301	301	TF trfr plnt to plnt	UL Umlagern WK an WK	2017.07.06 08:56:49											
302	302	TF trfr plnt to plnt	UR Umlagern WK an WK	2017.07.06 08:56:49											
303	303	TF rem.fm stor.to pl	UL Auslagern an Werk	2017.07.06 08:56:49											
304	304	TR rem.fm stor.to pl	UR Auslagern an Werk	2017.07.06 08:56:49											
305	305	TF pl.in stor.in pl.	UL Einlagern im Werk	2017.07.06 08:56:49											
306	306	TR pl.in stor.in pl.	UR Einlagern im Werk	2017.07.06 08:56:49											
309	309	TF tfr ps.mat.to mat	UL Umbuch Mat an Mat	2017.07.06 08:56:49											
310	310	TR tfr ps.mat.to mat	UR Umbuch Mat an Mat	2017.07.06 08:56:49											
311	311	TF RTP in plant	UL Umlagern im Werk	2017.07.06 08:56:49											
312	312	TR project in plant	UR Umlagern im Werk	2017.07.06 08:56:49											
313	313	TF rem.fm str.to Loc	UL Auslagern an LOrt	2017.07.06 08:56:49											
314	314	TR rem.fm str.toSLoc	UR Auslagern an Lort	2017.07.06 08:56:49											
