LEGACY_ORDER_NUMBER	ORDER_NUMBER	ORDER_NUMBER_TXT_GBL	ORDER_NUMBER_TXT_LCL	DI_TIMESTAMP											
000000100000	000000100000	Testdata03	Testdata03	2017.07.06 08:56:49											
000000200000	000000200000	Testdata01	Testdata01	2017.07.06 08:56:49											
000000300000	000000300000	Testdata02	Testdata02	2017.07.06 08:56:49											
000000500000	000000500000	Testdata04	Testdata04	2017.07.06 08:56:49											
000000600000	000000600000	Testdata05	Testdata05	2017.07.06 08:56:49											
000001000000	000001000000	Migtest ZEH 01 (revenue)	Migtest ZEH 01 (revenue)	2017.07.06 08:56:49											
000001000020	000001000020			2017.07.06 08:56:49											
000001000021	000001000021			2017.07.06 08:56:49											
000001000022	000001000022			2017.07.06 08:56:49											
000001000023	000001000023			2017.07.06 08:56:49											
000001000040	000001000040			2017.07.06 08:56:49											
000004000000	000004000000	Maintenance Order PM	Maintenance Order PM	2017.07.06 08:56:49											
000004000020	000004000020	Maintenance Order PM	Maintenance Order PM	2017.07.06 08:56:49											
9A0000001000	9A0000001000	Dummy Text	Dummy Text	2017.07.06 08:56:49											
9A0000001700	9A0000001700	Dummy Text	Dummy Text	2017.07.06 08:56:49											
9AZZZZZZ0093	9AZZZZZZ0093	Testdata06	Testdata06	2017.07.06 08:56:49											
9AZZZZZZ0094	9AZZZZZZ0094	Testdata06	Testdata06	2017.07.06 08:56:49											
