LEGACY_PURCHASE_INFO_RECORD	PURCHASE_INFO_RECORD	VENDOR_ACCOUNT_NUMBER	MATERIAL_NUMBER	MATERIAL_GROUP	DI_TIMESTAMP										
5300000100	5300000100	0010300001	TG10	 	2017.07.06 08:56:49										
5300000101	5300000101	0010300002	TG10	 	2017.07.06 08:56:49										
5300000102	5300000102	0010300001	TG11	 	2017.07.06 08:56:49										
5300000103	5300000103	0010300002	TG11	 	2017.07.06 08:56:49										
5300000104	5300000104	0010300001	TG12	 	2017.07.06 08:56:49										
5300000105	5300000105	0010300002	TG12	 	2017.07.06 08:56:49										
5300000106	5300000106	0010300001	TG13	 	2017.07.06 08:56:49										
5300000107	5300000107	0010300002	TG13	 	2017.07.06 08:56:49										
5300000108	5300000108	0010300001	TG14	 	2017.07.06 08:56:49										
5300000109	5300000109	0010300002	TG14	 	2017.07.06 08:56:49										
5300000110	5300000110	0010300001	TG20	 	2017.07.06 08:56:49										
5300000111	5300000111	0010300002	TG20	 	2017.07.06 08:56:49										
5300000112	5300000112	0010300001	TG21	 	2017.07.06 08:56:49										
5300000113	5300000113	0010300002	TG21	 	2017.07.06 08:56:49										
5300000114	5300000114	0010300001	TG22	 	2017.07.06 08:56:49										
5300000115	5300000115	0010300002	TG22	 	2017.07.06 08:56:49										
5300000116	5300000116	0010300001	TG0001	 	2017.07.06 08:56:49										
5300000117	5300000117	0010300002	TG0001	 	2017.07.06 08:56:49										
5300000118	5300000118	0010300001	TG0011	 	2017.07.06 08:56:49										
5300000119	5300000119	0010300002	TG0011	 	2017.07.06 08:56:49										
5300000120	5300000120	0010300001	TG0012	 	2017.07.06 08:56:49										
5300000121	5300000121	0010300002	TG0012	 	2017.07.06 08:56:49										
5300000122	5300000122	0010300001	NS0001	 	2017.07.06 08:56:49										
5300000123	5300000123	0010300002	NS0001	 	2017.07.06 08:56:49										
5300000124	5300000124	0010300001	TG0013	 	2017.07.06 08:56:49										
5300000125	5300000125	0010300002	TG0013	 	2017.07.06 08:56:49										
5300000126	5300000126	0010300001	RM09	 	2017.07.06 08:56:49										
5300000127	5300000127	0010300001	RM120	 	2017.07.06 08:56:49										
5300000128	5300000128	0010300002	RM120	 	2017.07.06 08:56:49										
5300000129	5300000129	0010300001	RM122	 	2017.07.06 08:56:49										
5300000130	5300000130	0010300001	RM124	 	2017.07.06 08:56:49										
5300000131	5300000131	0010300001	RM12	 	2017.07.06 08:56:49										
5300000132	5300000132	0010300002	RM12	 	2017.07.06 08:56:49										
5300000133	5300000133	0010300001	RM13	 	2017.07.06 08:56:49										
5300000134	5300000134	0010300001	RM14	 	2017.07.06 08:56:49										
5300000135	5300000135	0010300001	RM15	 	2017.07.06 08:56:49										
5300000136	5300000136	0010300001	RM16	 	2017.07.06 08:56:49										
5300000137	5300000137	0010300001	RM17	 	2017.07.06 08:56:49										
5300000138	5300000138	0010300001	RM18	 	2017.07.06 08:56:49										
5300000139	5300000139	0010300002	RM18	 	2017.07.06 08:56:49										
5300000140	5300000140	0010300001	RM19	 	2017.07.06 08:56:49										
5300000141	5300000141	0010300001	RM20	 	2017.07.06 08:56:49										
5300000142	5300000142	0010300001	RM27	 	2017.07.06 08:56:49										
5300000143	5300000143	0010300001	RM28	 	2017.07.06 08:56:49										
5300000144	5300000144	0010300001	RM30	 	2017.07.06 08:56:49										
5300000145	5300000145	0010300001	SG21	 	2017.07.06 08:56:49										
5300000146	5300000146	0010300001	SG25	 	2017.07.06 08:56:49										
5300000147	5300000147	0010300001	NL001	 	2017.07.06 08:56:49										
5300000148	5300000148	0010300080	TG0011	 	2017.07.06 08:56:49										
5300000149	5300000149	0010300080	TG0012	 	2017.07.06 08:56:49										
5300000150	5300000150	0010300001	RM128	 	2017.07.06 08:56:49										
5300000151	5300000151	0010300001	RM129	 	2017.07.06 08:56:49										
5300000160	5300000160	0010300007	SG23	 	2017.07.06 08:56:49										
5300000161	5300000161	0017300001	TG10	 	2017.07.06 08:56:49										
5300000162	5300000162	0017300002	TG10	 	2017.07.06 08:56:49										
5300000163	5300000163	0017300001	TG11	 	2017.07.06 08:56:49										
5300000164	5300000164	0017300002	TG11	 	2017.07.06 08:56:49										
5300000165	5300000165	0017300001	TG12	 	2017.07.06 08:56:49										
5300000166	5300000166	0017300002	TG12	 	2017.07.06 08:56:49										
5300000167	5300000167	0017300001	TG13	 	2017.07.06 08:56:49										
5300000168	5300000168	0017300002	TG13	 	2017.07.06 08:56:49										
5300000169	5300000169	0017300001	TG14	 	2017.07.06 08:56:49										
5300000170	5300000170	0010300002	RM233-1	 	2017.07.06 08:56:49										
5300000171	5300000171	0010300002	RM233-2	 	2017.07.06 08:56:49										
5300000172	5300000172	0010300002	RM233-4	 	2017.07.06 08:56:49										
5300000173	5300000173	0010300002	RM234	 	2017.07.06 08:56:49										
5300000174	5300000174	0010300001	SG233	 	2017.07.06 08:56:49										
5300000175	5300000175	0010300001	QM001	 	2017.07.06 08:56:49										
5300000176	5300000176	0010300006	QM001	 	2017.07.06 08:56:49										
5300000177	5300000177	0010300006	QM002	 	2017.07.06 08:56:49										
5300000178	5300000178	0010300006	QM003	 	2017.07.06 08:56:49										
5300000179	5300000179	0010300001	QM004	 	2017.07.06 08:56:49										
5300000180	5300000180	0010300006	QM004	 	2017.07.06 08:56:49										
5300000181	5300000181	0010200001	NS0001	 	2017.07.06 08:56:49										
5300000182	5300000182	0010200001	SG23	 	2017.07.06 08:56:49										
5300000183	5300000183	0010200001	TG0011	 	2017.07.06 08:56:49										
5300000184	5300000184	0010200001	TG12	 	2017.07.06 08:56:49										
5300000185	5300000185	EWM10-SU01	EWMS4-20	 	2017.07.06 08:56:49										
5300000186	5300000186	EWM10-SU01	EWMS4-03	 	2017.07.06 08:56:49										
5300000187	5300000187	EWM10-SU01	EWMS4-502	 	2017.07.06 08:56:49										
5300000188	5300000188	EWM10-SU01	EWMS4-503	 	2017.07.06 08:56:49										
5300000189	5300000189	EWM10-SU01	EWMS4-601	 	2017.07.06 08:56:49										
5300000190	5300000190	EWM10-SU01	EWMS4-01	 	2017.07.06 08:56:49										
5300000191	5300000191	EWM10-SU01	EWMS4-02	 	2017.07.06 08:56:49										
5300000192	5300000192	EWM10-SU01	EWMS4-10	 	2017.07.06 08:56:49										
5300000193	5300000193	EWM10-SU01	EWMS4-11	 	2017.07.06 08:56:49										
5300000194	5300000194	EWM10-SU01	EWMS4-40	 	2017.07.06 08:56:49										
5300000195	5300000195	EWM10-SU01	EWMS4-41	 	2017.07.06 08:56:49										
5300000196	5300000196	EWM10-SU01	EWMS4-42	 	2017.07.06 08:56:49										
5300000197	5300000197	0010300080	TG11	 	2017.07.06 08:56:49										
5300000200	5300000200	0017300002	TG14	 	2017.07.06 08:56:49										
5300000201	5300000201	0017300001	TG20	 	2017.07.06 08:56:49										
5300000202	5300000202	0017300002	TG20	 	2017.07.06 08:56:49										
5300000203	5300000203	0017300001	TG21	 	2017.07.06 08:56:49										
5300000204	5300000204	0017300002	TG21	 	2017.07.06 08:56:49										
5300000205	5300000205	0017300001	TG22	 	2017.07.06 08:56:49										
5300000206	5300000206	0017300002	TG22	 	2017.07.06 08:56:49										
5300000207	5300000207	0017300001	TG0001	 	2017.07.06 08:56:49										
5300000208	5300000208	0017300002	TG0001	 	2017.07.06 08:56:49										
5300000209	5300000209	0017300001	TG0011	 	2017.07.06 08:56:49										
5300000210	5300000210	0017300002	TG0011	 	2017.07.06 08:56:49										
5300000211	5300000211	0017300001	TG0012	 	2017.07.06 08:56:49										
5300000212	5300000212	0017300002	TG0012	 	2017.07.06 08:56:49										
5300000213	5300000213	0017300001	NS0001	 	2017.07.06 08:56:49										
5300000214	5300000214	0017300002	NS0001	 	2017.07.06 08:56:49										
5300000215	5300000215	0017300001	TG0013	 	2017.07.06 08:56:49										
5300000216	5300000216	0017300002	TG0013	 	2017.07.06 08:56:49										
5300000217	5300000217	0017300001	RM09	 	2017.07.06 08:56:49										
5300000218	5300000218	0017300001	RM120	 	2017.07.06 08:56:49										
5300000219	5300000219	0017300002	RM120	 	2017.07.06 08:56:49										
5300000220	5300000220	0017300001	RM122	 	2017.07.06 08:56:49										
5300000221	5300000221	0017300001	RM124	 	2017.07.06 08:56:49										
5300000222	5300000222	0017300001	RM12	 	2017.07.06 08:56:49										
5300000223	5300000223	0017300002	RM12	 	2017.07.06 08:56:49										
5300000224	5300000224	0017300001	RM13	 	2017.07.06 08:56:49										
5300000225	5300000225	0017300001	RM14	 	2017.07.06 08:56:49										
5300000226	5300000226	0017300001	RM15	 	2017.07.06 08:56:49										
5300000227	5300000227	0017300001	RM16	 	2017.07.06 08:56:49										
5300000228	5300000228	0017300001	RM17	 	2017.07.06 08:56:49										
5300000229	5300000229	0017300001	RM18	 	2017.07.06 08:56:49										
5300000230	5300000230	0017300002	RM18	 	2017.07.06 08:56:49										
5300000231	5300000231	0017300001	RM19	 	2017.07.06 08:56:49										
5300000232	5300000232	0017300001	RM20	 	2017.07.06 08:56:49										
5300000233	5300000233	0017300001	RM27	 	2017.07.06 08:56:49										
5300000234	5300000234	0017300001	RM28	 	2017.07.06 08:56:49										
5300000235	5300000235	0017300001	RM30	 	2017.07.06 08:56:49										
5300000236	5300000236	0017300001	SG21	 	2017.07.06 08:56:49										
5300000237	5300000237	0017300001	SG25	 	2017.07.06 08:56:49										
5300000238	5300000238	0017300001	RM128	 	2017.07.06 08:56:49										
5300000239	5300000239	0017300001	RM129	 	2017.07.06 08:56:49										
5300000240	5300000240	0017300001	NL001	 	2017.07.06 08:56:49										
5300000241	5300000241	0017300080	TG0011	 	2017.07.06 08:56:49										
5300000242	5300000242	0017300080	TG0012	 	2017.07.06 08:56:49										
5300000243	5300000243	0017300007	SG23	 	2017.07.06 08:56:49										
5300000250	5300000250	0017300002	RM233-1	 	2017.07.06 08:56:49										
5300000251	5300000251	0017300002	RM233-2	 	2017.07.06 08:56:49										
5300000252	5300000252	0017300002	RM233-4	 	2017.07.06 08:56:49										
5300000253	5300000253	0017300002	RM234	 	2017.07.06 08:56:49										
5300000254	5300000254	0017300001	SG233	 	2017.07.06 08:56:49										
5300000255	5300000255	0017300001	QM001	 	2017.07.06 08:56:49										
5300000256	5300000256	0017300006	QM001	 	2017.07.06 08:56:49										
5300000257	5300000257	0017300006	QM002	 	2017.07.06 08:56:49										
5300000258	5300000258	0017300006	QM003	 	2017.07.06 08:56:49										
5300000259	5300000259	0017300001	QM004	 	2017.07.06 08:56:49										
5300000260	5300000260	0017300006	QM004	 	2017.07.06 08:56:49										
5300000261	5300000261	EWM17-SU01	EWMS4-01	 	2017.07.06 08:56:49										
5300000262	5300000262	EWM17-SU01	EWMS4-02	 	2017.07.06 08:56:49										
5300000263	5300000263	EWM17-SU01	EWMS4-10	 	2017.07.06 08:56:49										
5300000264	5300000264	EWM17-SU01	EWMS4-11	 	2017.07.06 08:56:49										
5300000265	5300000265	EWM17-SU01	EWMS4-40	 	2017.07.06 08:56:49										
5300000266	5300000266	EWM17-SU01	EWMS4-41	 	2017.07.06 08:56:49										
5300000267	5300000267	EWM17-SU01	EWMS4-42	 	2017.07.06 08:56:49										
5300000268	5300000268	EWM17-SU01	EWMS4-20	 	2017.07.06 08:56:49										
5300000269	5300000269	0017300001	R-302	 	2017.07.06 08:56:49										
5300000270	5300000270	0017300001	R-401	 	2017.07.06 08:56:49										
5300000271	5300000271	0017300001	S-202	 	2017.07.06 08:56:49										
5300000272	5300000272	0010300001	R-302	 	2017.07.06 08:56:49										
5300000273	5300000273	0010300001	R-401	 	2017.07.06 08:56:49										
5300000274	5300000274	0010300001	S-202	 	2017.07.06 08:56:49										
5300000280	5300000280	0010300001	MTA2_INV1_RM128	 	2017.07.06 08:56:49										
5300000290	5300000290	0010300001	MTA_INV1_RM128	 	2017.07.06 08:56:49										
5300000300	5300000300	0010300001	ZRM128	 	2017.07.06 08:56:49										
5300000301	5300000301	0010300001	ZRM122	 	2017.07.06 08:56:49										
5300000302	5300000302	0017300001	ZRM128	 	2017.07.06 08:56:49										
5300000310	5300000310	0010200001	ZRM122	 	2017.07.06 08:56:49										
5300000311	5300000311	0010200001	ZRM128	 	2017.07.06 08:56:49										
5300000320	5300000320	RS_LIF_001	TG10	 	2017.07.06 08:56:49										
5300000321	5300000321	RS_LIF_001	MIG1_FERT_V1_02K	 	2017.07.06 08:56:49										
5300000322	5300000322	RS_LIF_002	MIG1_BATCH_V1_02K	 	2017.07.06 08:56:49										
5500000000	5500000000	0010300001	 	L004	2017.07.06 08:56:49										
5500000010	5500000010	0017300001	 	L004	2017.07.06 08:56:49										
