LEGACY_PURCHASING_DOC	PURCHASING_DOC	PURCHASING_DOC_TXT_GBL	PURCHASING_DOC_TXT_LCL	DI_TIMESTAMP											
4500000001	4500000001	4500000001	4500000001	2017.07.06 08:56:49											
4500000002	4500000002	4500000002	4500000002	2017.07.06 08:56:49											
4500000003	4500000003	4500000003	4500000003	2017.07.06 08:56:49											
4500000004	4500000004	4500000004	4500000004	2017.07.06 08:56:49											
4500000005	4500000005	4500000005	4500000005	2017.07.06 08:56:49											
4600000001	4600000001	4600000001	4600000001	2017.07.06 08:56:49											
4600000002	4600000002	4600000002	4600000002	2017.07.06 08:56:49											
4600000003	4600000003	4600000003	4600000003	2017.07.06 08:56:49											
4600000004	4600000004	4600000004	4600000004	2017.07.06 08:56:49											
4600000005	4600000005	4600000005	4600000005	2017.07.06 08:56:49											
5500000000	5500000000	5500000000	5500000000	2017.07.06 08:56:49											
5500000001	5500000001	5500000001	5500000001	2017.07.06 08:56:49											
5500000002	5500000002	5500000002	5500000002	2017.07.06 08:56:49											
5500000003	5500000003	5500000003	5500000003	2017.07.06 08:56:49											
5500000004	5500000004	5500000004	5500000004	2017.07.06 08:56:49											
5600001010	5600001010	5600001010	5600001010	2017.07.06 08:56:49											
5600001011	5600001011	5600001011	5600001011	2017.07.06 08:56:49											
5600001015	5600001015	5600001015	5600001015	2017.07.06 08:56:49											
5600001016	5600001016	5600001016	5600001016	2017.07.06 08:56:49											
5600001710	5600001710	5600001710	5600001710	2017.07.06 08:56:49											
5600001711	5600001711	5600001711	5600001711	2017.07.06 08:56:49											
5600001715	5600001715	5600001715	5600001715	2017.07.06 08:56:49											
5600001716	5600001716	5600001716	5600001716	2017.07.06 08:56:49											
