LEGACY_ITEM	PURCHASING_DOC	ITEM	DELETION_IND	SHORT_TEXT	MATERIAL_NUMBER	MATERIAL_NUMBER_2	COMPANY_CODE	PLANT	STORAGE_LOCATION	DI_TIMESTAMP					
00010	4500000001	00010	 	QM001, PD, QM	QM001	QM001	1010	1010	 	2017.07.06 08:56:49					
00010	4500000002	00010	 	Handelsware 11, PD, normaler Handel	TG11	TG11	1010	1010	 	2017.07.06 08:56:49					
00010	4500000003	00010	 	Handelsware 11, PD, normaler Handel	TG11	TG11	1010	1010	 	2017.07.06 08:56:49					
00010	4500000004	00010	 	Handelsware 11, PD, normaler Handel	TG11	TG11	1010	1010	101A	2017.07.06 08:56:49					
00010	4500000005	00010	 	Handelsware 11, PD, normaler Handel	TG11	TG11	1010	1010	101A	2017.07.06 08:56:49					
00010	4600000001	00010	 	Handelsware 10, PD, Strecke	TG10	TG10	1010	1010	 	2017.07.06 08:56:49					
00020	4600000001	00020	 	Handelsware 11, PD, normaler Handel	TG11	TG11	1010	1010	 	2017.07.06 08:56:49					
00001	4600000002	00001	 	HAWA 12, Bestellpunkt, normaler Handel	TG12	TG12	1010	1010	 	2017.07.06 08:56:49					
00002	4600000002	00002	 	RAW14, PD, Lohnbearbeitung	RM14	RM14	1010	1010	101C	2017.07.06 08:56:49					
00100	4600000003	00100	 	Trad.Good 10,PD,Third Party	TG10	TG10	1710	1710	 	2017.07.06 08:56:49					
00200	4600000003	00200	 	Trad.Good 11,PD,Reg.Trading	TG11	TG11	1710	1710	 	2017.07.06 08:56:49					
00010	4600000004	00010	 	Trad.Good 12,Reorder Point,Reg.Trad.	TG12	TG12	1710	1710	 	2017.07.06 08:56:49					
00020	4600000004	00020	 	RAW14,PD,Subcontracting	RM14	RM14	1710	1710	171C	2017.07.06 08:56:49					
00010	4600000005	00010	 	Trad.Good 10,PD,Third Party	TG10	TG10	1710	1710	 	2017.07.06 08:56:49					
00020	4600000005	00020	 	Trad.Good 11,PD,Reg.Trading	TG11	TG11	1710	1710	 	2017.07.06 08:56:49					
00010	5500000000	00010	 	RAW128, PD, Konsignation	ZRM128	ZRM128	1010	1010	101C	2017.07.06 08:56:49					
00020	5500000000	00020	 	RAW122, PD, FIFO Charge, Import	ZRM122	ZRM122	1010	1010	101C	2017.07.06 08:56:49					
00010	5500000001	00010	 	RAW128,PD,Consignment	ZRM128	ZRM128	1710	1710	171C	2017.07.06 08:56:49					
00020	5500000001	00020	 	RAW128,PD,Consignment	ZRM128	ZRM128	1710	1710	171C	2017.07.06 08:56:49					
00010	5500000002	00010	 	RAW122,PD,Batch-Fifo,ProcureImport	ZRM122	ZRM122	1010	1010	101C	2017.07.06 08:56:49					
00020	5500000002	00020	 	RAW128,PD,Consignment	ZRM128	ZRM128	1010	1010	101C	2017.07.06 08:56:49					
00010	5500000003	00010	 	RAW122,PD,Batch-Fifo,ProcureImport	ZRM122	ZRM122	1010	1010	101B	2017.07.06 08:56:49					
00010	5500000004	00010	 	RAW128, PD, Konsignation	RM128	RM128	1010	1010	101C	2017.07.06 08:56:49					
00020	5500000004	00020	 	RAW128, PD, Konsignation	RM128	RM128	1010	1010	101C	2017.07.06 08:56:49					
00010	5600001010	00010	 	RAW128, PD, Konsignation	RM128	RM128	1010	1010	101C	2017.07.06 08:56:49					
00010	5600001011	00010	 	RAW129, PD	RM129	RM129	1010	1010	101C	2017.07.06 08:56:49					
00010	5600001015	00010	 	RAW233-4, ND, KANBAN, Lieferpläne	RM233-4	RM233-4	1010	1010	101B	2017.07.06 08:56:49					
00010	5600001016	00010	 	HandWare 0012, Meldebest., reg. Besch.	TG0012	TG0012	1010	1010	 	2017.07.06 08:56:49					
00010	5600001710	00010	 	RAW128,PD,Consignment	RM128	RM128	1710	1710	171C	2017.07.06 08:56:49					
00010	5600001711	00010	 	RAW129,PD	RM129	RM129	1710	1710	171C	2017.07.06 08:56:49					
00010	5600001715	00010	 	RAW233-4,ND,KANBAN,sched. agreements	RM233-4	RM233-4	1710	1710	171B	2017.07.06 08:56:49					
00010	5600001716	00010	 	Trad. Good 0012,Reord. Pt.,Regular Proc.	TG0012	TG0012	1710	1710	 	2017.07.06 08:56:49					
