LEGACY_ITEM	RESERVATION	ITEM	RECORD_TYPE	ITEM_TXT_GBL	ITEM_TXT_LCL	DI_TIMESTAMP									
0001	0000000021	0001	 			2017.07.06 08:56:49									
0002	0000000021	0002	 			2017.07.06 08:56:49									
0001	0000000023	0001	 			2017.07.06 08:56:49									
0002	0000000023	0002	 			2017.07.06 08:56:49									
0001	0000000024	0001	 			2017.07.06 08:56:49									
0002	0000000024	0002	 			2017.07.06 08:56:49									
0001	0000000025	0001	 			2017.07.06 08:56:49									
0002	0000000025	0002	 			2017.07.06 08:56:49									
0001	0000000042	0001	 			2017.07.06 08:56:49									
0002	0000000042	0002	 			2017.07.06 08:56:49									
