LEGACY_SCHEDULE_LINE	SCHEDULE_LINE	SALES_DOCUMENT	SALES_DOCUMENT_ITEM	DI_TIMESTAMP											
0001	0001	0000000001	000010	2017.07.06 08:56:49											
0001	0001	0000000002	000010	2017.07.06 08:56:49											
0001	0001	0000000003	000010	2017.07.06 08:56:49											
0001	0001	0000000003	000020	2017.07.06 08:56:49											
0001	0001	0000000004	000010	2017.07.06 08:56:49											
0001	0001	0000000004	000020	2017.07.06 08:56:49											
0001	0001	0000000004	000030	2017.07.06 08:56:49											
0001	0001	0000000004	000040	2017.07.06 08:56:49											
0001	0001	0000000004	000050	2017.07.06 08:56:49											
0001	0001	0000000005	000010	2017.07.06 08:56:49											
0001	0001	0000000006	000010	2017.07.06 08:56:49											
0001	0001	0000000007	000010	2017.07.06 08:56:49											
0001	0001	0000000007	000020	2017.07.06 08:56:49											
0001	0001	0000000008	000010	2017.07.06 08:56:49											
0001	0001	0000000009	000010	2017.07.06 08:56:49											
0001	0001	0000000010	000010	2017.07.06 08:56:49											
0001	0001	0000000011	000010	2017.07.06 08:56:49											
0001	0001	0000000012	000010	2017.07.06 08:56:49											
0001	0001	0000000013	000010	2017.07.06 08:56:49											
0001	0001	0000000014	000010	2017.07.06 08:56:49											
0001	0001	0000000015	000010	2017.07.06 08:56:49											
0001	0001	0000000016	000010	2017.07.06 08:56:49											
0001	0001	0000000017	000010	2017.07.06 08:56:49											
0001	0001	0000000018	000010	2017.07.06 08:56:49											
0001	0001	0000000018	000020	2017.07.06 08:56:49											
0001	0001	0000000018	000030	2017.07.06 08:56:49											
0001	0001	0000000018	000040	2017.07.06 08:56:49											
0001	0001	0000000019	000010	2017.07.06 08:56:49											
0001	0001	0000000020	000010	2017.07.06 08:56:49											
0001	0001	0000000021	000001	2017.07.06 08:56:49											
0001	0001	0000000022	000001	2017.07.06 08:56:49											
0001	0001	0005000998	000001	2017.07.06 08:56:49											
0001	0001	0005000999	000001	2017.07.06 08:56:49											
0002	0002	0000000002	000010	2017.07.06 08:56:49											
0002	0002	0000000004	000020	2017.07.06 08:56:49											
0002	0002	0000000004	000030	2017.07.06 08:56:49											
0002	0002	0000000004	000040	2017.07.06 08:56:49											
0002	0002	0000000005	000010	2017.07.06 08:56:49											
0002	0002	0000000006	000010	2017.07.06 08:56:49											
0002	0002	0000000007	000020	2017.07.06 08:56:49											
0002	0002	0000000008	000010	2017.07.06 08:56:49											
0002	0002	0000000009	000010	2017.07.06 08:56:49											
0002	0002	0000000010	000010	2017.07.06 08:56:49											
0002	0002	0000000011	000010	2017.07.06 08:56:49											
0002	0002	0000000012	000010	2017.07.06 08:56:49											
0002	0002	0000000013	000010	2017.07.06 08:56:49											
0002	0002	0000000014	000010	2017.07.06 08:56:49											
0002	0002	0000000015	000010	2017.07.06 08:56:49											
0002	0002	0000000016	000010	2017.07.06 08:56:49											
0002	0002	0000000017	000010	2017.07.06 08:56:49											
0002	0002	0000000018	000010	2017.07.06 08:56:49											
0002	0002	0000000018	000020	2017.07.06 08:56:49											
0002	0002	0000000018	000030	2017.07.06 08:56:49											
0002	0002	0000000018	000040	2017.07.06 08:56:49											
0002	0002	0000000019	000010	2017.07.06 08:56:49											
0002	0002	0000000020	000010	2017.07.06 08:56:49											
0002	0002	0005000999	000001	2017.07.06 08:56:49											
