LEGACY_SCB_IND	SCB_IND	REP_REC_DOC_TYPE	INDICATOR_ACC_SERV_SPEC	REASON_FOR_PAYMENT	REASON_FOR_PAYMENT_2	EDI_DOC_TYPE	DI_TIMESTAMP								
003	003	6	003	Transithandel	 	001	2017.07.06 08:56:49								
013	013	2	013	Personenbeförderung auf der Schiene	 	 	2017.07.06 08:56:49								
014	014	2	014	Personenbeförderung in Flugzeugen	 	 	2017.07.06 08:56:49								
017	017	2	017	Reiseverkehr	 	 	2017.07.06 08:56:49								
081	081	2	081	Sonstige Seefrachten	 	 	2017.07.06 08:56:49								
082	082	2	082	Sonstige Luftfrachten	 	 	2017.07.06 08:56:49								
101	101	2	101	Fremdwährungs-Anleihen ausländischer öffentlicher Emittenten	 	 	2017.07.06 08:56:49								
102	102	2	102	Fremdwährungs-Anleihen ausländischer privater Emittenten	 	 	2017.07.06 08:56:49								
104	104	2	104	Aktien und sonstige Dividendenpapiere ausländischer Emittenten	 	 	2017.07.06 08:56:49								
105	105	2	105	Geldmarktpapiere ausländischer Emittenten	 	 	2017.07.06 08:56:49								
106	106	2	106	Sonstige ausländische Geldmarktfondszertifikate mit Ertragsausschüttng	(auch bei Wahlmöglichkeit zwischen Barausschüttung und Thesaurierung)	 	2017.07.06 08:56:49								
107	107	2	107	Erwerb bzw. Veräußerung von Kapitalbeteil., Kapitaleinz., Kapitalerhöh	und Kapitalherab. bei ausländischen nicht börsennotierten Aktiengesell	 	2017.07.06 08:56:49								
108	108	2	108	Einzahlungen i.d. Kapitalrückl. und Rückzahl. bei ausländ. Aktienges.	einschl. der Zuschüsse zum Ausgleich von bilanzierten Verlustvorträgen	 	2017.07.06 08:56:49								
110	110	4	110	Optionsscheine ausländischer Emittenten	 	 	2017.07.06 08:56:49								
111	111	2	111	Erwerb bzw. Veräuß. von Kapitalbeteil., Kapitaleinz., Kapitalerhöh. u.	Kapitalherab. bei ausl. Nicht-Aktienges. - Zahl. b. ausl. Betriebsstät	 	2017.07.06 08:56:49								
112	112	2	112	Einz. i.d. Kapitalrückl. und Rückzahl. bei ausländ. Nicht-Aktienges.	einschl. der Zuschüsse zum Ausgleich von bilanzierten Verlustvorträgen	 	2017.07.06 08:56:49								
129	129	2	129	Sonstige ausländische thessurierende Geldmarktfonds	 	 	2017.07.06 08:56:49								
133	133	4	133	Kapital-Strips der stripbaren Bundesanleihen	 	 	2017.07.06 08:56:49								
134	134	4	134	Zins-Strips der stripbaren Bundesanleihen	 	 	2017.07.06 08:56:49								
139	139	2	139	Erwerb und Veräußerung von Übrigen Kapitalanlagen im Ausland durch	inländische MIF's	 	2017.07.06 08:56:49								
123	123	2	123	Erw. u. Abtr. , Tilg. v. Schuldscheindarl., Namenschuldver., Pfandbr.	u.ä. n. börsenfäh. WP ausl. Emit., Laufz. > 12 Mon., d. inl. MFI's	 	2017.07.06 08:56:49								
132	132	2	132	Kauf u. Verk. v. Immob. u. Grundst. im Ausland sowie Erwer und Veräuß.	v. Anteilen an geschl. Immob.fonds durch inländische MFI's	 	2017.07.06 08:56:49								
136	136	2	136	Erwerb bzw. Veräuß. von Kapitalbeteil., Kapitaleinz., Kapitalerhöh. u.	Kapitalherab. v. Untern.anteilen, nicht in Aktien, d. inländ. MIF's	 	2017.07.06 08:56:49								
140	140	4	140	Bundesschatzanweisungen	 	 	2017.07.06 08:56:49								
141	141	4	141	Festverzinsliche Anleihen inländischer öffentlicher Emittenten	 	 	2017.07.06 08:56:49								
143	143	4	143	Fremdwährungsanleihen inländischer öffentlicher Emittenten	 	 	2017.07.06 08:56:49								
144	144	4	145	Bankaktien inländischer Emittenten	 	 	2017.07.06 08:56:49								
145	145	4	145	Geldmarktpapiere inländischer MFIs	 	 	2017.07.06 08:56:49								
146	146	4	146	Sonstige inländische Investmentfonds mit Ertragsausschüttung (auch bei	Wahlmöglichkeit zwischen Barausschüttung und Thesaurierung)	 	2017.07.06 08:56:49								
147	147	4	147	Erw. bzw. Ver. Kap.bet. a. inl. n. börsenn. MFIs als AG sowie Kap.einz	, Kap.erh., Kap.herabs. in F. v. inl. Aktien. ausg. durch börsenn. MFI	 	2017.07.06 08:56:49								
148	148	4	148	Einz. i.d. Kap.rückl. und Rückzahl. einschl. Zusch. z. Ausgl. v. bil.	Verl.vortr. bei inländischen MFIs i.d.F. der Aktiengesellschaft	 	2017.07.06 08:56:49								
150	150	4	150	Optionsscheine inländischer Emittenten	 	 	2017.07.06 08:56:49								
151	151	4	151	Erw. bzw. Ver. Kap.bet. a. inl. MFIs, d. nicht AG sind, sowie Kap.einz	, Kap.erh., Kap.herabs. b.d.MFIs. Zahl.b.Err.u.Aufh.,Erw.u.Ver.v.ZN.	 	2017.07.06 08:56:49								
152	152	4	152	Einz. i.d. Kap.rückl. u.Rückzahl. bei inl. MFIs i.d.F. v. Nicht-AGs	einschl. d. Zusch. z. Ausgl. v. bil. Ver.vortr. bei d. inkl. MFIs	 	2017.07.06 08:56:49								
155	155	4	155	Genussscheine inländischer Emittenten	 	 	2017.07.06 08:56:49								
157	157	4	157	Sonstige inländische thesaurierende Investmentfonds	 	 	2017.07.06 08:56:49								
163	163	4	163	Erstabs. u. off. Abtret. sowie Til. o. Rückerw. v. lgfrist. n.börsenn.	(Lz > 12M) d. Inländer: Emissionen von MFIs	 	2017.07.06 08:56:49								
172	172	0	172	Kauf u. Verk. v. Immo. u. Grundst. im Inl. oder v. im Inl. aufge. Zert	geschl. Immo.fonds durch MFIs (Eigengeschäft)	 	2017.07.06 08:56:49								
225	225	2	225	Luftfrachten im Zusammenhang mit den deutschen Ein- und Ausfuhren und	Verbringungen	 	2017.07.06 08:56:49								
226	226	2	226	Rohrfernleitungstransporte im Zusammenhang mit den deutschen Ein- und	Ausfuhren und Verbringungen	 	2017.07.06 08:56:49								
340	340	2	340	Transportnebenleistungen für den Schienenverkehr	 	 	2017.07.06 08:56:49								
344	344	4	344	Unverzinsliche Schatzanweisungen des Bundes (Bubills)	 	 	2017.07.06 08:56:49								
175	175	4	175	St. Abtr. u. Til. v.kfr. Inl.ford. u.n. börsennot. Wertpap. (bis 12M)	d. Inländer, untersch. n. Schuldnergr.: MFIs	 	2017.07.06 08:56:49								
176	176	4	176	St. Abtr. u. Til. v. lgfr. Inl.ford. und nicht-börsennot. Wertpap.	(Lz > 12M) d. Inl., untersch. n. Sculdnergr.: MFIs	 	2017.07.06 08:56:49								
178	178	4	178	Erw. u. Ver. v. Kap.bet., Kap.einz., Kap.erh. u. Kap.herabs. v. nicht	in Aktien verbr. Unt.ant. an inl. MFIs	 	2017.07.06 08:56:49								
179	179	4	179	Erwerb und Veräußerung von übrigen Kapitalanlagen im Inland bei inländ	MFIs	 	2017.07.06 08:56:49								
180	180	4	180	Pacht- und Mieterträge sowie –aufwendungen von inländischen MFIs	 	 	2017.07.06 08:56:49								
182	182	4	182	Zinsen auf Wertpapiere ausländischer öffentlicher Emittenten, die von	inländischen MFIs vereinnahmt werden	 	2017.07.06 08:56:49								
237	237	2	237	Explorationsaufwendungen im Ausland	 	 	2017.07.06 08:56:49								
239	239	2	239	Erwerb und Veräußerung von Übrigen Kapitalanlagen im Ausland durch	inländische Unternehmen und Privatpersonen	 	2017.07.06 08:56:49								
240	240	2	240	Straßenfrachten im Zusammenhang mit den deutschen Ein- und Ausfuhren	und Verbringungen	 	2017.07.06 08:56:49								
245	245	4	245	Geldmarktpapiere inländischer Unternehmen	 	 	2017.07.06 08:56:49								
183	183	4	183	Zinsen auf Wertpapiere inländischer privater Emittenten, die an Ausl.	gezahlt werden bzw. die Inl. als erste inl. St.  von ausl. Lagerst. er	 	2017.07.06 08:56:49								
184	184	4	184	Zinseinnahmen und –ausgaben der MFIs aus Bankguthaben, Krediten etc.	 	 	2017.07.06 08:56:49								
185	185	4	185	Erträge aus ausländischen Aktien oder Genussscheinen, die von inländi.	MFIs vereinnahmt werden	 	2017.07.06 08:56:49								
186	186	4	186	Erträge aus Anteilen an sonstigen Kapitalgesellschaften (z.B.GmbH-Ant)	die von inl. MFIs vereinnahmt oder gezahlt werden	 	2017.07.06 08:56:49								
187	187	4	187	Erträge aus sonstigen Geschäfts- und Kapitalanteilen (z.B.Kommand.Ant)	sowie ZN, die von inl. MFIs vereinnahmt oder gezahlt werden	 	2017.07.06 08:56:49								
188	188	4	188	Erträge aus Anteilen an Aktiengesellschaften, die von inländischen MFI	vereinahmt oder gezahlt werden	 	2017.07.06 08:56:49								
190	190	4	190	Ver. o. gel. Zusch. v. MFIs z. Verm. v. Verl.vortr. bzw. Jahr.fehlbetr	sowie Übern. d. neg. Betr.erg. von BS u. ZN aus Ergeb. d. gewöhnl. Gt.	 	2017.07.06 08:56:49								
197	197	4	197	Aufwendungen und Erträge von MFIs aus sonstigen, nicht in Wertpapieren	verbr. Unternehmensbet. bei ausl. bzw. inl. Nicht-Aktiengesellschaften	 	2017.07.06 08:56:49								
215	215	2	215	Sonstige Rohrfernleitungstransporte	 	 	2017.07.06 08:56:49								
216	216	2	216	Binnenschiffsfrachten im Zusammenhang mit den deutschen Ein- und	Ausfuhren und Verbringungen	 	2017.07.06 08:56:49								
217	217	2	217	Übertragung von Stromfernleitungen	 	 	2017.07.06 08:56:49								
