LEGACY_TAX_CATEGORY	APPLICATION	TAX_CATEGORY	TAX_CATEGORY_TXT_GBL	TAX_CATEGORY_TXT_LCL	DI_TIMESTAMP										
CACT	CA	CACT	Actual Cost Rate	Istkostensatz	2017.07.06 08:56:49										
CPLN	CA	CPLN	Planned Cost	Plankosten	2017.07.06 08:56:49										
Y-B1	CS	Y-B1	Wages	Löhne	2017.07.06 08:56:49										
Y-B2	CS	Y-B2	Salaries	Gehälter	2017.07.06 08:56:49										
Y-Z1	CS	Y-Z1	Vacation bonus paid	Tarifl. Urlaubsgeld	2017.07.06 08:56:49										
Y-Z2	CS	Y-Z2	Yearly bonus	Tarif.Jahresleistung	2017.07.06 08:56:49										
Y-Z3	CS	Y-Z3	Misc.Personnel Costs	Snst. Personalkosten	2017.07.06 08:56:49										
B000	KA	B000	Material	Material	2017.07.06 08:56:49										
B001	KA	B001	Wages	Löhne	2017.07.06 08:56:49										
B002	KA	B002	Salaries	Gehälter	2017.07.06 08:56:49										
B010	KA	B010	Production	Produktion	2017.07.06 08:56:49										
B090	KA	B090	Sales plant gen.	Verkauf Eigenerzeug.	2017.07.06 08:56:49										
B101	KA	B101	Wage Cst Cntr/WgType	Löhne Kostenst./LArt	2017.07.06 08:56:49										
C000	KA	C000	Material OH	GK Material	2017.07.06 08:56:49										
C001	KA	C001	Manufacturing OH	GK Fertigung	2017.07.06 08:56:49										
C002	KA	C002	Administration OH	GK Verwaltung	2017.07.06 08:56:49										
C003	KA	C003	Sales OH	GK Vertrieb	2017.07.06 08:56:49										
C010	KA	C010	Material OH/Surcharg	GK Material/Zuschlag	2017.07.06 08:56:49										
C011	KA	C011	Manuf.OH/OH Surch	GK Fertigung/Zuschl.	2017.07.06 08:56:49										
C012	KA	C012	Manuf.OH/OH Surch	GK-Fertigung/Zschl	2017.07.06 08:56:49										
C013	KA	C013	Sales OH/OH Surch	GK Vertrieb/Zuschlag	2017.07.06 08:56:49										
C020	KA	C020	Material OH/plant	GK Material/Werk	2017.07.06 08:56:49										
C021	KA	C021	Manuf.OH/plant	GK Fertigung/Werk	2017.07.06 08:56:49										
C022	KA	C022	Admin.OH/Plant	GK Verwaltung/Werk	2017.07.06 08:56:49										
C023	KA	C023	Sales OH/Plant	GK Vertrieb/Werk	2017.07.06 08:56:49										
C030	KA	C030	Material OH/CCode	GK Material/Bukrs	2017.07.06 08:56:49										
C031	KA	C031	Manuf.OH/CCode	GK Fertigung/Bukrs	2017.07.06 08:56:49										
C032	KA	C032	Admin.OH/CCode	GK Verwaltung/Bukrs	2017.07.06 08:56:49										
C033	KA	C033	Sales OH/CCode	GK Vertrieb/Bukrs	2017.07.06 08:56:49										
C040	KA	C040	Material OH/BArea	GK Material/Gsber.	2017.07.06 08:56:49										
C041	KA	C041	Manuf.OH/BArea	GK Fertigung/Gsber.	2017.07.06 08:56:49										
C042	KA	C042	Admin.OH/BArea	GK Verwaltung/Gsber.	2017.07.06 08:56:49										
C043	KA	C043	Sales OH/BArea	GK Vertrieb/Gsber.	2017.07.06 08:56:49										
C050	KA	C050	Material OH/OType	GK Vertrieb/AArt	2017.07.06 08:56:49										
C051	KA	C051	Manuf.OH/OType	GK Fertigung/AArt	2017.07.06 08:56:49										
C052	KA	C052	Admin.OH/OType	GK Verwaltung/AArt	2017.07.06 08:56:49										
C053	KA	C053	Sales OH/OType	GK Vertrieb/AArt	2017.07.06 08:56:49										
C060	KA	C060	Material OH/OType	GK-Material/AArt	2017.07.06 08:56:49										
C061	KA	C061	Manuf.OH/OType	GK-Fertigung/AArt	2017.07.06 08:56:49										
C062	KA	C062	Admin.OH/OType	GK-Verwaltung/AArt	2017.07.06 08:56:49										
C063	KA	C063	Sales OH/OType	GK-Vertrieb/AArt	2017.07.06 08:56:49										
C070	KA	C070	Material OH/Version	GK Material/Version	2017.07.06 08:56:49										
C080	KA	C080	Mat-OH/Profit Ctr.	GK Mat./Profitcenter	2017.07.06 08:56:49										
Y001	KA	Y001	Material	Material	2017.07.06 08:56:49										
Y002	KA	Y002	Production	Fertigung	2017.07.06 08:56:49										
