LEGACY_TERMS_OF_PAYMENT_KEY	TERMS_OF_PAYMENT_KEY	DAY_LIMIT	TERMS_OF_PAYMENT_KEY_TXT_GBL	TERMS_OF_PAYMENT_KEY_TXT_LCL	DI_TIMESTAMP										
0001	0001	00			2017.07.06 08:56:49										
0002	0002	00			2017.07.06 08:56:49										
0003	0003	00			2017.07.06 08:56:49										
0004	0004	00			2017.07.06 08:56:49										
0005	0005	00			2017.07.06 08:56:49										
0006	0006	00			2017.07.06 08:56:49										
0007	0007	15			2017.07.06 08:56:49										
0007	0007	31			2017.07.06 08:56:49										
0008	0008	15			2017.07.06 08:56:49										
0008	0008	31			2017.07.06 08:56:49										
0009	0009	00			2017.07.06 08:56:49										
NT00	NT00	00			2017.07.06 08:56:49										
NT08	NT08	00			2017.07.06 08:56:49										
NT15	NT15	00			2017.07.06 08:56:49										
NT30	NT30	00			2017.07.06 08:56:49										
NT45	NT45	00			2017.07.06 08:56:49										
NT60	NT60	00			2017.07.06 08:56:49										
SEPA	SEPA	00	SEPA Payment according to mandate	SEPA-Zahlung gemäß Mandat	2017.07.06 08:56:49										
