LEGACY_TIME_ZONE	TIME_ZONE	TIME_ZONE_TXT_GBL	TIME_ZONE_TXT_LCL	DI_TIMESTAMP											
AFGHAN	AFGHAN	Afghanistan	Afghanistan	2018.06.19 05:33:47											
ALA	ALA	Alaska (Anchorage)	Alaska (Anchorage)	2018.06.19 05:33:47											
ALAW	ALAW	Alaska (Aleutian)	Alaska (Aleuten)	2018.06.19 05:33:47											
ART	ART	Argentina	Argentinien	2018.06.19 05:33:47											
AST	AST	Atlantic Time (Halifax)	Atlantic Time (Halifax)	2018.06.19 05:33:47											
AUSACT	AUSACT	Australia Capital Territories	Australien Capital Territories	2018.06.19 05:33:47											
AUSLHI	AUSLHI	Australia Lord Howe Island	Australien Lord Howe Island	2018.06.19 05:33:47											
AUSNSW	AUSNSW	Australia New South Wales	Australien New South Wales	2018.06.19 05:33:47											
AUSNT	AUSNT	Australia Northern Territories	Australien North. Territories	2018.06.19 05:33:47											
AUSQLD	AUSQLD	Australia Queensland	Australien Queensland	2018.06.19 05:33:47											
AUSSA	AUSSA	Australia South Australia	Australien South Australia	2018.06.19 05:33:47											
AUSTAS	AUSTAS	Australia Tasmania	Australien Tasmania	2018.06.19 05:33:47											
AUSVIC	AUSVIC	Australia Victoria	Australien Victoria	2018.06.19 05:33:47											
AUSWA	AUSWA	Australia Western Australia	Australien Western Australia	2018.06.19 05:33:47											
AZOREN	AZOREN	Europe Azores	Europa Azoren	2018.06.19 05:33:47											
AZT	AZT	Azerbaijan	Aserbaidschan	2018.06.19 05:33:47											
BDT	BDT	Bangladesh	Bangladesch	2018.06.19 05:33:47											
BRAZIL	BRAZIL	Brazil	Brasilien	2018.06.19 05:33:47											
BRZLAN	BRZLAN	Brazil Andes	Brasilien Anden	2018.06.19 05:33:47											
BRZLEA	BRZLEA	Brazil East	Brasilien Osten	2018.06.19 05:33:47											
BRZLWE	BRZLWE	Brazil West	Brasilien Westen	2018.06.19 05:33:47											
CAT	CAT	Central Africa	Zentralafrika	2018.06.19 05:33:47											
CET	CET	Central Europe	Mitteleuropa	2018.06.19 05:33:47											
CHILE	CHILE	Chile	Chile	2018.06.19 05:33:47											
CHILEE	CHILEE	Chile Easter Island	Chile Osterinsel	2018.06.19 05:33:47											
CST	CST	Central Time (Dallas)	Central Time (Dallas)	2018.06.19 05:33:47											
CSTNO	CSTNO	Central Time No DST	Central Time No DST	2018.06.19 05:33:47											
CST_NA	CST_NA	Central Time North America	Central Time Nordamerika	2018.06.19 05:33:47											
CYPRUS	CYPRUS	Cyprus	Zypern	2018.06.19 05:33:47											
EET	EET	Eastern Europe	Osteuropa	2018.06.19 05:33:47											
EGYPT	EGYPT	Egypt	Ägypten	2018.06.19 05:33:47											
EST	EST	Eastern Time (New York)	Eastern Time (New York)	2018.06.19 05:33:47											
ESTNO	ESTNO	Eastern Time (Indianapolis)	Eastern Time (Indianapoliis)	2018.06.19 05:33:47											
EST_	EST_	Eastern Time (Montréal)	Eastern Time (Montréal)	2018.06.19 05:33:47											
EST_NA	EST_NA	Eastern Time North America	Eastern Time Nordamerika	2018.06.19 05:33:47											
FLKLND	FLKLND	Falkland Islands	Falkland Inseln	2018.06.19 05:33:47											
GMTUK	GMTUK	Greenwich UK with DST	Greenwich UK mit Sommerzeit	2018.06.19 05:33:47											
GST	GST	Greenland	Grönland	2018.06.19 05:33:47											
GSTE	GSTE	Eastern Greenland	Ostgrönland	2018.06.19 05:33:47											
GSTW	GSTW	Western Greenland	Westgrönland	2018.06.19 05:33:47											
HAW	HAW	Hawaii	Hawaii	2018.06.19 05:33:47											
INDIA	INDIA	India	Indien	2018.06.19 05:33:47											
IRAN	IRAN	Iran	Iran	2018.06.19 05:33:47											
IRAQ	IRAQ	Iraq	Irak	2018.06.19 05:33:47											
ISRAEL	ISRAEL	Israel	Israel	2018.06.19 05:33:47											
JAPAN	JAPAN	Japan	Japan	2018.06.19 05:33:47											
JORDAN	JORDAN	Jordan	Jordanien	2018.06.19 05:33:47											
LBANON	LBANON	Lebanon	Libanon	2018.06.19 05:33:47											
MAU	MAU	Mauritius	Mauritius	2018.06.19 05:33:47											
MOROCC	MOROCC	Morocco	Marokko	2018.06.19 05:33:47											
MST	MST	Mountain Time (Denver)	Mountain Time (Denver)	2018.06.19 05:33:47											
MSTNO	MSTNO	Mountain Time (Phoenix)	Mountain Time (Phoenix)	2018.06.19 05:33:47											
MST_NA	MST_NA	Mountain Time North America	Mountain Time Nordamerika	2018.06.19 05:33:47											
NAT	NAT	Namibia	Namibia	2018.06.19 05:33:47											
NEPAL	NEPAL	Nepal	Nepal	2018.06.19 05:33:47											
NFDL	NFDL	Newfoundland	Neufundland	2018.06.19 05:33:47											
NORFLK	NORFLK	Norfolk Islands	Norfolk Islands	2018.06.19 05:33:47											
NST	NST	Newfoundland	Neufundland	2018.06.19 05:33:47											
NZCHA	NZCHA	New Zealand Chatham Islands	Neuseeland Chatham Islands	2018.06.19 05:33:47											
NZST	NZST	New Zealand	Neuseeland	2018.06.19 05:33:47											
PARAGY	PARAGY	Paraguay	Paraguay	2018.06.19 05:33:47											
PIERRE	PIERRE	St Pierre and Miquelon	St Pierre und Miquelon	2018.06.19 05:33:47											
PKT	PKT	Pakistan	Pakistan	2018.06.19 05:33:47											
