LEGACY_TOLERANCE_GROUP	COMPANY_CODE	TOLERANCE_GROUP	TOLERANCE_GROUP_TXT_GBL	TOLERANCE_GROUP_TXT_LCL	DI_TIMESTAMP										
 	1010	 	Default Tolerance Cust/vend	Toleranz Deb/Kred	2018.06.19 05:33:47										
CUS1	1010	CUS1	Tol CUS1	Toleranz Debitor1	2018.06.19 05:33:47										
CUS2	1010	CUS2	Tol CUS2	Toleranz Debitor2	2018.06.19 05:33:47										
VEN1	1010	VEN1	Tol VEN1	Toleranz Kreditor1	2018.06.19 05:33:47										
VEN2	1010	VEN2	Tol VEN2	Toleranz Kreditor2	2018.06.19 05:33:47										
 	1310	 	Default Tolerance Cust/vend	Toleranz Deb/Kred	2018.06.19 05:33:47										
CUS1	1310	CUS1	Tol CUS1	Toleranz Debitor1	2018.06.19 05:33:47										
CUS2	1310	CUS2	Tol CUS2	Toleranz Debitor2	2018.06.19 05:33:47										
VEN1	1310	VEN1	Tol VEN1	Toleranz Kreditor1	2018.06.19 05:33:47										
VEN2	1310	VEN2	Tol VEN2	Toleranz Kreditor2	2018.06.19 05:33:47										
 	1410	 	Default Tolerance Cust/vend	Toleranz Deb/Kred	2018.06.19 05:33:47										
CUS1	1410	CUS1	Tol CUS1	Toleranz Debitor1	2018.06.19 05:33:47										
CUS2	1410	CUS2	Tol CUS2	Toleranz Debitor2	2018.06.19 05:33:47										
VEN1	1410	VEN1	Tol VEN1	Toleranz Kreditor1	2018.06.19 05:33:47										
VEN2	1410	VEN2	Tol VEN2	Toleranz Kreditor2	2018.06.19 05:33:47										
 	1510	 	Default Tolerance Cust/vend	Toleranz Deb/Kred	2018.06.19 05:33:47										
CUS1	1510	CUS1	Tol CUS1	Toleranz Debitor1	2018.06.19 05:33:47										
CUS2	1510	CUS2	Tol CUS2	Toleranz Debitor2	2018.06.19 05:33:47										
VEN1	1510	VEN1	Tol VEN1	Toleranz Kreditor1	2018.06.19 05:33:47										
VEN2	1510	VEN2	Tol VEN2	Toleranz Kreditor2	2018.06.19 05:33:47										
 	1710	 	Default Tolerance Cust/vend	Toleranz Deb/Kred	2018.06.19 05:33:47										
CUS1	1710	CUS1	Tol CUS1	Toleranz Debitor1	2018.06.19 05:33:47										
CUS2	1710	CUS2	Tol CUS2	Toleranz Debitor2	2018.06.19 05:33:47										
VEN1	1710	VEN1	Tol VEN1	Toleranz Kreditor1	2018.06.19 05:33:47										
VEN2	1710	VEN2	Tol VEN2	Toleranz Kreditor2	2018.06.19 05:33:47										
 	1720	 	Default Tolerance Cust/vend	Toleranz Deb/Kred	2018.06.19 05:33:47										
CUS1	1720	CUS1	Tol CUS1	Toleranz Debitor1	2018.06.19 05:33:47										
CUS2	1720	CUS2	Tol CUS2	Toleranz Debitor2	2018.06.19 05:33:47										
VEN1	1720	VEN1	Tol VEN1	Toleranz Kreditor1	2018.06.19 05:33:47										
VEN2	1720	VEN2	Tol VEN2	Toleranz Kreditor2	2018.06.19 05:33:47										
 	1730	 	Default Tolerance Cust/vend	Toleranz Deb/Kred	2018.06.19 05:33:47										
CUS1	1730	CUS1	Tol CUS1	Toleranz Debitor1	2018.06.19 05:33:47										
CUS2	1730	CUS2	Tol CUS2	Toleranz Debitor2	2018.06.19 05:33:47										
VEN1	1730	VEN1	Tol VEN1	Toleranz Kreditor1	2018.06.19 05:33:47										
VEN2	1730	VEN2	Tol VEN2	Toleranz Kreditor2	2018.06.19 05:33:47										
 	1740	 	Default Tolerance Cust/vend	Toleranz Deb/Kred	2018.06.19 05:33:47										
CUS1	1740	CUS1	Tol CUS1	Toleranz Debitor1	2018.06.19 05:33:47										
CUS2	1740	CUS2	Tol CUS2	Toleranz Debitor2	2018.06.19 05:33:47										
VEN1	1740	VEN1	Tol VEN1	Toleranz Kreditor1	2018.06.19 05:33:47										
VEN2	1740	VEN2	Tol VEN2	Toleranz Kreditor2	2018.06.19 05:33:47										
 	1750	 	Default Tolerance Cust/vend	Toleranz Deb/Kred	2018.06.19 05:33:47										
CUS1	1750	CUS1	Tol CUS1	Toleranz Debitor1	2018.06.19 05:33:47										
CUS2	1750	CUS2	Tol CUS2	Toleranz Debitor2	2018.06.19 05:33:47										
VEN1	1750	VEN1	Tol VEN1	Toleranz Kreditor1	2018.06.19 05:33:47										
VEN2	1750	VEN2	Tol VEN2	Toleranz Kreditor2	2018.06.19 05:33:47										
 	1760	 	Default Tolerance Cust/vend	Toleranz Deb/Kred	2018.06.19 05:33:47										
CUS1	1760	CUS1	Tol CUS1	Toleranz Debitor1	2018.06.19 05:33:47										
CUS2	1760	CUS2	Tol CUS2	Toleranz Debitor2	2018.06.19 05:33:47										
VEN1	1760	VEN1	Tol VEN1	Toleranz Kreditor1	2018.06.19 05:33:47										
VEN2	1760	VEN2	Tol VEN2	Toleranz Kreditor2	2018.06.19 05:33:47										
 	1770	 	Default Tolerance Cust/vend	Toleranz Deb/Kred	2018.06.19 05:33:47										
CUS1	1770	CUS1	Tol CUS1	Toleranz Debitor1	2018.06.19 05:33:47										
CUS2	1770	CUS2	Tol CUS2	Toleranz Debitor2	2018.06.19 05:33:47										
VEN1	1770	VEN1	Tol VEN1	Toleranz Kreditor1	2018.06.19 05:33:47										
VEN2	1770	VEN2	Tol VEN2	Toleranz Kreditor2	2018.06.19 05:33:47										
 	1780	 	Default Tolerance Cust/vend	Toleranz Deb/Kred	2018.06.19 05:33:47										
CUS1	1780	CUS1	Tol CUS1	Toleranz Debitor1	2018.06.19 05:33:47										
CUS2	1780	CUS2	Tol CUS2	Toleranz Debitor2	2018.06.19 05:33:47										
VEN1	1780	VEN1	Tol VEN1	Toleranz Kreditor1	2018.06.19 05:33:47										
VEN2	1780	VEN2	Tol VEN2	Toleranz Kreditor2	2018.06.19 05:33:47										
 	1790	 	Default Tolerance Cust/vend	Toleranz Deb/Kred	2018.06.19 05:33:47										
CUS1	1790	CUS1	Tol CUS1	Toleranz Debitor1	2018.06.19 05:33:47										
CUS2	1790	CUS2	Tol CUS2	Toleranz Debitor2	2018.06.19 05:33:47										
VEN1	1790	VEN1	Tol VEN1	Toleranz Kreditor1	2018.06.19 05:33:47										
