LEGACY_TRANSPORTATION_ZONE	TRANSPORTATION_ZONE	COUNTRY_KEY	TRANSPORTATION_ZONE_TXT_GBL	TRANSPORTATION_ZONE_TXT_LCL	DI_TIMESTAMP										
0000000001	0000000001	AT	Region East	Gebiet Ost	2018.06.19 05:33:47										
0000000001	0000000001	AU	Region east	Gebiet Ost	2018.06.19 05:33:47										
0000000001	0000000001	BE	Region east	Gebiet Ost	2018.06.19 05:33:47										
0000000001	0000000001	CA	Region east	Gebiet Ost	2018.06.19 05:33:47										
0000000001	0000000001	CH	Region East	Gebiet Ost	2018.06.19 05:33:47										
0000000001	0000000001	CN	Region east	Gebiet Ost	2018.06.19 05:33:47										
0000000001	0000000001	CO	Region East	Gebiet Ost	2018.06.19 05:33:47										
0000000001	0000000001	CZ	Region East	Gebiet Ost	2018.06.19 05:33:47										
0000000001	0000000001	DE	Region North	Gebiet Nord	2018.06.19 05:33:47										
0000000001	0000000001	DK	Region east	Gebiet Ost	2018.06.19 05:33:47										
0000000001	0000000001	ES	Region east	Gebiet Ost	2018.06.19 05:33:47										
0000000001	0000000001	FI	Region east	Gebiet Ost	2018.06.19 05:33:47										
0000000001	0000000001	FR	Region east	Gebiet Ost	2018.06.19 05:33:47										
0000000001	0000000001	GB	Region east	Gebiet Ost	2018.06.19 05:33:47										
0000000001	0000000001	HU	Region east	Gebiet Ost	2018.06.19 05:33:47										
0000000001	0000000001	IE	Region east	Gebiet Ost	2018.06.19 05:33:47										
0000000001	0000000001	IT	Region east	Gebiet Ost	2018.06.19 05:33:47										
0000000001	0000000001	JP	Region east	Gebiet Ost	2018.06.19 05:33:47										
0000000001	0000000001	KR	Region east	Gebiet Ost	2018.06.19 05:33:47										
0000000001	0000000001	LU	Region East	Gebiet Ost	2018.06.19 05:33:47										
0000000001	0000000001	MX	Region east	Gebiet Ost	2018.06.19 05:33:47										
0000000001	0000000001	NL	Region East	Gebiet Ost	2018.06.19 05:33:47										
0000000001	0000000001	NO	Region east	Gebiet Ost	2018.06.19 05:33:47										
0000000001	0000000001	PL	Region East	Region Ost	2018.06.19 05:33:47										
0000000001	0000000001	PT	Region east	Gebiet Ost	2018.06.19 05:33:47										
0000000001	0000000001	RU	Region east	Gebiet Ost	2018.06.19 05:33:47										
0000000001	0000000001	SE	Region east	Gebiet Ost	2018.06.19 05:33:47										
0000000001	0000000001	SG	Region east	Gebiet Ost	2018.06.19 05:33:47										
0000000001	0000000001	SK	Region East	Gebiet Ost	2018.06.19 05:33:47										
0000000001	0000000001	US	Region East	Gebiet Ost	2018.06.19 05:33:47										
0000000001	0000000001	VE	Region East	Gebiet Ost	2018.06.19 05:33:47										
0000000001	0000000001	ZA	Region East	Gebiet Ost	2018.06.19 05:33:47										
0000000002	0000000002	AT	Region West	Gebiet West	2018.06.19 05:33:47										
0000000002	0000000002	AU	Region west	Gebiet West	2018.06.19 05:33:47										
0000000002	0000000002	BE	Region West	Gebiet West	2018.06.19 05:33:47										
0000000002	0000000002	CA	Region west	Gebiet West	2018.06.19 05:33:47										
0000000002	0000000002	CH	Region West	Gebiet West	2018.06.19 05:33:47										
0000000002	0000000002	CN	Region west	Gebiet West	2018.06.19 05:33:47										
0000000002	0000000002	CO	Region West	Gebiet West	2018.06.19 05:33:47										
0000000002	0000000002	CZ	Region west	Gebiet West	2018.06.19 05:33:47										
0000000002	0000000002	DE	Region South	Gebiet Süd	2018.06.19 05:33:47										
0000000002	0000000002	DK	Region west	Gebiet West	2018.06.19 05:33:47										
0000000002	0000000002	ES	Region west	Gebiet West	2018.06.19 05:33:47										
0000000002	0000000002	FI	Region west	Gebiet West	2018.06.19 05:33:47										
0000000002	0000000002	FR	Region west	Gebiet West	2018.06.19 05:33:47										
0000000002	0000000002	GB	Region west	Gebiet West	2018.06.19 05:33:47										
0000000002	0000000002	HU	Region west	Gebiet West	2018.06.19 05:33:47										
0000000002	0000000002	IE	Region West	Gebiet West	2018.06.19 05:33:47										
0000000002	0000000002	IT	Region west	Gebiet West	2018.06.19 05:33:47										
0000000002	0000000002	JP	Region West	Gebiet West	2018.06.19 05:33:47										
0000000002	0000000002	KR	Region West	Gebiet West	2018.06.19 05:33:47										
0000000002	0000000002	LU	Region West	Gebiet West	2018.06.19 05:33:47										
0000000002	0000000002	MX	Region west	Gebiet West	2018.06.19 05:33:47										
0000000002	0000000002	NL	Region West	Gebiet West	2018.06.19 05:33:47										
0000000002	0000000002	NO	Region west	Gebiet West	2018.06.19 05:33:47										
0000000002	0000000002	PL	Region West	Region West	2018.06.19 05:33:47										
0000000002	0000000002	PT	Region west	Gebiet West	2018.06.19 05:33:47										
0000000002	0000000002	RU	Region west	Gebiet West	2018.06.19 05:33:47										
0000000002	0000000002	SE	Region west	Gebiet West	2018.06.19 05:33:47										
0000000002	0000000002	SG	Region west	Gebiet West	2018.06.19 05:33:47										
0000000002	0000000002	SK	Region West	Gebiet West	2018.06.19 05:33:47										
0000000002	0000000002	US	Region West	Gebiet West	2018.06.19 05:33:47										
0000000002	0000000002	VE	Region West	Gebiet West	2018.06.19 05:33:47										
0000000002	0000000002	ZA	Region West	Gebiet West	2018.06.19 05:33:47										
1000010000	1000010000	DE	Region Dresden	Region Dresden	2018.06.19 05:33:47										
1700010000	1700010000	US	Pacific West	Pacific West	2018.06.19 05:33:47										
