LEGACY_UNIT_6_CHAR	UNIT_6_CHAR	UNIT_6_CHAR_TXT_GBL	UNIT_6_CHAR_TXT_LCL	DI_TIMESTAMP											
"	"	IN	IN	2017.07.06 08:56:49											
%	%	%	%	2017.07.06 08:56:49											
%(V)	%(V)	V%	V%	2017.07.06 08:56:49											
%(m)	%(m)	M%	M%	2017.07.06 08:56:49											
%O	%O	%O	%O	2017.07.06 08:56:49											
%O(V)	%O(V)	V%O	V%O	2017.07.06 08:56:49											
%O(m)	%O(m)	M%O	M%O	2017.07.06 08:56:49											
000001	000001	TST		2017.07.06 08:56:49											
000002	000002	LM	LM	2017.07.06 08:56:49											
1/M2	1/M2	M2I	M2I	2017.07.06 08:56:49											
1/cm3	1/cm3	TC3	TC3	2017.07.06 08:56:49											
1/m3	1/m3	TM3	TM3	2017.07.06 08:56:49											
1/min	1/min	PMI	PMI	2017.07.06 08:56:49											
A	A	A	A	2017.07.06 08:56:49											
AU	AU	LE		2017.07.06 08:56:49											
BTU/Yr	BTU/Yr	bJH		2017.07.06 08:56:49											
Bag	Bag	BAG		2017.07.06 08:56:49											
Bq/kg	Bq/kg	BQK	BQK	2017.07.06 08:56:49											
Bq/m3	Bq/m3	Bqm	Bqm	2017.07.06 08:56:49											
Bt.	Bt.	BOT		2017.07.06 08:56:49											
Bt/bbl	Bt/bbl	bbl	bbl	2017.07.06 08:56:49											
Bt/ft3	Bt/ft3	bft	bft	2017.07.06 08:56:49											
Bt/gal	Bt/gal	bgl	bgl	2017.07.06 08:56:49											
Btu	Btu	BTU	BTU	2017.07.06 08:56:49											
Btu/lb	Btu/lb	btl	btl	2017.07.06 08:56:49											
Btu/m	Btu/m	bMO	bMO	2017.07.06 08:56:49											
Btu/mo	Btu/mo	bMO		2017.07.06 08:56:49											
Btu/sc	Btu/sc	bsc	bsc	2017.07.06 08:56:49											
Btu/yr	Btu/yr	bJH	bJH	2017.07.06 08:56:49											
Can	Can	KAN		2017.07.06 08:56:49											
Car	Car	KAR		2017.07.06 08:56:49											
Case	Case	CS		2017.07.06 08:56:49											
Cl	Cl	CTL		2017.07.06 08:56:49											
Crate	Crate	KI		2017.07.06 08:56:49											
D	D	TES		2017.07.06 08:56:49											
Days	Days	TAG		2017.07.06 08:56:49											
Dr	Dr	DR		2017.07.06 08:56:49											
EA	EA	EA	EA	2017.07.06 08:56:49											
EU	EU	EE		2017.07.06 08:56:49											
EU/ml	EU/ml	EML		2017.07.06 08:56:49											
F	F	F	F	2017.07.06 08:56:49											
Foot	Foot	FT		2017.07.06 08:56:49											
GAU	GAU	GAU	GAU	2017.07.06 08:56:49											
GJ	GJ	GJ	GJ	2017.07.06 08:56:49											
GJ/m3	GJ/m3	gjm	gjm	2017.07.06 08:56:49											
GJ/t	GJ/t	GJT	GJT	2017.07.06 08:56:49											
GJ/tm3	GJ/tm3	gj3	gj3	2017.07.06 08:56:49											
GJ/ton	GJ/ton	gjt	gjt	2017.07.06 08:56:49											
GOhm	GOhm	A87	A87	2017.07.06 08:56:49											
GPH US	GPH US	GPH	GPH	2017.07.06 08:56:49											
GPM US	GPM US	GLM	GLM	2017.07.06 08:56:49											
Hectar	Hectar	HAR		2017.07.06 08:56:49											
Hz	Hz	HZ	HZ	2017.07.06 08:56:49											
Inch2	Inch2	IN2		2017.07.06 08:56:49											
Inch3	Inch3	IN3		2017.07.06 08:56:49											
J	J	J	J	2017.07.06 08:56:49											
