LEGACY_UNIT_OF_MEASUREMENT	UNIT_OF_MEASUREMENT	DIMENSION_KEY	EXT_UOM_COMM_FORM_TXT_GBL	EXT_UOM_COMM_FORM_TXT_LCL	DI_TIMESTAMP										
%	%	PROPOR	Proportion	Verhältnis	2017.07.06 08:56:49										
%O	%O	PROPOR	Proportion	Verhältnis	2017.07.06 08:56:49										
1	1	PROPOR	Proportion	Verhältnis	2017.07.06 08:56:49										
10	10	TIME	Time	Zeit	2017.07.06 08:56:49										
22S	22S	VISKIN	Kinematic viscosity	Zähigkeit, kinemat.	2017.07.06 08:56:49										
2M	2M	SPEED	Speed	Geschwindigkeit	2017.07.06 08:56:49										
2X	2X	SPEED	Speed	Geschwindigkeit	2017.07.06 08:56:49										
4G	4G	VOLUME	Volume	Volumen	2017.07.06 08:56:49										
4O	4O	CAPACI	Capacitance	Elektr. Kapazität	2017.07.06 08:56:49										
4T	4T	CAPACI	Capacitance	Elektr. Kapazität	2017.07.06 08:56:49										
A	A	ECURR	Electric Current	Elektr. Strom	2017.07.06 08:56:49										
A87	A87	RESIST	Elec. Resistance	Elektr. Widerstand	2017.07.06 08:56:49										
A93	A93	DENSI	Density	Dichte	2017.07.06 08:56:49										
ACR	ACR	SURFAC	Area	Fläche	2017.07.06 08:56:49										
B34	B34	DENSI	Density	Dichte	2017.07.06 08:56:49										
B45	B45	MOLQU	Mole quantity	Molmenge	2017.07.06 08:56:49										
B47	B47	FORCE	Force	Kraft	2017.07.06 08:56:49										
B73	B73	FORCE	Force	Kraft	2017.07.06 08:56:49										
B75	B75	RESIST	Elec. Resistance	Elektr. Widerstand	2017.07.06 08:56:49										
B78	B78	VOLTAG	Electrical Tension	Elektr. Spannung	2017.07.06 08:56:49										
B84	B84	ECURR	Electric Current	Elektr. Strom	2017.07.06 08:56:49										
BAG	BAG	AAAADL	(no dimensions)	(dimensionslos)	2017.07.06 08:56:49										
BAR	BAR	PRESS	Pressure	Druck	2017.07.06 08:56:49										
BB6	BB6	VOLUME	Volume	Volumen	2017.07.06 08:56:49										
BBL	BBL	VOLUME	Volume	Volumen	2017.07.06 08:56:49										
