LEGACY_VENDOR	VENDOR	DI_TIMESTAMP													
0010200001	0010200001	2018.06.19 05:33:47													
0010300001	0010300001	2018.06.19 05:33:47													
0010300002	0010300002	2018.06.19 05:33:47													
0010300003	0010300003	2018.06.19 05:33:47													
0010300006	0010300006	2018.06.19 05:33:47													
0010300007	0010300007	2018.06.19 05:33:47													
0010300010	0010300010	2018.06.19 05:33:47													
0010300080	0010300080	2018.06.19 05:33:47													
0010300081	0010300081	2018.06.19 05:33:47													
0010300082	0010300082	2018.06.19 05:33:47													
0010300083	0010300083	2018.06.19 05:33:47													
0010300090	0010300090	2018.06.19 05:33:47													
0010300095	0010300095	2018.06.19 05:33:47													
0010300273	0010300273	2018.06.19 05:33:47													
0012019050	0012019050	2018.06.19 05:33:47													
0012019051	0012019051	2018.06.19 05:33:47													
0017300001	0017300001	2018.06.19 05:33:47													
0017300002	0017300002	2018.06.19 05:33:47													
0017300003	0017300003	2018.06.19 05:33:47													
0017300006	0017300006	2018.06.19 05:33:47													
0017300007	0017300007	2018.06.19 05:33:47													
0017300010	0017300010	2018.06.19 05:33:47													
0017300030	0017300030	2018.06.19 05:33:47													
0017300031	0017300031	2018.06.19 05:33:47													
0017300032	0017300032	2018.06.19 05:33:47													
0017300033	0017300033	2018.06.19 05:33:47													
0017300034	0017300034	2018.06.19 05:33:47													
0017300080	0017300080	2018.06.19 05:33:47													
0017300081	0017300081	2018.06.19 05:33:47													
0017300082	0017300082	2018.06.19 05:33:47													
0017300083	0017300083	2018.06.19 05:33:47													
0017300090	0017300090	2018.06.19 05:33:47													
0017300095	0017300095	2018.06.19 05:33:47													
0017300273	0017300273	2018.06.19 05:33:47													
0080000001	0080000001	2018.06.19 05:33:47													
0080000002	0080000002	2018.06.19 05:33:47													
0KPBP	0KPBP	2018.06.19 05:33:47													
0SUP	0SUP	2018.06.19 05:33:47													
BP1010	BP1010	2018.06.19 05:33:47													
BP1710	BP1710	2018.06.19 05:33:47													
EWM10-SU01	EWM10-SU01	2018.06.19 05:33:47													
EWM17-SU01	EWM17-SU01	2018.06.19 05:33:47													
MIG_CPD_01	MIG_CPD_01	2018.06.19 05:33:47													
MIG_KU_175	MIG_KU_175	2018.06.19 05:33:47													
MIG_KU_176	MIG_KU_176	2018.06.19 05:33:47													
MIG_LF_101	MIG_LF_101	2018.06.19 05:33:47													
MIG_LF_103	MIG_LF_103	2018.06.19 05:33:47													
MIG_LF_104	MIG_LF_104	2018.06.19 05:33:47													
MIG_LF_105	MIG_LF_105	2018.06.19 05:33:47													
MIG_LF_106	MIG_LF_106	2018.06.19 05:33:47													
MIG_LF_171	MIG_LF_171	2018.06.19 05:33:47													
MIG_LF_172	MIG_LF_172	2018.06.19 05:33:47													
MIG_LF_173	MIG_LF_173	2018.06.19 05:33:47													
MIG_LF_174	MIG_LF_174	2018.06.19 05:33:47													
MIG_T_11	MIG_T_11	2018.06.19 05:33:47													
MIG_T_12	MIG_T_12	2018.06.19 05:33:47													
MIG_T_13	MIG_T_13	2018.06.19 05:33:47													
MIG_T_14	MIG_T_14	2018.06.19 05:33:47													
MIG_WTH03	MIG_WTH03	2018.06.19 05:33:47													
MIG_WTH04	MIG_WTH04	2018.06.19 05:33:47													
MTA_LF_171	MTA_LF_171	2018.06.19 05:33:47													
MTA_LF_172	MTA_LF_172	2018.06.19 05:33:47													
MTA_LF_173	MTA_LF_173	2018.06.19 05:33:47													
MTA_LF_174	MTA_LF_174	2018.06.19 05:33:47													
MTA_LIF_01	MTA_LIF_01	2018.06.19 05:33:47													
MTA_LIF_02	MTA_LIF_02	2018.06.19 05:33:47													
MTA_LIF_03	MTA_LIF_03	2018.06.19 05:33:47													
MTA_LIF_04	MTA_LIF_04	2018.06.19 05:33:47													
MTA_LIF_05	MTA_LIF_05	2018.06.19 05:33:47													
MTA_LIF_06	MTA_LIF_06	2018.06.19 05:33:47													
