LEGACY_VENDOR_ACCOUNT_NUMBER	VENDOR_ACCOUNT_NUMBER	COMPANY_CODE	PREVIOUS_MASTER_RECORD_NUMBER	VENDOR_ACCOUNT_NUMBER_TXT_GBL	VENDOR_ACCOUNT_NUMBER_TXT_LCL	DI_TIMESTAMP									
0001000189	0001000189	1010	 		SUPL1	2017.07.06 08:56:49									
0001000319	0001000319	1010	 		test supl1	2017.07.06 08:56:49									
0001000340	0001000340	1010	 		test supl2	2017.07.06 08:56:49									
0010200001	0010200001	1010	 	Supplier/Customer for Intrastat (HU		2017.07.06 08:56:49									
0010300001	0010300001	1010	 		Inlandslieferant DE 1	2017.07.06 08:56:49									
0010300002	0010300002	1010	 		Inlandslieferant DE 2	2017.07.06 08:56:49									
0010300006	0010300006	1010	 		Inlandslieferant DE 6 (Retouren)	2017.07.06 08:56:49									
0010300007	0010300007	1010	 		Inland-Lohnbearbeiter A, DE	2017.07.06 08:56:49									
0010300080	0010300080	1010	 		Inlandslieferant DE (Ariba Netzwerk	2017.07.06 08:56:49									
0010300081	0010300081	1010	 		Inlandslieferant DE (Ariba Sourcing	2017.07.06 08:56:49									
0010300082	0010300082	1010	 		Inlandslieferant DE (Ariba Sourcing	2017.07.06 08:56:49									
0010300083	0010300083	1010	 		Inlandslieferant DE (Ariba Sourcing	2017.07.06 08:56:49									
0010300090	0010300090	1010	 		Inlandslieferant DE (Ariba FIN)	2017.07.06 08:56:49									
0010300273	0010300273	1010	 		Inlandslieferant DE CPD	2017.07.06 08:56:49									
EWM10-SU01	EWM10-SU01	1010	 		EWM-Lieferant 01	2017.07.06 08:56:49									
L123123	L123123	1010	 		SUPL1	2017.07.06 08:56:49									
L123124	L123124	1010	 		SUPL1	2017.07.06 08:56:49									
L123222	L123222	1010	 		SUPL1	2017.07.06 08:56:49									
L123225	L123225	1010	 		SUPL1	2017.07.06 08:56:49									
MTA_L12312	MTA_L12312	1010	 		test supl1	2017.07.06 08:56:49									
