LEGACY_RESOURCE_ID	RESOURCE_ID	RESOURCE_TYPE	RESOURCE_ID_TXT_GBL	RESOURCE_ID_TXT_LCL	DI_TIMESTAMP										
10000000	10000000	A	ASSEMBLY	ASSEMBLY	2017.07.06 08:56:49										
10000001	10000001	A	TESTING	TESTING	2017.07.06 08:56:49										
10000002	10000002	A	PACK01	PACK01	2017.07.06 08:56:49										
10000003	10000003	A	PACK02	PACK02	2017.07.06 08:56:49										
10000004	10000004	A	WINDING	WINDING	2017.07.06 08:56:49										
10000005	10000005	A	BOTTLING	BOTTLING	2017.07.06 08:56:49										
10000006	10000006	A	MIXING	MIXING	2017.07.06 08:56:49										
10000007	10000007	A	TOT_PLNT	TOT_PLNT	2017.07.06 08:56:49										
10000008	10000008	A	DISCR_MF	DISCR_MF	2017.07.06 08:56:49										
10000009	10000009	A	PVRSN_MF	PVRSN_MF	2017.07.06 08:56:49										
10000010	10000010	A	TECHNIC	TECHNIC	2017.07.06 08:56:49										
10000011	10000011	A	WORK	WORK	2017.07.06 08:56:49										
10000012	10000012	A	PACKING	PACKING	2017.07.06 08:56:49										
10000013	10000013	A	RES-0100	RES-0100	2017.07.06 08:56:49										
10000014	10000014	A	RES-0200	RES-0200	2017.07.06 08:56:49										
10000015	10000015	A	RES-0300	RES-0300	2017.07.06 08:56:49										
10000016	10000016	A	QMLABS	QMLABS	2017.07.06 08:56:49										
10000017	10000017	A	FIN1	FIN1	2017.07.06 08:56:49										
10000018	10000018	A	FIN2	FIN2	2017.07.06 08:56:49										
10000019	10000019	A	SUB1	SUB1	2017.07.06 08:56:49										
10000020	10000020	A	PER1	PER1	2017.07.06 08:56:49										
10000021	10000021	A	ASSEMBLY	ASSEMBLY	2017.07.06 08:56:49										
10000022	10000022	A	TESTING	TESTING	2017.07.06 08:56:49										
10000023	10000023	A	PACK01	PACK01	2017.07.06 08:56:49										
10000024	10000024	A	PACK02	PACK02	2017.07.06 08:56:49										
10000025	10000025	A	WINDING	WINDING	2017.07.06 08:56:49										
10000026	10000026	A	BOTTLING	BOTTLING	2017.07.06 08:56:49										
10000027	10000027	A	MIXING	MIXING	2017.07.06 08:56:49										
10000028	10000028	A	TOT_PLNT	TOT_PLNT	2017.07.06 08:56:49										
10000029	10000029	A	DISCR_MF	DISCR_MF	2017.07.06 08:56:49										
10000030	10000030	A	PVRSN_MF	PVRSN_MF	2017.07.06 08:56:49										
10000031	10000031	A	TECHNIC	TECHNIC	2017.07.06 08:56:49										
10000032	10000032	A	WORK	WORK	2017.07.06 08:56:49										
10000033	10000033	A	PACKING	PACKING	2017.07.06 08:56:49										
10000034	10000034	A	RES-0100	RES-0100	2017.07.06 08:56:49										
10000035	10000035	A	RES-0200	RES-0200	2017.07.06 08:56:49										
10000036	10000036	A	RES-0300	RES-0300	2017.07.06 08:56:49										
10000037	10000037	A	QMLABS	QMLABS	2017.07.06 08:56:49										
10000038	10000038	A	PRE1	PRE1	2017.07.06 08:56:49										
10000039	10000039	A	FIN1	FIN1	2017.07.06 08:56:49										
10000040	10000040	A	FIN2	FIN2	2017.07.06 08:56:49										
10000041	10000041	A	SUB1	SUB1	2017.07.06 08:56:49										
10000042	10000042	A	PER1	PER1	2017.07.06 08:56:49										
10000057	10000057	A	ZPACK03	ZPACK03	2017.07.06 08:56:49										
10000058	10000058	A	ZPACK05	ZPACK05	2017.07.06 08:56:49										
10000064	10000064	A	ZPACK16	ZPACK16	2017.07.06 08:56:49										
10000065	10000065	A	ZPACK17	ZPACK17	2017.07.06 08:56:49										
10000066	10000066	A	ZPACK20	ZPACK20	2017.07.06 08:56:49										
10000075	10000075	A	ZPACK06	ZPACK06	2017.07.06 08:56:49										
10000077	10000077	A	ZPACK07	ZPACK07	2017.07.06 08:56:49										
