LKPTAB_NAME,LKPTAB_DESCRIPTION,CHKTAB_NAME,TXTTAB_NAME,LKPTAB_MAINKEY,LKPTAB_LEGACY_FIELD,DOMAIN,STATUS,PACKAGE,COMMENTS,RELEASED_ON
LKP_1ST_STORE_UNIT_TYPE,1st Store Unit Type,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_ABC_INDIC_TECH_OBJ,ABC indicator for technical object,,,,,,R,ERP,,2010.09.28 13:19:12
LKP_ABC_INDICATOR,Abc Indicator,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_ACADEMIC_TITLE,Academic Title (Business Address Services),,,,,,R,ERP,,2010.08.01 13:19:12
LKP_ACCOUNT_ASSIGNMENT_GROUP,Account Assignment Group,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_ACCOUNTING_CLERKS,Accounting Clerks,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_ACCOUNTING_INDICATORS,Accounting Indicators,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_ACCT_ASGNMT_GRP_MATERIAL,Account Assignment Group Material,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_ACCT_ASSGT_CATEGORIES,Account Assignment Categories,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_ACTION_CONTROL,Action Control,,,,,,R,ERP,,2010.09.29 10:12:43
LKP_ACTIVITY_CODE_GROSS_INCOME,Activity Codes For Gross Income Tax Declaration,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_ACTIVITY_CODE_SOC_INS,Activity Code For Social Security Withholding,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_ACTIVITY_PROFILE,Activity Profile,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_ACTIVITY_TYPE,Activity Type,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_ADDRESS_VERSION,Address number,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_AGREEMENTS,Agreements,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_ALLOCATION_COST_ELEMENT,Allocation Cost Element,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_APPLICATION,Application,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_AR_PLEDGING_IND,Accounts Receivable Pledging,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_ASSET_CLASS,Asset Class,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_ASSET_MASTER_REC_SEGMENT,Asset Master Record Segment,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_ASSIGN_GROUP_CODE,Assign Group Code,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_ASSIGNMENT_TABLE,Assignment Table,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_ASSIGNMENT_TEST_GROUP,Assignment Test Group,,,,,,R,ERP,,2010.09.29 10:12:43
LKP_ATTRIBUTE_1,Attribute 1,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_ATTRIBUTE_10,Attribute 10,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_ATTRIBUTE_2,Attribute 2,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_ATTRIBUTE_3,Attribute 3,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_ATTRIBUTE_4,Attribute 4,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_ATTRIBUTE_5,Attribute 5,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_ATTRIBUTE_6,Attribute 6,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_ATTRIBUTE_7,Attribute 7,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_ATTRIBUTE_8,Attribute 8,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_ATTRIBUTE_9,Attribute 9,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_AUTH_GRP_BASIC_DATA,Auth Grp Qmbasic Data,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_AVAILABILITY_CHECK_CONTROL,Availability Check Control,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_BANK_MASTER_RECORD,Bank Master Record,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_BATCHES,Batches,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_BATCHES_PLANT,Batches Plant,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_BILLING_DOCUMENT_TYPES,Billing Document Types,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_BILLING_REASONS_BLOCKING,Billing Reason For Blocking,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_BLK_REASONS_DUNN_NOTICES,Blocking Reasons For Dunning Notices,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_BLK_REASONS_PAYMENT,Blocking Reasons For Auto Pmt Trans,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_BLOCK_FUNCTION,Functions That Can Be Blocked,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_BOM_EXPLOSION_NUMBER,Bom Explosion Number,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_BOM_STATUS,Bom Status,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_BOM_USAGE,Bomusage,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_BUDGET_PERIOD,FM: Budget Period,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_BUDGET_PLAN_PROFILE,Budget Plan Profile,,,,,,R,ERP,,2010.09.28 13:22:43
LKP_BUILDING_NUMBER,Real estate building master,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_BULK_STORAGE_INDICATORS,Bulk Storage Indicators,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_BUS_TRANSACT_TYPE,Foreign Trade Business Transaction Type,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_BUSINESS_AREAS,Business Areas,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_BUSINESS_ENTITIES,Business entities,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_BUSINESS_PLACE,Business Place,,,,,,R,ERP,,2010.09.28 13:22:43
LKP_CAP_INVEST_PROFILE,Cap Inv Measure Profile,,,,,,R,ERP,,2010.09.28 13:22:43
LKP_CAPACITY_CATEGORY,Capacity Category,,,,,,R,ERP,,2010.09.28 15:32:21
LKP_CAPACITY_PLANNER_GROUP,Capacity Planner Group,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_CATALOG_PROFILE,Catalog Profile,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_CATALOG_TYPE_OF_ASSIGN,Catalog Type Of Assign,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_CERTIFICATE_CATEGORIES,Certificate Categories,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_CERTIFICATE_TYPE,Certificate Type,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_CFOP_CODE_AND_EXTENSION,Cfopcode And Extension,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_CHANGE_NUMBER,Change Number,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_CHAR_NAME,Char Name,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_CHARACTERISTIC_STATUS,Characteristic Status,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_CHARACTERISTICS_GROUPS,Characteristics Groups,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_CHECK_TAB_REL_ORDERS_USAGE,Check Table For Release Orders Usage Id,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_CHECK_TABLE_BASIC_MATERIAL,Check Table For Basic Material Field,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_CHECK_TABLE_LABEL_SHAPE,Check Table For Label Shape,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_CHECK_TABLE_LABEL_TYPE,Check Table For Labelling Type,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_CHECK_TABLE_PROCURE_RULE,Check Table For Supply Source Entry,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_CHECK_TABLE_RA_KEY,Chk Tbl For Rslts Anlys Key Of Ra For Ords,,,,,,R,ERP,,2010.09.16 13:19:12
LKP_CHECK_TABLE_SEASON_IND,Check Table For Season Indicator,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_CIM_RESOURCE_ENTITIES,Cimresource Entities,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_CITY,City,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_CITY_NUMBER,City Code for City/Street File,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_CLASS_GROUPS,Class Groups,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_CLASS_NAME,Class Name,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_CLASS_STATUS,Class Status,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_CLASS_TYPE,Class Type,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_CO_ABC_ACTIVITY_MASTER,Co Abc Activity Master Table,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_CO_VERSIONS,Co Versions,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_COMMISSION_GROUPS,Commission Groups,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_COMMODITY_CODE,Commodity Code,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_COMPANY_CODE,Company Code,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_COMPLIANCE_W_SHIPPING_INS,Code For Compliance With Shipping Instructions,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_COND_TYPE,Cond Type,,,,,,R,ERP,,2010.10.12 15:12:54
LKP_CONDITIONS_APPLICATIONS,Conditions Applications,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_CONDITIONS_EXCLUSION_IND,Conditions Exclusion Indicator,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_CONFIRMATION_CONTROL_KEY,Confirmation Control Key,,,,,,R,ERP,,2010.09.28 20:40:25
LKP_CONT_PERSON_BUYING_HABITS,Contact Person Buying Habits,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_CONT_PERSON_CALL_FREQUENCY,Contact Person Frequency Of Visits,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_CONTACT_PERSON_ATTR_10,Contact Person Attribute10,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_CONTACT_PERSON_ATTRIBUTE_2,Contact Person Attribute 2,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_CONTACT_PERSON_ATTRIBUTE_3,Contact Person Attribute 3,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_CONTACT_PERSON_ATTRIBUTE_4,Contact Person Attribute 4,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_CONTACT_PERSON_ATTRIBUTE_5,Contact Person Attribute 5,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_CONTACT_PERSON_ATTRIBUTE_6,Contact Person Attribute 6,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_CONTACT_PERSON_ATTRIBUTE_7,Contact Person Attribute 7,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_CONTACT_PERSON_ATTRIBUTE_8,Contact Person Attribute 8,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_CONTACT_PERSON_ATTRIBUTE_9,Contact Person Attribute 9,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_CONTACT_PERSON_AUTHORITY,Contact Person Decision Authority,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_CONTACT_PERSON_HOBBIES,Contact Person Hobbies,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_CONTACT_PERSON_VIP_IND,Contact Person Vip Indicator,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_CONTACT_PERSONS_FUNCTIONS,Contact Persons Functions,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_CONTACT_PERSONS_STD_DEPT,Contact Persons Std Dept,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_CONTAINER_REQMTS_STORE_MAT,Container Requirements For Storing Materials,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_CONTAINER_REQUIREMENTS,Control Key For Qmin Procurement,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_CONTROL_KEY,Control Key,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_CONTROLLING_AREA,Controlling Area,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_CONV_TYPES_PROD_FIGURES,Conversion Types For Production Figures,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_COST_CENTER,Cost Center,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_COST_ELEMENT,Cost Element,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_COSTING_RELEVNCY_IND,Indicator For Relevancy To Costing,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_COUNTRY,Country,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_COUNTRY_DIALLING_CODE,Communication: country dialling code,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_COUNTRY_GROUP_IMPORT,Country Groups For Import Processing,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_COUNTRY_REGION,Country Region,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_COUNTY,County,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_CREATION_PROFILE,Creation Profile,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_CRED_REPRESENTATIVE_GROUPS,Credit Management Representative Groups,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_CREDIT_CONTROL_AREA,Credit Control Area,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_CREDIT_MANAGEMENT_GROUPS,Credit Management Groups,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_CREDIT_RISK_CATEGORY,Credit Risk Category,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_CRM_ASSIGN_GROUP_CODE,CRM Assign Group Code,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_CRM_BP_GROUPING,BP groupings,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_CRM_BP_ROLE,BP Roles,,,,,,R,ERP,,2010.10.12 14:50:50
LKP_CRM_BUSINESS_PARTNER_TYPE,BP types,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_CRM_CATALOG_TYPE_OF_ASSIGN,CRM Catalog Type of Assign,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_CRM_COMMUNICATION_METHOD,CRM Communication Method,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_CRM_GROUP_TYPE,BP group types,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_CRM_TEXT_ID,CRM Text ID,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_CROSS_PLANT_MAT_STATUS,Xplant Material Status,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_CURRENCY,Currency,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_CUSTOMER_ACCOUNT_GROUP,Customer Account Group,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_CUSTOMER_CLASSIFICATIONS,Customer Classifications,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_CUSTOMER_CONDITION_GROUPS,Customer Condition Groups,,,,,,R,ERP,,2010.09.28 20:40:25
LKP_CUSTOMER_GROUP,Customer Group,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_CUSTOMER_GROUP_1,Customer Group1,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_CUSTOMER_GROUP_2,Customer Group2,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_CUSTOMER_GROUP_3,Customer Group3,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_CUSTOMER_GROUP_4,Customer Group4,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_CUSTOMER_GROUP_5,Customer Group5,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_CUSTOMER_NUMBER,Customer Number,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_CUSTOMER_PAYM_GUAR_PROC,Customer Payment Guarantee Procedure,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_CUSTOMER_STATISTICS_GROUP,Customer Statistics Group,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_CUSTOMERS_TERMS_OF_PAYMENT,Customers Terms Of Payment,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_CUSTOMS_OFFICE,Foreign Trade Customs Offices,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_CUSTPROC_PP,Customer Proc For Prod Prop,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_D_ACTIVITY_TYPE_CAT,Activity Type Category,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_D_BACKFLUSH_INDICATOR,Backflush Ind,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_D_BOM_CATEGORY,Bom Category,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_D_CONSUMPTION_MODE,Consumption Mode,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_D_COPY_MODEL,Copy Model,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_D_COST_ELEMENT_CATEGORY,Cost Element Category,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_D_DEPENDENCY_TYPE,Dependency Type,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_D_DEPENDENT_REQMTS_IND,Dependent Requirements Ind,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_D_ENTRY_REQUIRED,Entry Required,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_D_EXTERNAL_INTERFACE_A,R/3 DD: values for the domains,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_D_METHOD_FOR_ALT_BOMS,Method For Alt Bo Ms,,,,,,R,ERP,,2010.10.12 15:06:44
LKP_D_MIXED_MRP_INDICATOR,Mixed Mrpind,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_D_PRICE_CONTROL_INDICATOR,Price Control Ind,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_D_PROCUREMENT_TYPE,Procurement Type,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_D_PUR_INFO_REC_CATEGORY,Purchasing Info Rec Category,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_D_REQMTS_GROUPING_IND,Requirements Grouping Ind,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_D_SAFETY_TIME_INDICATOR,Safety Time Ind,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_D_STANDARD_VALUE_FOR_W,D Standard Value For W,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_D_STATUS_MASTER_RECORD,Status Master Record,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_D_URI_TYPE_FLAG,R/3 DD: values for the domains,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_DATE_DISPLAY_FORMAT,External date type,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_DEFAULT_VALUES_FOR_WBS,Default Values For Wbs,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_DEFECT_CODE,Defect Code4gen Reject,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_DELIVERY_BLOCK_REASONS,Deliveries Blocking Reason Criteria,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_DELIVERY_PRIORITY,Delivery Priority,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_DELIVERY_SCHED_TRANS_GROUP,Delivery Scheduling Transp Groups,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_DELIVERY_TIME_CATEGORIES,Delivery Time Categories,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_DELIVERY_TYPE,Delivery Type,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_DEP_KEY,Depreciation key,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_DEPENDENCY_GROUPS,Dependency Maintenance Groups,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_DEPENDENCY_STATUSES,Dependency Maintenance Statuses,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_DEPREC_AREA,Depreciation area real or derived,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_DG_IND_PROFILE_FOR_MAT,Dg Indicator Profiles For Mm Initia,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_DIMENSION_OF_WORK,Dimension Of Work,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_DIP_PROFILE_USAGE,Dipprofile Usage,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_DIST_CHAIN_MAT_STATUS,Dist Chain Mat Status,,,,,,R,ERP,,2010.09.29 10:12:43
LKP_DIST_PROF_MATERIAL_IN_DC,Distribution Profile Of Material In Dc,,,,,,R,ERP,,2010.09.28 13:19:12
LKP_DISTR_CHANNEL_SALES_ORG,Org Unit Distr Channels Per Sales Org,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_DISTR_TYPES_GROSS_INC_TAX,Distribution Types For Gross Income Tax,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_DISTRIBUTION,Distribution of capacity requirements (Planned/prod.order),,,,,,R,ERP,,2010.08.01 13:19:12
LKP_DISTRIBUTION_CHANNEL,Distribution Channel,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_DISTRIBUTION_KEY_IN_MRP,Distribution Key In Mrp,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_DISTRICT,District code for city and street file,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_DIVISION,Division,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_DOC_HEADER_MANU_DOC_ENTRY,Document Header Manual Document Entry,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_DOCUMENT,Document number,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_DOCUMENT_ITEM,Earmarked Funds: Document Item,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_DOCUMENT_TYPE,Document Type,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_DOCUMENT_TYPES,Document Types,,,,,,R,ERP,,2010.08.01 13:19:12
LKP_DUNNING_AREAS,Dunning Areas,,,,,,R,ERP,,2010.08.01 13:19:12
