LKP_TABLE_NAME,RUN_FileToAPP,RUN_SAPtoFile,RUN_SAPtoAPP_Delta
LKP_1ST_STORE_UNIT_TYPE,Y,Y,Y
LKP_ABC_INDIC_TECH_OBJ,Y,Y,Y
LKP_ABC_INDICATOR,Y,Y,Y
LKP_ACADEMIC_TITLE,Y,Y,Y
LKP_ACCOUNT_ASSIGNMENT_GROUP,Y,Y,Y
LKP_ACCOUNTING_CLERKS,Y,Y,Y
LKP_ACCOUNTING_INDICATORS,Y,Y,Y
LKP_ACCT_ASGNMT_GRP_MATERIAL,Y,Y,Y
LKP_ACCT_ASSGT_CATEGORIES,Y,Y,Y
LKP_ACTION_CONTROL,Y,Y,Y
LKP_ACTIVITY_CODE_GROSS_INCOME,Y,Y,Y
LKP_ACTIVITY_CODE_SOC_INS,Y,Y,Y
LKP_ACTIVITY_PROFILE,Y,Y,Y
LKP_ACTIVITY_TYPE,Y,Y,Y
LKP_ADDRESS_VERSION,Y,Y,Y
LKP_AGREEMENTS,Y,Y,Y
LKP_ALLOCATION_COST_ELEMENT,Y,Y,Y
LKP_APPLICATION,Y,Y,Y
LKP_AR_PLEDGING_IND,Y,Y,Y
LKP_ASSET_CLASS,Y,Y,Y
LKP_ASSET_MASTER_REC_SEGMENT,Y,Y,Y
LKP_ASSIGN_GROUP_CODE,Y,Y,Y
LKP_ASSIGNMENT_TABLE,Y,Y,Y
LKP_ASSIGNMENT_TEST_GROUP,Y,Y,Y
LKP_ATTRIBUTE_1,Y,Y,Y
LKP_ATTRIBUTE_10,Y,Y,Y
LKP_ATTRIBUTE_2,Y,Y,Y
LKP_ATTRIBUTE_3,Y,Y,Y
LKP_ATTRIBUTE_4,Y,Y,Y
LKP_ATTRIBUTE_5,Y,Y,Y
LKP_ATTRIBUTE_6,Y,Y,Y
LKP_ATTRIBUTE_7,Y,Y,Y
LKP_ATTRIBUTE_8,Y,Y,Y
LKP_ATTRIBUTE_9,Y,Y,Y
LKP_AUTH_GRP_BASIC_DATA,Y,Y,Y
LKP_AVAILABILITY_CHECK_CONTROL,Y,Y,Y
LKP_BANK_MASTER_RECORD,Y,Y,Y
LKP_BATCHES,Y,Y,Y
LKP_BATCHES_PLANT,Y,Y,Y
LKP_BILLING_DOCUMENT_TYPES,Y,Y,Y
LKP_BILLING_REASONS_BLOCKING,Y,Y,Y
LKP_BLK_REASONS_DUNN_NOTICES,Y,Y,Y
LKP_BLK_REASONS_PAYMENT,Y,Y,Y
LKP_BLOCK_FUNCTION,Y,Y,Y
LKP_BOM_EXPLOSION_NUMBER,Y,Y,Y
LKP_BOM_STATUS,Y,Y,Y
LKP_BOM_USAGE,Y,Y,Y
LKP_BUDGET_PERIOD,Y,Y,Y
LKP_BUDGET_PLAN_PROFILE,Y,Y,Y
LKP_BUILDING_NUMBER,Y,Y,Y
LKP_BULK_STORAGE_INDICATORS,Y,Y,Y
LKP_BUS_TRANSACT_TYPE,Y,Y,Y
LKP_BUSINESS_AREAS,Y,Y,Y
LKP_BUSINESS_ENTITIES,Y,Y,Y
LKP_BUSINESS_PLACE,Y,Y,Y
LKP_CAP_INVEST_PROFILE,Y,Y,Y
LKP_CAPACITY_CATEGORY,Y,Y,Y
LKP_CAPACITY_PLANNER_GROUP,Y,Y,Y
LKP_CATALOG_PROFILE,Y,Y,Y
LKP_CATALOG_TYPE_OF_ASSIGN,Y,Y,Y
LKP_CERTIFICATE_CATEGORIES,Y,Y,Y
LKP_CERTIFICATE_TYPE,Y,Y,Y
LKP_CFOP_CODE_AND_EXTENSION,Y,Y,Y
LKP_CHANGE_NUMBER,Y,Y,Y
LKP_CHAR_NAME,Y,Y,Y
LKP_CHARACTERISTIC_STATUS,Y,Y,Y
LKP_CHARACTERISTICS_GROUPS,Y,Y,Y
LKP_CHECK_TAB_REL_ORDERS_USAGE,Y,Y,Y
LKP_CHECK_TABLE_BASIC_MATERIAL,Y,Y,Y
LKP_CHECK_TABLE_LABEL_SHAPE,Y,Y,Y
LKP_CHECK_TABLE_LABEL_TYPE,Y,Y,Y
LKP_CHECK_TABLE_PROCURE_RULE,Y,Y,Y
LKP_CHECK_TABLE_RA_KEY,Y,Y,Y
LKP_CHECK_TABLE_SEASON_IND,Y,Y,Y
LKP_CIM_RESOURCE_ENTITIES,Y,Y,Y
LKP_CITY,Y,Y,Y
LKP_CITY_NUMBER,Y,Y,Y
LKP_CLASS_GROUPS,Y,Y,Y
LKP_CLASS_NAME,Y,Y,Y
LKP_CLASS_STATUS,Y,Y,Y
LKP_CLASS_TYPE,Y,Y,Y
LKP_CO_ABC_ACTIVITY_MASTER,Y,Y,Y
LKP_CO_VERSIONS,Y,Y,Y
LKP_COMMISSION_GROUPS,Y,Y,Y
LKP_COMMODITY_CODE,Y,Y,Y
LKP_COMPANY_CODE,Y,Y,Y
LKP_COMPLIANCE_W_SHIPPING_INS,Y,Y,Y
LKP_COND_TYPE,Y,Y,Y
LKP_CONDITIONS_APPLICATIONS,Y,Y,Y
LKP_CONDITIONS_EXCLUSION_IND,Y,Y,Y
LKP_CONFIRMATION_CONTROL_KEY,Y,Y,Y
LKP_CONT_PERSON_BUYING_HABITS,Y,Y,Y
LKP_CONT_PERSON_CALL_FREQUENCY,Y,Y,Y
LKP_CONTACT_PERSON_ATTR_10,Y,Y,Y
LKP_CONTACT_PERSON_ATTRIBUTE_2,Y,Y,Y
LKP_CONTACT_PERSON_ATTRIBUTE_3,Y,Y,Y
LKP_CONTACT_PERSON_ATTRIBUTE_4,Y,Y,Y
LKP_CONTACT_PERSON_ATTRIBUTE_5,Y,Y,Y
LKP_CONTACT_PERSON_ATTRIBUTE_6,Y,Y,Y
LKP_CONTACT_PERSON_ATTRIBUTE_7,Y,Y,Y
LKP_CONTACT_PERSON_ATTRIBUTE_8,Y,Y,Y
LKP_CONTACT_PERSON_ATTRIBUTE_9,Y,Y,Y
LKP_CONTACT_PERSON_AUTHORITY,Y,Y,Y
LKP_CONTACT_PERSON_HOBBIES,Y,Y,Y
LKP_CONTACT_PERSON_VIP_IND,Y,Y,Y
LKP_CONTACT_PERSONS_FUNCTIONS,Y,Y,Y
LKP_CONTACT_PERSONS_STD_DEPT,Y,Y,Y
LKP_CONTAINER_REQMTS_STORE_MAT,Y,Y,Y
LKP_CONTAINER_REQUIREMENTS,Y,Y,Y
LKP_CONTROL_KEY,Y,Y,Y
LKP_CONTROLLING_AREA,Y,Y,Y
LKP_CONV_TYPES_PROD_FIGURES,Y,Y,Y
LKP_COST_CENTER,Y,Y,Y
LKP_COST_ELEMENT,Y,Y,Y
LKP_COSTING_RELEVNCY_IND,Y,Y,Y
LKP_COUNTRY,Y,Y,Y
