LKPTAB_NAME,LKPTAB_FIELD_POSITION,LKPTAB_FIELD_NAME,LKPTAB_FIELD_DATATYPE,LKPTAB_FIELD_LENGTH,LKPTAB_FIELD_DESC,LKPTAB_KEY_IND,LKPTAB_MAINKEY_IND,CHKTAB_NAME,CHKTAB_FIELD_NAME,CHKTAB_KEY_IND,TXTTAB_NAME,TXTTAB_FIELD_NAME,TXTTAB_LANG_FIELD,TXTTAB_KEY_IND,DOMAIN,FLAG,CHK_TAB_CONDITIONS,TXT_TAB_CONDITIONS,STATUS,PACKAGE,COMMENTS,RELEASED_ON
LKP_1ST_STORE_UNIT_TYPE,1,LEGACY_STORAGE_UNIT_TYPE,11,255,,X,,,,,,,,,,K_LEGACY,,,R,ERP,,2010.08.01 12:00:00
LKP_1ST_STORE_UNIT_TYPE,2,STORAGE_UNIT_TYPE,11,3,,X,X,T307,LETYP,X,T307T,LETYP,,X,,K01,,,R,ERP,,2010.08.01 12:00:00
LKP_1ST_STORE_UNIT_TYPE,3,WAREHOUSE_NUMBER,11,3,,X,,T307,LGNUM,X,T307T,LGNUM,,X,,K02,,,R,ERP,,2010.08.01 12:00:00
LKP_1ST_STORE_UNIT_TYPE,4,STORAGE_UNIT_TYPE_TXT_GBL,11,20,,,,,,,T307T,LETYT,SPRAS,,,TEXT_GLOBAL,,,R,ERP,,2010.08.01 12:00:00
LKP_1ST_STORE_UNIT_TYPE,5,STORAGE_UNIT_TYPE_TXT_LCL,11,20,,,,,,,T307T,LETYT,SPRAS,,,TEXT_LOCAL,,,R,ERP,,2010.08.01 12:00:00
LKP_1ST_STORE_UNIT_TYPE,6,DI_TIMESTAMP,16,24,,,,,,,,,,,,TIMESTAMP,,,R,ERP,,2010.08.01 12:00:00
LKP_ABC_INDICATOR,1,LEGACY_ABC_INDICATOR,11,255,,X,,,,,,,,,,K_LEGACY,,,R,ERP,,2010.08.01 12:00:00
LKP_ABC_INDICATOR,2,ABC_INDICATOR,11,1,,X,X,TMABC,MAABC,X,TMABCT,MAABC,,X,,K01,,,R,ERP,,2010.08.01 12:00:00
LKP_ABC_INDICATOR,3,ABC_INDICATOR_TXT_GBL,11,30,,,,,,,TMABCT,TMABC,SPRAS,,,TEXT_GLOBAL,,,R,ERP,,2010.08.01 12:00:00
LKP_ABC_INDICATOR,4,ABC_INDICATOR_TXT_LCL,11,30,,,,,,,TMABCT,TMABC,SPRAS,,,TEXT_LOCAL,,,R,ERP,,2010.08.01 12:00:00
LKP_ABC_INDICATOR,5,DI_TIMESTAMP,16,24,,,,,,,,,,,,TIMESTAMP,,,R,ERP,,2010.08.01 12:00:00
LKP_ABC_INDIC_TECH_OBJ,1,LEGACY_ABC_INDIC,,255,,X,,,,,,,,,,K_LEGACY,,,R,ERP,,2010.09.06 12:26:48
LKP_ABC_INDIC_TECH_OBJ,2,ABC_INDIC,,1,ABC indicator for technical object,X,X,T370C,ABCKZ,X,T370C_T,ABCKZ,,X,,K01,,,R,ERP,,2010.09.06 12:26:48
LKP_ABC_INDIC_TECH_OBJ,3,ABC_INDIC_TXT_GBL,,20,,,,,,,T370C_T,ABCTX,SPRAS,,,TEXT_GLOBAL,,,R,ERP,,2010.09.06 12:26:48
