LEGACY_NUMBER_RANGES	OBJECT	SUBOBJECT	NUMBER_RANGE_NUMBER	TOYEAR	FROMNUMBER	TONUMBER	NUMBER_RANGE_STATUS	EXTERNIND	DI_TIMESTAMP						
DEBITOR	DEBITOR	 	01	0000	0000000001	0000099999	00000000000000000000	 	2017.07.14 01:39:20						
DEBITOR	DEBITOR	 	02	0000	0000100000	0000299999	00000000000000000000	 	2017.07.14 01:39:20						
DEBITOR	DEBITOR	 	BP	0000	0000000001	ZZZZZZZZZZ	00000000000000000000	X	2017.07.14 01:39:20						
DEBITOR	DEBITOR	 	MM	0000	3100000000	3199999999	00000000000000000000	 	2017.07.14 01:39:20						
DEBITOR	DEBITOR	 	VD	0000	0000900000	0000999999	00000000000000000000	 	2017.07.14 01:39:20						
DEBITOR	DEBITOR	 	XX	0000	A	ZZZZZZZZZZ	00000000000000000000	X	2017.07.14 01:39:20						
KREDITOR	KREDITOR	 	01	0000	0000000001	0000099999	00000000000000000000	 	2017.07.14 01:39:20						
KREDITOR	KREDITOR	 	02	0000	0000100000	0000199999	00000000000000000000	 	2017.07.14 01:39:20						
KREDITOR	KREDITOR	 	BP	0000	0000000001	ZZZZZZZZZZ	00000000000000000000	X	2017.07.14 01:39:20						
KREDITOR	KREDITOR	 	MM	0000	3100000000	3199999999	00000000000000000000	 	2017.07.14 01:39:20						
KREDITOR	KREDITOR	 	XX	0000	A	ZZZZZZZZZZ	00000000000000000000	X	2017.07.14 01:39:20						
MATERIALNR	MATERIALNR	 	01	0000	000000000000000001	000000000099999999	00000000000000000050	 	2017.07.14 01:39:20						
MATERIALNR	MATERIALNR	 	02	0000	A	ZZZZZZZZ	00000000000000000000	X	2017.07.14 01:39:20						
RP_PREL	RP_PREL	 	01	0000	00000001	90000000	00000000000000000000	 	2017.07.14 01:39:20						
RP_PREL	RP_PREL	 	02	0000	90000001	99999999	00000000000000000000	X	2017.07.14 01:39:20						
